Unnamed: 0,Unique ID.,Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/ Action Taken,week_number,No. of De ath s
9,KL/THI/2018/01/0007,Kerala,Trivandrum,Acute Diarrheal Disease,21,0,03-01-18,04-01-18,Under Control,"Cases of loose motion reported from Village Karumkulam, SC Puthiyathura PHC Pulluvila. District RRT and Block team investigated the outbreak. 3 stool samples collected sent to Microbiology Lab, MCH, TVM; result awaited. Water samples taken from both (bore well water and water from the lake); result awaited. Chlorination of water source done and ORS packets distributed. Medical camp organized. Health education conducted.",1,
16,WB/----/2018/01/0014,West Bengal,Nayabasti,Acute Diarrheal Disease,39,0,02-01-18,03-01-18,Under Surveillance,"Cases reported from Rishra Municipality area, SK Nagar. District RRT investigated the outbreak. House to house survey done. Pipeline leakages were observed in the area. 3 rectal swab sample collected and sent to NICED & 5 water sample collected; result awaited. Alternate water supply was provided to affected area. Disinfection of the area was done. ORS packets and Halogen tablets were distributed in the community Medical camp organized in the affected area.",1,
18,AP/CTR/2018/01/0015,Andhra Pradesh,Chittoor,Acute Diarrheal Disease,58,0,24-12-17,,Under Control,"Cases reported from Village Kanchibandarla Palli, PHC Gudupalli. District RRT investigated the outbreak. House to house survey done. Pipeline leakages were observed in the community. 3 water samples collected and sent to District Public Health Laboratory Tirupati; result awaited. All cases treated symptomatically. Health education given.",1,
0,CH/CHD/2018/02/0024,Chandigarh,Chandigarh,Acute Diarrheal Disease,31,00,08-01-18,14-01-18,Under Control,"Cases reported RRT investigated the outbreak. House to house survey done. Cases suspected to have consumed contaminated drinking water. with symptoms of abdominal discomfort and diarrhea. 20 water residence for testing by H2S;from Village Dhanas, District Cases presented samples collected from result awaited.",2,
4,CH/CHD/2018/02/0024,Chandigarh,Chandigarh,Acute Diarrheal Disease,31,00,08-01-18,14-01-18,Under Control,"Cases reported RRT investigated the outbreak. House to house survey done. Cases suspected to have consumed contaminated drinking water. with symptoms of abdominal discomfort and diarrhea. 20 water residence for testing by H2S;from Village Dhanas, District Cases presented samples collected from result awaited.",2,
19,MH/LTR/2018/02/0038,Maharashtra,Latur,Acute Diarrheal Disease,41,00,18-12-17,,Under Control,"Cases reported from Village Sirsal, PHC Lamjana, CHC Karala, Block Ausa. District RRT investigated the outbreak. House to house survey done. All cases treated symptomatically. Health education given.",2,
3,GJ/AND/2018/03/0048,Gujarat,Anand,Acute Diarrheal Disease,196,00,18-01-18,19-01-18,Under Surveillance,"Cases reported from Village Karamsad, SC Karamsad, PHC Karamsad, Block Anand. District RRT investigated the outbreak. House to house survey done. All age group were affected. 03 stool samples sent to DPHL Petlad were negative for cholera culture. Health camp organized and all cases treated symptomatically. Health education given.",3,
8,GJ/AND/2018/03/0048,Gujarat,Anand,Acute Diarrheal Disease,196,00,18-01-18,19-01-18,Under Surveillance,"Cases reported from Village Karamsad, SC Karamsad, PHC Karamsad, Block Anand. District RRT investigated the outbreak. House to house survey done. All age group were affected. 03 stool samples sent to DPHL Petlad were negative for cholera culture. Health camp organized and all cases treated symptomatically. Health education given.",3,
11,KN/RNA/2018/03/0051,Karnataka,Ramanagara,Acute Diarrheal Disease,33,00,17-01-18,17-01-18,Under Control,"Cases reported from Urban Health Center Petecheri, Taluk Channapatnna. District RRT investigated the outbreak. House to house survey done. 01 water sample collected sent to PHI, Bangalore was non potable for drinking pupose. All cases treated symptomatically.",3,
17,PB/RUP/2018/03/0057,Punjab,Roopnagar,Acute Diarrheal Disease,37,00,21-01-18,21-01-18,Under Control,"Cases reported from Village Saupur, Block Nurpur Bedi. District RRT investigated the outbreak. House to house survey done. Piprline leakages were observed in the community. Out of 2 stool samples collected,1 sample was positive for shigella culture. Water samples collected; result awaited. All cases treated symptomatically. Health education given.",3,
