Unnamed: 0,Unique ID.,Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/ Action Taken,week_number
0,BH/MZP/2023/15/289,Bihar,Muzaffarpur,Acute Encephalitic Syndrome,01,00,12-04-2023,13-04-2023,Under Control,"Case reported from Village Chhapra Madho, Subdistrict Kanti, District Muzaffarpur. Case presented with acute onset fever, hypoglycemia and neurological manifestations. Symptomatic treatment was given. District RRT investigated the outbreak. The child was a 2 years old male who was later discharged. House to House survey done in the area. Health education was given.",15
3,BH/MZP/2023/15/289,Bihar,Muzaffarpur,Acute Encephalitic Syndrome,01,00,12-04-2023,13-04-2023,Under Control,"Case reported from Village Chhapra Madho, Subdistrict Kanti, District Muzaffarpur. Case presented with acute onset fever, hypoglycemia and neurological manifestations. Symptomatic treatment was given. District RRT investigated the outbreak. The child was a 2 years old male who was later discharged. House to House survey done in the area. Health education was given.",15
15,BH/MZP/2023/15/300,Bihar,Muzaffarpur,Acute Encephalitic Syndrome,01,00,05-04-2023,,Under Control,"Case reported from Village Harpur Besi, Subdistrict Aurai, District Muzaffarpur. Case presented with acute onset fever, hypoglycemia and neurological manifestations. Symptomatic treatment was given. District RRT investigated the outbreak. The child was a 1 year old male who was later discharged. House to House survey done in the area. Health education was given.",15
1,JH/JAT/2023/18/350,Bihar,Sheohar,Acute Encephalitic Syndrome,01,00,03-05-2023,03-05-2023,Under Control,"Case reported as a part of ongoing AES outbreaks from various districts in Bihar in the year 2023. A total of 59 AES cases (19 from Muzaffarpur, 10 from Patna, 6 from Sitamarhi, 5 from East Champaran, 4 from Vaishali, 3 from West Champaran, 2 each from Bhojpur, Nawada and Saran, 1 each from Aurangabad, Jehanabad, Khagaria, Katihar, Samastipur and Sheohar districts) and 3 deaths (1 each from districts Nawada, Patna and Vaishali) have been reported. Case reported from Village Laxminiya, Block Dumri Katsari, District Sheohar. Case presented with difficulty in walking and urinary retention. Blood sample for JE IgM ELISA came negative. He was diagnosed with acute encephalitic syndrome by S.K.M.C.H, Muzaffarpur District RRT investigated the outbreak. The affected case was 12-year-old male. Community awareness and health education given by peripheral health team on the importance of vector control measures.",18
3,JH/JAT/2023/18/350,Bihar,Sheohar,Acute Encephalitic Syndrome,01,00,03-05-2023,03-05-2023,Under Control,"Case reported as a part of ongoing AES outbreaks from various districts in Bihar in the year 2023. A total of 59 AES cases (19 from Muzaffarpur, 10 from Patna, 6 from Sitamarhi, 5 from East Champaran, 4 from Vaishali, 3 from West Champaran, 2 each from Bhojpur, Nawada and Saran, 1 each from Aurangabad, Jehanabad, Khagaria, Katihar, Samastipur and Sheohar districts) and 3 deaths (1 each from districts Nawada, Patna and Vaishali) have been reported. Case reported from Village Laxminiya, Block Dumri Katsari, District Sheohar. Case presented with difficulty in walking and urinary retention. Blood sample for JE IgM ELISA came negative. He was diagnosed with acute encephalitic syndrome by S.K.M.C.H, Muzaffarpur District RRT investigated the outbreak. The affected case was 12-year-old male. Community awareness and health education given by peripheral health team on the importance of vector control measures.",18
38,MH/NAN/2023/35/1115,Maharashtra,Nanded,Acute Encephalitic Syndrome,21,1,01-09-23,02-09-23,Under Surveillance,"Cases Reported from Rukmini nagar, Block Himayat nagar, PHC Chinchodi, SC Palaspur. Cases presented with symptoms of fever with altered sensorium. 21 serum samples were collected & sent to NIV Pune, all were found to be negative for JE. District RRT investigated the outbreak. Community awareness and health education given by peripheral health team on VBD. Death of a 4.5 year old female has occurred due to the illness.",35
10,UP/FAT/2022/05/023,Uttar Pradesh,Fatehpur,Acute Encephalitic Syndrome,01,0.0,24-01-22,05-02-22,Under Control,"Case reported from Village Darota Lalpur Fatehpur, PHC Khajuha, Block Khajuha, District Fatehpur. Cases presented with Fever, altered behavior and headache. One CSF sample was sent for further investigation to KGMU Lucknow., the result is awaited. District RRT investigated the outbreak. Health education was given.",5
13,JH/RCH/2022/23/407,Jharkhand,Ranchi,Acute Encephalitic Syndrome,1,0.0,21-01-2022,08-06-2022,Under Control,"Cases reported from UPHC Edelhatu, Ranchi. Case presented with fever and headache. One blood sample was sent for lab analysis to RIMS, Ranchi and was found negative for Japanese Encephalitis by IgM ELISA. District RRT investigated the outbreak and house to house survey was done. No new case was reported.",23
0,AS/PLK/2021/27/0269,Assam,Dhemaji,Acute Encephalitic Syndrome,01,00,09-07-21,09-07-21,Under Control,"Case reported from Village–Pathalibasti, SC– Mukhtier, PHC & BPHC–Sissiborgaon. Case presented with fever, headache, altered sensorium and loss of consciousness. One Serum sample was sent for further lab analysis, it tested positive for Japanese Encephalitis by IgM ELISA. District RRT investigated the outbreak. Health",27
2,AS/PLK/2021/27/0271,Assam,Dhemaji,Acute Encephalitic Syndrome,01,00,06-07-21,07-07-21,Under Control,"Case reported from Village–Haripur Mishing Gaon, SC–Jonai NSC, BPHC & PHC–Jonai. Case presented with fever, headache, loss of appetite, loss of consciousness. Serum sample was sent for further lab analysis, it tested positive for Japanese Encephalitis by IgM ELISA. District RRT investigated the outbreak. Health education was given.",27
