Unnamed: 0,Unique ID.,Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/ Action Taken,week_number,No. of Death s
6,CT/RGR/2018/05/0101,Chhatisgarh,Raigarh,Acute Gastroenteritis,61,00,26-01-18,30-01-18,Under Control,"Cases reported from Village Ward no 11, 12 CHC Sarangarh. District RRT investigated the outbreak. House to house survey done. Four water and three stool samples collected. Water sample sent to –District PHE Office and Stool Sample sent to Medical College Raigarh. Enteric pathogen (E.Coli) isolated from one sample, remaining two samples were negative for enteric pathogen . Water samples collected were found non potable. Health camp organized in the school and all cases treated symptomatically. Health education given.",5,
28,MG/WKH/2018/12/363,Meghalaya,West Khasi Hills (Nongstoin),Acute Gastroenteritis,47,00,29-01-18,,Under Control,Cases reported from Village Mashynrut. Block West Khasi Hills. District RRT investigated the outbreak. House to house survey done. All cases were less than 5 years of age. Food consumption from the market during weekly market was the possible cause of outbreak. All cases treated symptomatically. Health education given.,12,
17,JK/ANG/2018/13/383,Jammu And Kashmir,Anantnag,Acute Gastroenteritis,37,00,26-03-18,27-03-18,Under Surveillance,"Cases of abdominal pain with vomiting reported from Village Malmargh, SC Vailoo, PHC Wandevel, Block Larnoo. District RRT investigated the outbreak. House to house survey done. 02 Water Samples sent to District Public Lab, Anantnag and 2 Stool Samples for stool culture sent to Provincial Lab IDSP Barzulla. Normal flora was isolated from stool samples. Water samples were nonpotable. All cases treated symptomatically. Community educated on use of boiled water for drinking and cooking. Health education imparted about the disease and its preventive measures. Chlorine tablets distributed in the community. Health education given.",13,
21,OR/BAG/2018/15/469,Odisha,Bolangir,Acute Gastroentritis,11,00,09-04-18,13-04-18,Under Surveillance,"Cases of vomiting with loose stools reported from Village Tankapani, SC Sunamudi, CHC/block Khaprakhol. District RRT investigated the outbreak. House to house survey done. 02 water samples collected; result awaited. All cases treated symptomatically. ORS distributed in the community. IEC activities on use of boil water and hand washing practice done.",15,
23,RJ/ALW/2018/17/558,Rajasthan,Alwar,Acute Gastro Enteritis,251,00,24-04-18,27-04-18,Under Surveillance,"Cases of vomiting with loose stools reported from Village Silawat, CHC Tehla, Block Rajgarh. District RRT investigated the outbreak. House to house survey done. Food consumption at marriage ceremony was the possible cause of outbreak. 04 stool samples sent to SMS Medical College, Jaipur; result awaited. Community was made aware of food and general hygiene. Health camp organized in the school and all cases treated symptomatically.",17,
14,GJ/PAT/2018/18/601,Gujarat,Patan,Acute Gastroenteritis,16,00,05-05-18,05-05-18,Under Control,"Cases reported from Village Vijaynagar, SC Alhabad, PHC Vadnagar, Block Radhanpur. District RRT House contamination due to pipeline leakages and lack of chlorination was the possible cause of outbreak. 01 water sample sent to taluka water testing laboratory for bacteriological testing. Repair of pipeline and regular water chlorination initiated. IEC for personal hygiene given and community informed on safe drinking water practices. Health camp organized in the school and all cases treated symptomatically.to houseinvestigatedsurveythe outbreak. done. Water leakages done",18,
20,MH/AKL/2018/18/607,Maharashtra,Akola,Acute Gastro Entities,19,00,03-05-18,03-05-18,Under Surveillanc e,Cases of loose stools reported from Village Nimba SC Nimba PHC Ural Tq. Balapur. District RRT investigated the outbreak. House to house survey done. Orthotoluidine Test was negative for 02 water samples. 03 Water and 02 stool samples sent to DPHL Lab; result awaited. 01 Bleaching Powder sample sent for analysis for chlorine levels; result awaited. Health camp organized in the school and all cases treated symptomatically. Health education given.,18,
21,MH/AMR/2018/18/608,Maharashtra,Amravati,Acute Gastro Entities,09,01,27-04-18,01-05-18,Under Surveillanc e,"Cases reported from Village Dharwada, SC Marda, PHC Kurha, Block Tiosa. District RRT investigated the outbreak. House to house survey done. 02 Stool and 02 water samples collected; Result Awaited. Health camp organized in the school and all cases treated symptomatically. Health education given on signs and symptoms of dehydration and its prevention. Community educated on Hand washing and personal hygiene. Super-chlorination of water source done.",18,
19,RJ/HNG/2018/19/642,Rajasthan,Hanumangarh,Acute Gastroenteritis,36,00,09-05-18,12-05-18,Under Surveillance,Cases of loose stools with abdominal pain reported from Village Kamana Block Pilibanga Hanumangarh. District RRT investigated the outbreak. House to house survey done. 02 water samples sent to PHED Lab Hanumangarh were nonpotable. During water sample testing chlorine was not found in tested sample. Two food samples sent to FSSAI Lab Jaipur; result awaited. Health camp organized in the school and all cases treated symptomatically. Health education given.,19,
12,JK/KLM/2018/20/660,Jammu And Kashmir,Kulgam,Acute Gastroenteritis,22,00,14-05-18,16-05-18,Under Surveillance,Cases of loose stools and vomiting reported from Village Sirmarg Manzmoh Block Qazigund. District RRT investigated the outbreak. 02 water samples (01 tap water sample and 01 reservoir water sample) and 02 stool samples sent for analysis to IDSP Provincial Lab RFPTC Barzulla Srinagar; both water samples were unsatisfactory. Culture of stool samples shown normal flora. All cases treated symptomatically. Health education given on personal hygiene and hand washing practices.,20,
6,CT/RGR/2018/27/951,Chhattisgarh,Raigarh,Acute Gastroenteritis,49,00,29-06-18,02-07-18,Under Control,"Cases of loose stools with vomiting reported from Village Chantipali, SHC-Lendhra, PHC- Kosir, CHC Sarangarh. District RRT investigated the outbreak. House to house survey done. Water Sample Collected; result awaited. Health camp organized in the school and all cases treated symptomatically. Health education given on personal hygiene and environmental sanitation.",27,
17,OR/BAG/2018/31/1128,Odisha,Bolangir,Acute Gastroenteritis,17,00,02-08-18,03-08-18,Under Control,"Cases of vomiting with pain abdomen reported from Village Salepani, P.O/SC Jarasingha, PS Tusura. District RRT investigated the outbreak. House to house survey done. Food sample collected by food safety officer, Bolangir; result awaited. All cases treated symptomatically. Health education given on food hygiene.",31,
37,MH/AMR/2018/35/1205,Maharashtra,Amravati,Acute Gastro Enteritis,17,00,25-08-18,26-08-18,Under Surveillance,Cases of abdominal pain with vomiting reported from Village Chobita Sub center - Biba PHC- Katkumb Block – Chikhaldara. District RRT investigated the outbreak. House to house survey done. 05 water and 1 stool specimens sent to DPHL Amravati. 02 water samples were non potable and stool sample were negative for enteropathogens. All cases treated symptomatically. Super-chlorination of main water source done. Health education given on dehydration signs and symptoms and its prevention. Community educated on hand washing and hygiene practice.,35,
41,MH/AMR/2018/35/1205,Maharashtra,Amravati,Acute Gastro Enteritis,17,00,25-08-18,26-08-18,Under Surveillance,Cases of abdominal pain with vomiting reported from Village Chobita Sub center - Biba PHC- Katkumb Block – Chikhaldara. District RRT investigated the outbreak. House to house survey done. 05 water and 1 stool specimens sent to DPHL Amravati. 02 water samples were non potable and stool sample were negative for enteropathogens. All cases treated symptomatically. Super-chlorination of main water source done. Health education given on dehydration signs and symptoms and its prevention. Community educated on hand washing and hygiene practice.,35,
41,KL/WYN/2023/22/482,Kerala,Wayanad,Acute Gastroenteritis,45,00,22-05-2023,,Under Control,"Cases reported from Village Thondemad, Sub district Manathavady, District Wayanad. Cases presented with vomiting and loose stools. Water samples collected and sent for investigation. Block RRT investigated the outbreak. House to House survey was done along with ORS distribution, chlorination of water. Water sample did not show growth of any organisms. Cause of outbreak might be food consumed at a wedding ceremony on 17th and 18th May in Kunjhome, ward 1 Thondarnadu Panchayath. Community awareness and health education given by peripheral health team on food hygiene, safe drinking water and sanitation.",22
63,UP/BBN/2023/25/601,Uttar Pradesh,Barabanki,Acute Gastroenteritis,35,00,22-06-2023,24-06-2023,Under Control,"Cases reported from from Village Kiwadi Daniyalpur, Block Banki, District Barabanki. Block Cases presented with symptoms of loose motion and vomiting. District RRT investigated the outbreak. Chlorine tablets and ORS packets distributed in the households. Community awareness and health education given by peripheral health team on the importance of food hygiene, safe drinking water and sanitation.",25
9,,Rajasthan,Alwar,x. Acute Gastro Enteritis,,,,,,,18
15,,Rajasthan,Alwar,x. Acute Gastro Enteritis,14,0,30-04-15,01-05-15,Under Control,"Cases reported from Village Jaisinghpura, CHC/Block Reni, District Jaipur. District RRT investigated the outbreak. All the cases consumed food in a marriage ceremony. Food samples sent to FSA lab; result awaited. All cases treated symptomatically. Health education given.",18
9,,Gujarat,Surat,viii. Acute Gastroenteritis,21,00,22-05-15,26-05-15,Under Surveillance,"Cases reported from Village Sarol, SC Masma, PHC Mor Block Olpad, District Surat. District RRT investigated the outbreak. House to house survey done. Consumption of contaminated water could be the probable cause of the outbreak. All cases treated symptomatically. Health education regarding safe drinking water & personal hygiene given.",22
8,,Gujarat Gujarat,Anand,vii. Acute Gastro Enteritis,22,00,19-07-15,20-07-15,Under Surveillance,"Cases of pain abdomen and loose stools reported from Rahemat Nager Area PHC PP Unit (Urban Health Center), Block Anand. District RRT investigated the outbreak. House to house survey done for new cases. Leakages in water supply pipeline were observed. 2 water samples & 5 stool samples taken and sent to DPHL Petlad, Anand. Both water samples were found to be potable. All stool samples were negative for any entero pathogens. All cases treated symptomatically. Chlorine tablets and ORS packet distributed. Health education regarding chlorination, food safety and hand washing given.",30
2,GJ/AND/2022/10/060,Gujarat,Anand,Acute Gastroenteritis,24,1.0,05-03-22,03-03-22,Under Surveillance,"Cases reported from Village/Block Borsad, PHC Borsad Urban, District Anand. Cases presented with loose stools, abdominal pain and vomiting. Nine stool samples and four water samples were sent to DPHL Petlad, Anand. Stool samples showed no organism and water samples were found unfit for drinking. The deceased case was a 6 year old female. District RRT investigated the outbreak. Symptomatic treatment was given to all the cases. Chlorine tablets and ORS sachets were distributed. Health education was given regarding importance of safe drinking water and sanitation practices.",10
5,GJ/AND/2022/10/060,Gujarat,Anand,Acute Gastroenteritis,24,1.0,05-03-22,03-03-22,Under Surveillance,"Cases reported from Village/Block Borsad, PHC Borsad Urban, District Anand. Cases presented with loose stools, abdominal pain and vomiting. Nine stool samples and four water samples were sent to DPHL Petlad, Anand. Stool samples showed no organism and water samples were found unfit for drinking. The deceased case was a 6 year old female. District RRT investigated the outbreak. Symptomatic treatment was given to all the cases. Chlorine tablets and ORS sachets were distributed. Health education was given regarding importance of safe drinking water and sanitation practices.",10
8,KN/GUL/2022/37/729,Karnataka,Kalaburagi,Acute Gastroenteritis,67,0.0,10-09-22,12-09-22,Under control,"Cases reported from Mandeval Village, Jewargi Taluka, Kalburgi District with symptoms of vomiting and loose stools. Five stool samples sent to DPHL Kalburgi which showed no growth in stool culture test and out of 21 water samples collected 9 were found to be non-potable. District RRT investigated the outbreak. Health education was given. Preventive and control measures such as awareness creation of personal hygiene and drinking of boiled and cooled water, distribution of Halogen tablets, house to house active case finding was done.",37
14,KN/DVA/2021/32/0384,Karnataka,Davanagere,Acute Gastroenteritis,30,00,09-08-2021,,Under Surveillance,"Cases were reported from Village & PHC/CHC- Bhanuvalli, Taluka- Harihara & District- Davanagere. One stool sample and four water samples were sent to DPH Lab DVG, the stool sample did not show the growth of any bacilli, four water samples were found fit for drinking purpose. District RRT investigated the outbreak. Health education was given.",32
15,KN/HAV/2021/32/0385,Karnataka,Haveri,Acute Gastroenteritis,48,00,13-08-2021,,Under Control,"Cases reported from Village & PHC/CHC- Hosaveerapur, Taluka- Hirekerur & District- Haveri. Two water samples, two stool samples and three blood samples were sent to DPHL Haveri Lab, the water samples were found to be fit for drinking, the stool samples did not show the presence of any bacilli. District RRT investigated the outbreak. Health education was given.",32
9,KN/YDI/2021/37/0457,Karnataka,Yadgir,Acute Gastroenteritis,40,00,14-09-21,14-09-21,Under Surveillance,"Cases reported from Taluk Yadgir, District Yadgir. Cases presented with vomiting and loose stools. Water and four stool samples were collected and sent to DPHL for further lab analysis. Water was found unfit for drinking. District RRT investigated the outbreak. It was found that non-chlorinated water was supplied to the village. All cases were treated by ORS and anti-diarrheal drugs. Active surveillance was done. Health education was given regarding importance of hygiene and sanitation measures. Health education was given.",37
16,TL/HYD/2021/47/0670,Telangana,Rangareddy,Acute Gastroenteritis,16,00,26-11-21,27-11-21,Under Control,"Cases reported from Mahatma Jyothibaphule BC Boys hostel Saroornagar, District Rangareddy. Three water samples WERE sent to Niloufer Hospital & IPM for further lab analysis, the result is awaited. District RRT investigated the outbreak. Health education was given.",47
1,GJ/AND/2017/5/0104,Gujarat,Anand,Acute Gastroenteritis,69,00,31-01-17,31-01-17,Under Control,"Cases reported from Village/SC/PHC Karamsad, Block Anand. District RRT investigated the outbreak. House to house survey done. 05 stool samples tested negative for enteric pathogens and out of 05 water samples tested, 3 found non potable. Health camp organized in the school and all cases treated symptomatically. Health education given.",5
6,GJ/AND/2017/5/0104,Gujarat,Anand,Acute Gastroenteritis,69,00,31-01-17,31-01-17,Under Control,"Cases reported from Village/SC/PHC Karamsad, Block Anand. District RRT investigated the outbreak. House to house survey done. 05 stool samples tested negative for enteric pathogens and out of 05 water samples tested, 3 found non potable. Health camp organized in the school and all cases treated symptomatically. Health education given.",5
3,JK/KWR/2017/6/0134,Jammu & Kashmir,Kupwara,Acute Gastroenteritis,17,00,04-02-17,06-02-17,Under Control,"Cases reported from Village Farkin, Kralpora, Kupwara CHC/Block/SC: Kralpora PHC Farkin. District RRT investigated the outbreak. House to house survey done. All 02 Water sample tested at Public Health Lab Barzulla Srinagar, found unsatisfactory. Health camp organized and all cases treated symptomatically. Health education given.",6
