Unnamed: 0,Unique ID.,Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/ Action Taken,week_number
13,JH/JAT/2023/18/360,Odisha,Koraput,Anthrax,05,00,30-04-23,02-05-23,Under Control,"Cases reported from villages Tentuliguda, Khajuriguda & Marichmal, Block Dasmantpur, District Koraput. Cases presented with painless skin sore, blister/bump in hand, neck forearms. District and block RRT investigated the outbreak. The cases belonged to age range of 20- 48 years old. Total 19 skin swabs specimen collected and tested at DPHL, Koraput which found positive for Bacillus Anthracis by Gram’s staining. Moreover, the RMRC, Bhubaneswar and NCDC team also visited to the affected villages for investigation. Etc. Animal vaccination and carcasses disposal are being done by district veterinary department. Total 6 Mini health cum surveillance camps conducted in the affected & nearby villages. Community awareness and health education given by peripheral health team on the importance of hygiene and sanitation.",18
19,OR/ERN/2019/23/0599,Odisha,Sundargarh,Anthrax,01,00,04-06-19,07-06-19,Under Control,"Cases reported from Village Tetrabahal, SC Dullarpur, GP Andalijambahal, and CHC/Block Kuarmunda. District RRT investigated the outbreak. Infection spread after handling & taken dead goat meat. House to house search continuing, IEC activities, Group meeting done, Contact Doses Given.",23
49,OR/ERN/2019/23/0628,Odisha,Koraput,Anthrax,08,00,10-05-19,,Under Control,"Cases reportedfrom Village Anlajodi, GP/SC Chipakhur. Block Boipariguda. District RRT investigated the outbreak. 7 no. Of samples collected, result awaited. Patients Treated with Doxycycline, Ciprofloxacin. Povidone Iodine ointment. All cases treated symptomatically. Health education given.",23
26,AP/VKP/2019/27/0798,Andhra Pradesh,Visakhapatnam,Anthrax,02,00,27-06-19,,Under Surveillance,"positive for Anthrax, 2nd result awaited. House surveyCases reported from Village Madagada, Dumbriguda Mandal.",27
22,OR/KPT/2019/30/0931,Odisha,Koraput,Anthrax,13,00,19-07-19,25-07-19,No new cases reported,"Cases reported CHC/Block Boipariguda. investigated the outbreak. House to house survey done. All cases consumed meat of a dead goat. 6 swabs were collected and sent to DPHL & MCVR; 5 swabs were positive for Anthrax bacillus by RT PCR. All cases treated symptomatically. Health education given.from Village Rupuguda, District RRT",30
17,OR/KPT/2019/45/1474,Odisha,Koraput,Anthrax,05,00,07-11-19,13-11-19,Under Control,"Cases reported from Village S. Dandabada, CHC Dasmantpur, SC/GP Chanadada. District RRT investigated the outbreak. House to house survey done. Two cattle deaths were reported from the village in the past 15 days. A total of 08 individuals were in contact with the cattle, 05 of whom are suspected to have developed cutaneous anthrax. A single slide swab & scrap sample collected and gram positive organism resembling B anthrax seen. All cases were treated symptomatically. Veterinary Dept collected some soil samples and vaccinated cattle. Contact treatment given to all households. Health education given on procedure for burial of cattle.",45
31,4.,Orissa,Koraput,Anthrax,4,0,02-06-10,,Under control,"Cases reported from Village Bileigda, PArajakhubi, Bariguda, GP Daleiguda, Khudi, Gunthaput, Sub Centre Gunthaput, Khudi, PHC Kunduli. Health education imparted. Block medical team visiting regularly to affected villages. IEC activities undertaken regarding personal protection measures.",23
46,,6. West Bengal,Murshidabad,Anthrax,13,0,30-07-10,,Under surveillance,"Cases reported from Vill-Sarsabad, Modhya Para, Berhempur. GP-Madanpur. District RRT visited the affected area and investigated the cases. Out of 13 smears collected and sent to DPH Lab for investigation, 4 smears found positive for Bacillus anthracis. Cases treated with antibiotics. History of contact or consumption of meat of diseased buffalo found in all cases. Vaccination of cattle is being done. IEC activities undertaken regarding personal protection measures. Prompt reporting of cases has been advised.",33
29,,1. West Bengal,Murshidabad,Anthrax,12,0,02-09-10,,Under surveillance,"Cases reported from Vill Regilapara, Dharampur, Swaruppur, Dakshin Tortipur, Hariharpara. Block RRT visited the affected area and investigated the cases. Out of 7 smears collected and sent to DPH Lab for investigation, 4 found positive for Anthrax bacillus. All cases had history of contact/consumption of meat of diseased cow. All cases treated with antibiotics. Active surveillance is going on. IEC activities undertaken regarding personal protection measures.",38
24,2.,W est Bengal,Murshidabad,Anthrax,9,0,08-10-10,,Under surveillance,"Outbreak reported from Vill-Tekona, GP-Dharampur, Hariharpara block. Block RRT visited the affected area and investigated the cases. 5 smears have been tested positive for B. anthracis at District PH Lab. There is history of contact/consumption of meat of diseased cow. All cases have been treated with antibiotics. Medical camp has been organized in the affected village. Intensive IEC activities being done. Active surveillance going on.",43
15,10.,Odisha,Koraput,Anthrax,14,0,24-05-2014,27-05-2014,Under control,"Cases reported from Village Jangaljodi, SC Dandabadi, district Koraput. Villagers handled and consumed dead cattle on 18/05/2014 after which they developed symptoms. A total of 05 samples collected and sent to MKCG Medical College Behrampur for testing; 02 samples tested positive for Anthrax. Medical team visited the area. IEC done by district and block RRT for not handling or consuming cattle.",22
36,JH/SIM/2017/7/0202,Jharkhand,Simdega,Anthrax,05,00,04-02-17,,Under Surveillance,"Cases reported from Village Orgoto, Pindatanger, CHC/Block Simdega. District RRT investigatedJoakpani, HSC",7
10,JH/GML/2017/21/0758,Jharkhand,Gumla,Anthrax,12,02,18-05-17,22-05-17,Under Control,"Cases reported from Village Rampur, SC Chorbindha, CHC/Block Kamdara. District RRT investigated the outbreak. House to house survey done. Out of 4 samples collected and sent to Manipal Virus Research Laboratory, 1 sample was positive for Bacillus anthracis (RT PCR). Two deaths in 30yr and 35yr old male were reported. All cases treated symptomatically. Health education given.",21
15,OR/KPT/2017/40/1426,Odisha,Koraput,Anthrax,01,00,30-09-17,04-10-17,Under Surveillance,"Cases reported from Village Daisini, CHC Bandhugaon. District RRT investigated the outbreak. House to house survey done. 01 swab sample collected, result awaited. All cases treated symptomatically. Health education given.",40
33,OR/KPT/2017/44/1555,Odisha,Koraput,Anthrax,02,00,20-10-17,,Under Control,"Cases reported from Village Bahirpada, CHC Nandapur. District RRT investigated the outbreak. House to house survey done. All cases treated symptomatically. Health education given.",44
12,AP/VKP/2017/52/1705,Andhra  Pradesh,Visakhapatnam,Anthrax,07,00,18-12-17,,Under  surveillance,"Cases  reported  from  Village  Pinapadu,  PHC  Lothugedda,  Chintapali  Mandal.  District  RRT  investigated  the  outbreak.  House  to  house  survey  done.  Cases  had  consumed  deceased  cow  meat.  Out  of  5  lesion  samples  sent  to  Microbiology  Department,  Andhra  Medical  College,  Visakhapatnam;  4  samples  were  positive  for  B.anthracis  culture.  Blood  smears  from  cattle  found  negative  for  Anthrax  bacilli  by  Methylene  Blue and Giemsa’s staining. Health education given.",52
55,OR/KPT/2024/22/1093,Odisha,Koraput,Anthrax,5.0,0.0,28-05-2024,29-05-2024,Under Control,"Cases reported from Health Facility: Tala Kutting, Village: Uparakuttinga, Sub-District: Lakshmipur, District: Koraput. Cases presented with skin lesions. The affected age group was 23-75 years. Five skin swab samples were collected and sent to ICMR-RMRC, Bhubaneswar, out of which 3 were positive for Bacillus anthracis by PCR. District RRT investigated the outbreak. House to house active case surveillance was conducted. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation.",22
42,OR/KPT/2024/23/1152,Odisha,Koraput,Anthrax,5.0,0.0,06-06-2024,07-06-2024,Under Control,"Cases were reported from Village Pindapadar, Sub-District Dasamantapur, District Koraput. Cases presented with fever with skin lesion. 5 pus samples were collected and sent to ICMR- RMRC, Bhubneshwar. 3 samples came positive for the Anthrax by RT-PCR. District RRT investigated the outbreak. Age group of the affected cases was 25-34 years. Cases treated symptomatically. Community awareness and health education given by peripheral team on vaccination, hygiene and sanitation.",23
60,OR/KPT/2024/24/1227,Odisha,Koraput,Anthrax,5.0,0.0,07-06-2024,10-06-2024,Under Control,"Cases reported from CHC Lakshmipur, Village: Odiapenthia, Sub-District: Lakshmipur, District: Koraput. Cases presented with symptoms of skin lesion. The affected age group was 25-60 years. Five pus swab samples were sent to DPHL Koraput, out of which 2 were positive for Bacillus anthracis by RT- PCR. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on Anthrax & its control measures, hygiene and sanitation. Daily house to house survey were carried out for active surveillance and case detection. IEC & health awareness campaign, miking, wall writing & focus group meetings were done in the affected village.",24
45,OR/KPT/2024/25/1291,Odisha,Koraput,Anthrax,6.0,0.0,19-06-2024,20-06-2024,Under Control,"Cases were reported from village Padeiguda, Sub-District Koraput, District Koraput. Cases presented with skin lesions, pain and fever. 6 skin swab samples were collected and sent to DPHL Koraput and RMRC Bhubneshwar. 2 samples came positive for Bacillus anthracis by PCR. District RRT investigated the outbreak. Cases symptomatically. Community awareness and health education given by peripheral team on hygiene, and sanitation.",25
42,OR/KPT/2016/10/0513,Odisha,Koraput,Anthrax,01,00,26-02-16,,Under Surveillance,"Cases reported from Village Dangadhar, GP Chipakur, Block Boipariguda. District RRT investigated the outbreak. House to house survey done1 sample tested at DPHL, Koraput and Morphologically Found Gram +ve rods resembling Bacillus anthracis. All cases treated symptomatically. Source reduction activities undertaken. Health education given.",10
23,OR/KPT/2016/16/0864,Odisha,Koraput,Anthrax,07,00,18-04-16,22-04-16,Under Surveillance,"Cases reported from Village Naragachha, SC Pindapadar, Block Dasamantpur. District RRT investigated the outbreak. House to house survey",16
10,JH/SIM/2016/19/1070,Jharkhand,Simdega,Anthrax,06,01,05-05-16,12-05-16,Under Surveillance,"Cases reported from Village Kohipat Khas, PHC Hurda, CHC/Block Bano. District RRT investigated the outbreak. House to house survey done. Out of 04 Swab samples tested at RIMS, Ranchi, 2 were tested positive for B. anthracis. All cases treated symptomatically. Health education given.",19
