Unnamed: 0,Unique ID.,Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/ Action Taken,week_number,No. of De ath s
8,GJ/ARL/36/1229,Gujarat,Amreli,CCHF,01,01,30-08-18,04-09-18,Under Surveillance,"Cases reported from Village Kidi, SC / PHC Khambhala, Block Babara. District RRT investigated the outbreak. House to house survey done. Serum sample of the affected was taken and sent to NIV Pune and tested positive for CCHF. District RRT and Block RRT visited the affected area and active case search was done in the affected area to find out new cases & tick density. Tick control activities undertaken.",36,
9,KL/TRC/2018/46/1475,Kerala,Thrissur,CCHF,01,00,13-11-18,01-12-18,Under Control,"A 31yr old male native of Mallapurum working as butcher Cochin on 29th November 2018. On his journey he presented symptoms with headache and was admitted in Private Hospital in Cochin. District RRT investigated the outbreak.  and vomiting.  (by PCR).  the blood sample was negative CCHF and was discharged from hospital.  affected area and were locally in Abu Dhabi, UAE. Active search of cases done and contacts were traced. 2 blood samples were collected and sent to MCVR, Manipal were negative for CCHF. Infection control measures were undertaken in the hospital. No new cases were Health education given.in Abu Dhabi, UAE returned to On 15th November 2018 the case was admitted in a hospital in Abu Dhabi, UAE with symptoms of high grade fever, headache, body pain, myalgia Blood sample was positive for CCHF He was treated in a hospital at Abu Dhabi, UAE. On 25th November 2018, for the 3 more cases were reported from the treated in reported.",46,
1,GJ/BVN/2018/52/1602,Gujarat,Bhavnagar,CCHF,01,00,23-12-18,24-12-18,Under Surveillance,"Case of fever with headache vomiting and diarrhea reported from Village/SC Dharwala, PHC Umrala Block Ranghola,. District RRT investigated the outbreak. House to house survey done. A farmer by occupation was admitted in Civil Hospital, Ahmendabad on 22nd December 2018. 1 serum sample collected and sent to NIV Pune was positive for CCHF (IgM ELISA). Out of 57 contacts (19 close contacts and 38 health care providers) serum samples were collected and sent to NUIV, Pune; were negative for CCHF (IgM ELISA). Animal Husbandry Dept collected 10 tick samples and 10 animal serum samples and sent to NIV, Pune; result awaited. Anti-tick measures (Liq delta force) spraying done in the affected area. Indoor spraying (Malathion) done in the affected area. Health education given regarding personal protection.",52,
5,GJ/BVN/2018/52/1602,Gujarat,Bhavnagar,CCHF,01,00,23-12-18,24-12-18,Under Surveillance,"Case of fever with headache vomiting and diarrhea reported from Village/SC Dharwala, PHC Umrala Block Ranghola,. District RRT investigated the outbreak. House to house survey done. A farmer by occupation was admitted in Civil Hospital, Ahmendabad on 22nd December 2018. 1 serum sample collected and sent to NIV Pune was positive for CCHF (IgM ELISA). Out of 57 contacts (19 close contacts and 38 health care providers) serum samples were collected and sent to NUIV, Pune; were negative for CCHF (IgM ELISA). Animal Husbandry Dept collected 10 tick samples and 10 animal serum samples and sent to NIV, Pune; result awaited. Anti-tick measures (Liq delta force) spraying done in the affected area. Indoor spraying (Malathion) done in the affected area. Health education given regarding personal protection.",52,
10,1269034/2019/O/O IDSP-NCDC GJ/RJK/2019/08/0194 Gujarat,,Rajkot,CCHF,01,01,12-02-19,22-02-19,Under Control,"Cases of fever with myalgia, diarrhea reported from Village Mungavavdi, SC Daliya, PHC Moviya, Taluk Gondal. District RRT investigated the outbreak. House to house survey done. Out of 2 serum samples collected and sent to NIV Pune; 1 blood sample was positive for CCHF (IgM ELISA) and the other blood sample collected was positive for CCHF (RT- PCR). Indoor residual spray with 5% alphacypermethrin was sprayed in the affected households. 12 closed contacts were traced and monitored on a daily basis. All cases treated symptomatically. Health education given.",8
16,GJ/BVN/2019/12/0304,Gujarat,Bhavnagar,CCHF,01,01,11-03-19,,Under Surveillance,"Cases reported from Village/SC Dharwala, PHC Ranghola, Block Umrala. District RRT investigated the outbreak. House to house survey done. 10 Serum samples taken sent to NIV Pune, 01 positive for CCHF. 28 Animal samples collected sent to NIV Pune, result awaited. 25 Tick sample taken and sent NIV Pune. MC RRT & DRRT visited affected area. All houses in the area were sprayed with insecticide and 133 animals were treated with insecticide spraying and treatment. Patient had history of tick bite 22 days prior to onset of illness and was also suffering from lung and kidney disease. He was farmer and had exposure to cattle and other animals.",12
28,GJ/BVN/2019/12/0304,Gujrat,Bhavnagar,CCHF,01,00,26-03-19,Under Surveillance,"A Shepard by occupation presented symptoms with fever, headache, myalgia from Village Reva, SC Dharuka, PHC Ranghola, Block Umrala. District RRT investigated the outbreak. Active search of cases done. The index case blood sample was sent to NIV, Pune and was positive for CCHF (Ig M ELISA). Out of 30 human close contacts samples were collected and sent to NIV, Pune; 1 sample of lab technician was positive for CCHF (IgG ELISA). 40 animal, 37 tick samples were collected and sent to NIV Pune; result awaited. Contacts were traced and were monitored. All cases treated symptomatically. Anti-tick measures were carried out. Malathion and Lime dusting done in affected areas. Health education given.",,13
8,GJ/BVN/2019/21/0541,Gujarat,Botal,CCHF,01,01,17-05-19,23-05-19,Under Surveillance,"A suspected case of CCHF was admitted at Sir Takhtsingh General Hospital reported from Village/SC Ningala, PHC Khopala, Block Gadhada. The case presented symptoms of fever with rigor, body ache and headache since 08th May 2019. Serum samples collected and tested at NIV, Pune was positive for Crimean Congo Hemorrhagic Fever on 17th May 2019. The case expired on 18th May 2019. District RRT visited & investigated outbreak. Active search of cases done. Lime dusting done in village. IEC regarding CCHF done. Health education given.",21
9,GJ/KHD/2019/38/1206,Gujarat,Kheda,CCHF,01,01,19-09-19,19-09-19,Under Surveillance,"Case reported from Area Bangalow Sim, Village Lalmandava, SC Lalmandava, PHC Nirmali, Block Kapadwanj. District RRT investigated the outbreak. The deceased was a 55 year old male. A single sample of serum, EDTA blood and urine collected and tested at NIV Pune was positive for CCHFV by Real Time RT PCR. Close contacts kept under observation. Delta Methrin 1.5% spraying in cattle shed done by Animal Husbandry Department. Health education given.",38
22,GJ/JNR/2019/38/1218,Gujarat,Jamnagar,CCHF,02,00,02-09-19,,Under Control,"Cases reported from UPHC Nilkanthnagar area. District RRT investigated the outbreak. Cases have history of contact with a CCHF cases. The affected is a health care provider and the other male is the sibling of a case who is suspected to have died due to CCHF. Samples collected and tested at NIV,Pune were positive for CCHF. Cases were treated symptomatically. Close contacts kept under observation. Delta Methrin 1.5% spraying in cattle shed done by Animal Husbandry Department. Health education given.",38
1,GJ/ARL/2019/40/1275,Gujarat,Amreli,CCHF,01,01,29-09-19,04-10-19,Under Surveillance,"A case presented symptoms of fever & vomiting reported from Village Suvagadh, PHC Ansodar, Taluk Lathi was admitted in hospital. Serum sample collected and send to NIV, Pune; was positive for CCHF. District RRT investigated the outbreak. Active search of cases done. One death occurred in a 65yr old female. Entomological survey done in the affected area. Tick repellant, indoor residual spray & other vector control measures were undertaken. IEC activities undertaken regarding animal handling, anti-tick control measures, personal hygienic practices.",40
5,GJ/ARL/2019/40/1275,Gujarat,Amreli,CCHF,01,01,29-09-19,04-10-19,Under Surveillance,"A case presented symptoms of fever & vomiting reported from Village Suvagadh, PHC Ansodar, Taluk Lathi was admitted in hospital. Serum sample collected and send to NIV, Pune; was positive for CCHF. District RRT investigated the outbreak. Active search of cases done. One death occurred in a 65yr old female. Entomological survey done in the affected area. Tick repellant, indoor residual spray & other vector control measures were undertaken. IEC activities undertaken regarding animal handling, anti-tick control measures, personal hygienic practices.",40
41,GJ/BTA/2019/42/1363,Gujarat,Botad,CCHF,01,01,01-09-19,,Under Control,"A case presented symptoms of fever & vomiting reported from Village Timbala, PHC Salangpur, Taluk Barwala. District RRT investigated the outbreak. Active search of cases done. 2 Serum sample collected and send to NIV, Pune; was positive for CCHF. One death occurred in a 47yr old female. Entomological survey done in the affected area. Tick repellant, indoor residual spray & other vector control measures were undertaken. IEC activities undertaken regarding animal handling, anti-tick control measures, personal hygienic practices.",42
17,RJ/SRH/2019/46/1522,Rajasthan,Sirohi,CCHF,01,00,10-11-19,11-11-19,Under Surveillance,"A case resident from Village Uthman, PHC Paldi M, Block Sheoganj presented symptoms of fever, myalgia and vomiting and was admitted in BJ Medical College. District RRT investigated the outbreak. Active search of cases done. 01 serum sample collected and sent to NIV Pune was positive for CCHF (IgM ELISA). Tick control measures undertaken in the affected area by Animal husbandry Dept. Health education given.",46
