Unnamed: 0,Unique ID.,Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/ Action Taken,week_number,No. of De ath s
1,AS/KMM/2018/01/0002,Assam,Kamrup Metro,Chickenpox,08,00,29-12-17,03-01-18,Under Control,Cases reported from Village Dakhingaon SD Lakhara. District RRT investigated the outbreak. House to house survey done. All 02 blood samples collected were found positive for chickenpox (IgM ELISA). All cases treated symptomatically. Health education given.,1,
4,AS/KMM/2018/01/0002,Assam,Kamrup Metro,Chickenpox,08,00,29-12-17,03-01-18,Under Control,Cases reported from Village Dakhingaon SD Lakhara. District RRT investigated the outbreak. House to house survey done. All 02 blood samples collected were found positive for chickenpox (IgM ELISA). All cases treated symptomatically. Health education given.,1,
7,KN/TUM/2018/01/0005,Karnataka,Tumakur,Chickenpox,16,00,02-01-18,02-01-18,Under Control,"Cases reported from Village Beedhi Nitturu, PHC Basaveshvara, Block Gubbi. District RRT investigated the outbreak. House to house survey done. All 02 serum samples collected were found positive for chickenpox. Isolation of active cases. All cases treated symptomatically. Health education given.",1,
14,UP/FAT/2018/01/0012,Uttar Pradesh,Fatehpur,Chickenpox,11,00,29-12-17,01-01-18,Under Surveillance,"Cases reported from Village Pamrauli, Block Bahua, CHC Gazipur. District RRT investigated the outbreak. House to house survey done. All cases treated symptomatically. Health education given.",1,
23,BH/SHK/2018/01/0019,Bihar,Shekhpura,Chickenpox,20,00,22-12-017,,Under Control,"Cases reported from Village Lodipur, Block/PHC Sheikhpura. District RRT investigated the outbreak. House to house survey done. All the affected cases were below 12yrs of age. All cases treated symptomatically. IEC activity done regarding personal hygiene and isolation of cases.",1,
2,JH/SIM/2018/02/0026,Jharkhand,Simdega,Chickenpox,14,00,05-01-18,13-01-18,Under Control,"Cases Dumarmunda, CHC house swab sent (virusreported from District RRT investigated the outbreak. House to survey done. Affected age group was between 6yrs - 46yrs. All 06 blood sample and found to be positive for Varicella Zoster Virus isolation PCR). symptomatically. Health education given.Village Kullumara Jaldega, Block Bansjor. to MCVR Manipal University were All cases treated",2,
6,JH/SIM/2018/02/0026,Jharkhand,Simdega,Chickenpox,14,00,05-01-18,13-01-18,Under Control,"Cases Dumarmunda, CHC house swab sent (virusreported from District RRT investigated the outbreak. House to survey done. Affected age group was between 6yrs - 46yrs. All 06 blood sample and found to be positive for Varicella Zoster Virus isolation PCR). symptomatically. Health education given.Village Kullumara Jaldega, Block Bansjor. to MCVR Manipal University were All cases treated",2,
8,KN/TUM/2018/02/0028,Karnataka,Tumkur,Chickenpox,22,00,08-01-18,12-01-18,Under Control,"Cases reported from Village Doddarampura Gollarahatti, PHC Theerthapura, Taluk C N Halli. District RRT investigated the outbreak. House to house survey done. 2 blood samples collected sent to MMC, Mysore; result awaited. All cases treated symptomatically. Health education given.",2,
11,TN/KRI/2018/02/0031,Tamilnadu,Krishnagiri,Chickenpox,16,00,12-01-18,12-01-18,Under Control,"Cases reported from Village/SC Thimmapuram, PHC Kanankurichi Block Salem. District RRT investigated the outbreak. House to house survey done. All cases treated symptomatically. Health education given.",2,
12,TN/SLM/2018/02/0032,Tamilnadu,Salem,Chickenpox,12,00,08-01-18,09-01-18,Under Control,"Cases reported from Village Annamar Street, SC Erumapalayam, Kaveripatnaum. District RRT investigated outbreak. House to house survey done. All cases treated symptomatically. Health education given.kovil PHC/Block the",2,
14,UP/FAT/2018/02/0034,Uttar Pradesh,Fatehpur,Chickenpox,14,00,07-01-18,12-01-18,Under Surveillance,Cases reported from Village Bhairwa Block Haswa. District RRT investigated the outbreak. House to house survey done. All cases treated symptomatically. Health education given.,2,
23,OR/JAJ/2018/02/0041,Odisha,Jajpur,Chickenpox,15,00,23-12-17,,Under Control,"Cases reported from Village Taragarh, SC Talagarh, CHC Korai. District RRT investigated the outbreak. House to house survey done. 5 serum samples collected result awaited. All cases treated symptomatically. Health education given.",2,
12,KN/UDU/2018/03/0052,Karnataka,Udupi,Chickenpox,32,00,18-01-18,19-01-18,Under Control,"Cases reported from Village Aroor, PHC/CHC Pethri, Taluk Udupi. District RRT investigated the outbreak. House to house survey done. 02 serum & 01 Vesicular swab samples collected; 1 serum sample was positive for Chickenpox (IgM ELISA). All cases treated symptomatically. Health education given.",3,
13,KN/HAV/2018/03/0053,Karnataka,Haveri,Chickenpox,29,00,14-01-18,20-01-18,Under Control,"Cases reported from Village Devageri Yallapur, PHC/CHC Devageri, Taluk Haveri. District RRT investigated the outbreak. House to house survey done. All 05 blood samples collected sent Mysuru Institute Of Medical College Andto",3,
21,BH/NLD/2018/03/0060,Bihar,Nalanda,Chickenpox,33,00,03-01-18,,Under Surveillance,"Cases reported from Village Lodipur, SC Jakhaur, PHC Bind. District RRT investigated the outbreak. House to house survey done. Out of 06 samples collected at PMC Microbiology Department; 01 sample equivocal for chickenpox. All cases treated symptomatically. Health education given.",3,
22,BH/NLD/2018/03/0061,Bihar,Nalanda,Chickenpox,15,00,04-01-18,,Under Control,"Cases reported from Village Imamganj, HSC Iqbal Ganj, PHC Rahui, Block Rahui. District RRT investigated the outbreak. House to house survey done. All cases treated symptomatically. Health education given.",3,
23,BH/NLD/2018/03/0062,Bihar,Nalanda,Chickenpox,12,00,01-01-18,,Under Control,"Cases reported from Village/SC Tetrawan, PHC Sadar, Block Sadar. District RRT investigated the outbreak. House to house survey done. All cases treated symptomatically. Health education given.",3,
30,OR/BAG/2018/03/0068,Odisha,Bolangir,Chickenpox,08,00,04-01-18,,Under Control,"Cases Ghunsar, Block Chickenpox. education given.reported from Village Babulba, SC Ghunsar, PHC Saintala. District RRT investigated the outbreak. House to house survey done. Out of 05 serum samples collected RMRC Bhubaneswar, 2 samples were positive for All cases treated symptomatically. Health",3,
1,BH/NAW/2018/04/0074,Bihar,Nawada,Chickenpox,10,00,21-01-18,24-01-18,Under Control,"Cases reported from Village Baniya Bigha, PHC Narhat, Block Narhat. District RRT investigated the outbreak. House to house survey done. All the cases were between 4 to 32yrs age group. Symptomatic treatment were given them. IEC done regarding isolation of cases.",4,
2,BH/NAW/2018/04/0075,Bihar,Nawada,Chickenpox,16,00,19-01-18,24-01-18,Under Control,"Cases reported from Village Jalalpur, PHC/Block Akbarpur. District RRT investigated the outbreak. House to house survey done. Affected cases were in 4 to 30yrs age group. Symptomatic treatment were given. Health education given.",4,
6,BH/NAW/2018/04/0074,Bihar,Nawada,Chickenpox,10,00,21-01-18,24-01-18,Under Control,"Cases reported from Village Baniya Bigha, PHC Narhat, Block Narhat. District RRT investigated the outbreak. House to house survey done. All the cases were between 4 to 32yrs age group. Symptomatic treatment were given them. IEC done regarding isolation of cases.",4,
7,BH/NAW/2018/04/0075,Bihar,Nawada,Chickenpox,16,00,19-01-18,24-01-18,Under Control,"Cases reported from Village Jalalpur, PHC/Block Akbarpur. District RRT investigated the outbreak. House to house survey done. Affected cases were in 4 to 30yrs age group. Symptomatic treatment were given. Health education given.",4,
11,JH/WSI/2018/04/0079,Jharkhand,West Singhbhum,Chickenpox,11,00,25-01-18,28-01-18,Under Control,"Cases reported from Village/SC Jomoro, CHC Bandgaon. District RRT investigated the outbreak. House to house survey done. 05 blood serum samples collected sent to DPHL Sadar Hospital Chaibasa result awaited. All cases presented fever with macula-popular rash. Cases treated were in age group less education and IEC isolation of cases.",4,
21,TN/TVM/2018/04/0089,Tamilnadu,Tiruvannmali,Chickenpox,21,00,22-01-18,24-01-18,Under Control,Cases of fever with maculo popular rash reported from Village/HSC/ PHC/Block Kalambur. District RRT investigated the outbreak. House to house survey done. Affected age group was between from 1- 14yrs. All cases treated symptomatically. Health education regarding isolation of cases was imparted.,4,
22,TN/TVM/2018/04/0090,Tamilnadu,Tiruvannmali,Chickenpox,30,00,24-01-18,25-01-18,Under Control,"Cases reported from Village/HSC Pudurchekkadi, PHC Se. Gudalur, Block Vanapuram. District RRT investigated the outbreak. House to house survey done. All the cases were below 14yr oftreated symptomatically.",4,
9,JH/WSI/2018/05/0104,Jharkhand,West Singbhum,Chickenpox,22,00,26-01-18,03-02-18,Under Control,"Cases reported from Village Lokehatu SC/ PHC/: Nakahasha CHC/ Block: Sadar Chaibasa, District West Singhbhum. Total 22 cases with age group 06-50 years. Ten cases were male and 14 were female. No death was reported. RRT investigated the outbreak Five serum samples collected and sent to RIMS Medical College Ranchi, four were positive for VZV IgM.",5,
13,MP/RSN/2018/05/0108,Madhya Pradesh,Raisen,Chickenpox,18,00,01-02-18,03-02-18,Under Control,"Cases reported from Village Bairagaon, SHC Samnapur, Block Gairatganj. District RRT investigated the outbreak. House to house survey done. No lab samples were collected. Vit. A given to all affected person and children less than 10 yrs, Symptomatic treatment and health education given to the District RRT team.",5,
14,MP/UIJ/2018/05/0109,Madhya Pradesh,Ujjain,Chickenpox,42,00,29-01-18,01-02-18,Under Control,"Cases reported from Village Unhel, SHC Narsinghgad, Block Khachrod. District RRT investigated the outbreak. House to house survey done on 30.01.18 Dist. RRT visited the affected village. Health camp was conducted and IEC Awareness regarding prevention given to teachers and villagers, advised to isolate cases and symptomatic treatment given.",5,
15,PN/PON/2018/05/0110,Puducherry,Puducherry,Chickenpox,09,00,29-01-18,29-01-18,Under Control,"Cases reported from Village/SC Pillaichavady, PHC Kalapet. District RRT investigated outbreak. House to house survey done. During active case search conducted on 31.01.18, 3 more cases identified. All cases symptomatically and advised to stay in isolation till rashes heel. Health education given.the treated",5,
