Unnamed: 0,Unique ID.,Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/ Action Taken,week_number,No. of De ath s
8,KN/GUL/2018/01/0006,Karnataka,Kalaburagi,Chikungunya,55,0,02-01-18,03-01-18,Under Surveillance,"Cases fever with joint pains reported from Village Bedakpalli, PHC/CHC Sulepet. District RRT investigated the outbreak. House to house fever survey done. Out of 12 blood samples sent to SSL, Gulbarga; 5 samples were positive for Chikungunya (IgM ELISA).Larva survey and source reduction activities done. Temporary clinic were established at the area. Fogging done. IEC & Health Education activities carried out.",1,
25,MH/STA/2018/01/0021,Maharashtra,Satara,Chikungunya,09,00,17-11-17,,Under Control,"Cases reported from Village/Block/PHC/SC Wai. District RRT investigated the outbreak. House to house survey done. 04 serum samples tested send to NIV, Pune; 3 samples were positive for Chikungunya (IgM ELISA). All cases treated symptomatically. Health education given.",1,
9,KN/GUL/2018/02/0029,Karnataka,Kalaburgi,Chikungunya,85,00,11-01-18,12-01-18,Under Surveillance,"Cases reported from Village Naggarallithanda, PHC Malli. Taluk Jewargi. District RRT investigated the outbreak. House to house survey done. Out of 10 blood sample collected and sent to DSU; 4 sample were positive for Chikungunya (IgM ELISA). All cases treated symptomatically. Health education given",2,
20,MH/OSM/2018/02/0039,Maharashtra,Osmanabad,Chikungunya,17,00,11-12-17,,Under Control,Cases reported from Village Paranda. District RRT investigated the outbreak. House to house survey done. Out of 11 blood sample collected; 9 samples were found to be positive Chikungunya (IgM ELISA). All cases treated symptomatically. Health education given.,2,
10,KN/DHA/2018/03/0050,Karnataka,Dharwad,Chikungunya,12,00,17-01-18,17-01-18,Under Control,"Cases reported from urban area of Uppin Betageri, PHC Uppin Betageri ""B"",Taluk",3,
15,KN/DVA/2018/04/0083,Karnataka,Davangere,Chikungunya,15,00,18-01-18,22-01-18,Under Control,"Cases reported from Village Guddada Linganahalli, PHC/CHC Bilichodu, Taluk Jagalur. District RRT investigated the outbreak. House to house survey done. Out of 15 blood samples collected at DSU Lab 11 samples were found positive for Chikungunya (IgM ELISA). Aedes larval survey done. High larval indices and vector density was reported in the affected areas. As there was scarcity of water in the affected areas water storing practiced was observed in the community. Health education given",4,
42,TN/DDG/2018/05/0132,Tamil Nadu,Dindigul,Chikungunya,15,00,25-01-18,,Under Surveillance,"Cases reported from Village Nathamadipatti HSC Kosavpatti, PHC Ragalapuram, Block Sanarpatti, District RRT investigated the outbreak. House to house survey done. 16 Smear and 08 Serum samples sent to DPHL Didigul IVC & Z Hosur GPHC Result 16 smears were negative for malaria and 06 serum samples were positive for Chikungunya. House to House fever survey done. Anti-Larval and Adult Measures Carried Out. Mass cleaning campaign to be commenced. Public Awareness Camp conducted. All cases treated symptomatically. Health education given.",5,
45,MH/JLN/2018/06/0172,Maharashtra,Jalna,Chikunguniya,20,00,26-01-18,,Under Surveillance,"Cases reported from Village/SC Gadhe Savargaon, PHC Rani Unchegaon, Taluk Ghansawangi. District RRT investigated the outbreak. House to house survey done. 20 samples samples sent to govt. medical college, sentinal center, Aurangabad. Two blood samples found positive for Chikungunya and negative for malaria. Container survey by health workers",6,
27,TN/TPL/2018/08/0231,Tamil Nadu,Trichirapalli,Chikungunya,23,00,18-02-18,23-02-18,Under Control,"Cases of fever with joint pains were reported from Village Vellor, HSC South Thiraniyampatty, PHC Moovanur, Block Musiri. District RRT investigated the outbreak. House to house survey done. Out of 05 serum samples sent to KAPV Medical college, 03 result awaited. All cases Container major mosquito breedingwere positive for for chikungunya (IgM Elisa). 03",8,
17,TN/DDG/2018/09/0259,Tamil Nadu,Dindigul,Chikungunya,36,00,26-02-18,03-03-18,Under Surveillance,"Cases of fever with body pain were reported from Village Sukkampatti, CHC Siluvathur, Block Sanarpatti. District RRT investigated the outbreak. House to house survey done. 10 serum samples collected and sen to DPL were negative for Dengue (IgM ELISA). Out of 10 serum samples collected and sent to IVC; 5 samples were positive ELISA). 7 serum samples collected and sent to ZET; were negative for Scrub typhus. All cases treated symptomatically. Anti-Larval and adult measures Mass cleaning campaign done. Public awareness camp conducted.PHC Maniakaranpatti, for Chikunguny (IgM control measures were carried out.",9,
29,TN/VIL/2018/09/0269,Tamil Nadu,Villupuram,Chikunugya,39,00,19-02-18,,Under Surveillance,"Cases of fever with joint pain reported from Village Pallipattu, SC Palayasiruvangur, PHC Manimuthadam, Block Rishivandiyam. District RRT outbreak. House to house survey done. Out of 6 serum samples sent Kallakurichi GH; 3 serum samples were positive for Chikungunya. Anti-larval activities carried out. Fogging done. All cases treated education given regarding sanitation.investigated the to District Public Health Laboratory, symptomatically. Health personal protection and",9,
22,TN/MDR/2018/10/290,Tamil Nadu,Madurai,Chikungunya?,49,00,05-03-18,10-03-18,Under Surveillance,"Cases of fever reported from Vittalpatti, SC Vandapuli, PHC Saptur, Block Sedapatti. District RRTVillage investigated the",10,
23,TN/DDG/2018/10/291,Tamil Nadu,Dindigul,Chikungunya,23,00,08-03-18,12-03-18,Under Control,"Cases of fever reported from Villages Semmettupatti and Thathapatti, SC Kulipatti and Valayapatti PHC Viruveedu, Block Batlagundu. District RRT investigated the outbreak. House to house survey done. All 18 smear samples tested at Viruveedu PHC were negative for Malaria. All 05 serum samples sent to DPHL, Dindigul were negative for Dengue and Typhoid. Out of 05 serum samples sent to Institute of Vector Control and Zoonosis, Hosur; 04 samples were positive for Chikungunya (IgM ELISA). All cases treated symptomatically. Health education given.",10,
31,KL/TRC/2018/10/298,Kerala,Thrissur,Chikungunya,30,00,13-12-18,,Under Control,"Cases of fever reported from Village Nadathara, HSC Kachery, PHC Ollukara, Block Vellanikara. District RRT investigated the outbreak. House to house fever survey done. All the 30 samples collected and sent to Microbiology lab, Medical College Thrissur were positive for Chikungunya (IgM ELISA). All cases treated symptomatically. Source reduction activities, fogging done. Health education given regarding personal protection.",10,
9,KN/BGK/2018/12/346,Karnataka,Bagalkot,Chikungunya,32,00,20-03-18,21-03-18,Under Control,"Cases of fever reported from Village Dasabal, Chinnapur SK. Block Hunagund PHC/CHC Karadi. District RRT investigated the outbreak. House to house survey done. 08 serum samples sent to DPHL Bagalkot out of which 5 were positive for Chikungunya. (IgM Elisa) All cases treated symptomatically. Larva survey and source reduction activities done. IEC regarding use of bednets, mosquito repellents and coils. School IEC regarding transmission, prevention and control of vector borne diseases was done.",12,
16,TN/SIV/2018/12/353,Tamil Nadu,Sivaganga,Chikungunya,10,00,24-03-18,24-03-18,Under Surveillance,"Cases of fever were reported from Village Kalldithidal, SC Visavanur, PHC Sooranam, Block Ilayangudi. District RRT investigated the outbreak. House to house fever survey done. 05 serum samples were sent to DPHL Karaikudi. 01 was positive for Dengue and 5 were positive for Chikungunya. All cases treated symptomatically. Anti larval activities, source reduction was done.",12,
25,KN/DVA/2018/12/361,Karnataka,Davangere,Chikungunya,48,00,13-03-18,,Under Surveillance,"Cases reported Basavanakote, Taluk investigated the outbreak. House survey done. 05 serum Devangere, out Chikungunya. (IgM activities done. Health education given.from Village Magadi, CHC/PHC Jagaluru. District RRT to house fever samples sent to DPHL of which one is positive for Elisa) All cases treated symptomatically. Larval survey and source reduction",12,
22,TN/DDG/2018/13/388,Tamil Nadu,Dindigul,Chikungunya,10,00,29-03-18,01-04-18,Under Surveillance,"Cases reported from Village Alagupatty, HSC/PHC K.Pudukottai, Block Reddiarchatram. District RRT investigated the outbreak. House to house fever survey done. 10 smear samples sent to GPHC K. Pudukottai were negative. 05 serum samples sent for testing Typhoid, Chikungunya, Malaria, Lepto, Dengue and Scrub fever to DPHL Dindigul & IVC&Z, Hosur; one positive for Leptospirosis and three positive for Chikungunya. All cases treated symptomatically. Anti-larval and anti- adult measures conducted. Chlorination of all drinking water sources done. Nilavembu Kudineer distributed daily. Mass cleaning and public awareness camp conducted.",13,
23,TN/DDG/2018/13/389,Tamil Nadu,Dindigul,Chikungunya,16,00,24-03-18,28-03-18,Under Surveillance,"Cases reported from Village Arunachalapuram, HSC Batlagundu II, PHC Viralipatti, Block Batlagundu. District RRT outbreak. House to house fever survey done. 06 smear samples sent to GPHC Viralipatti were negative for Chikungunya. 3 serum samples sent for testing chikungunya Leptospirosis to IVCZ hosur, were positive for chikungunya Dengue & Typhoid to DPHL Dindigul were negative. All cases Anti-Larval and Adult Measures Carried Out. Chlorination work monitored for all drinking water sources. Nilavembu distributed daily. Mass Cleaning and public awareness camp conducted. Health education given.investigated the , Scrub, . 03 serum samples for testing treated symptomatically. Kudineer was",13,
24,TN/RMN/2018/14/430,Tamil Nadu,Ramanathapura m,Chikungunya,20,00,05-04-18,07-04-18,Under Control,"Cases of fever reported from Village Kattu Emaneshwaram, SC Achcngulam, PHC Natham, Block Kamuthi. District RRT investigated the outbreak. House to house survey done. Out of 3 serum samples sent to DPHL Ramanathapuram; 1 sample was positive for Chikungunya (IgM ELISA). Aedes Larval breeding sources were high in the community settings. Source reduction activities undertaken. All cases treated symptomatically. Health education given regarding safe water storing practices.",14,
12,KN/BIJ/2018/16/499,Karnataka,Bijapur,Chikungunya,26,00,13-04-18,15-04-18,Under Control,"Cases of fever reported from Village Islampur LT, PHC/CHC Manguli, Taluk Bagewadi. District RRT investigated the outbreak. House to house survey done. Active search of fever cases done. Out of 3 blood samples collected and sent o DPHL, Vijayanagar; 2 samples were positive for Chikungunya (IgM ELISA). Source Reduction activities undertaken. All cases treated symptomatically. Health education given regarding personal protection measures.",16,
21,TL/JLG/2018/16/508,Telangana,Jogulamba Gadwal,Chikungunya,56,00,15-04-18,16-04-18,Under Control,"Cases of fever with joint pain reported from Village Kodandapur, SC Kodandapur. PHC Itikyala. District RRT outbreak. House to house survey done. Out of 35 serum samples collected; 7 serum samples were positive for Chikungunya (IgM ELISA). Anti-larval activities done in the affected area. All cases treated education given.investigated symptomatically. Healththe",16,
43,TN/DDG/2018/16/529,Tamil Nadu,Dindigul,Chikungunya,25,00,07-04-18,,Under Control,"Cases of fever with joint pain reported from Village Nilakottai, SC Mattaparai, PHC Kanthappakottai, Block Ramanchettipatti. District RRT investigated the outbreak. House to house survey done. Out of 8 serum samples collected and sent to DPHL Dindigul; 5 serum samples were positive for Chikungunya (IgM ELISA). Anti-larval activities done in the affected area. All cases treated symptomatically. Health education given.",16,
