Unnamed: 0,Unique ID.,Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/ Action Taken,week_number,No. of De ath s
1,AP/VKP/2018/06/0135,Andhra Pradesh,Visakhapatnam,Cutaneous Anthrax,01,00,09-02-18,10-02-18,Under Surveillance,"Cases reported from Village Peddapakalu,PHC Tajangi of Chintapali Mandal. District RRT investigated the outbreak. House to house survey done. 01 blood sample collected at KGH, Visakhapatnam. Direct Smear of Gram stain suspected Anthrax bacilli. Blood smears from cattle collected, found negative for Anthrax Bacilli. Soil and water samples collected sent to the SRDDL, Habbal, Bengaluru, Karnataka,. result awaited. Health education on personnel protection while handling animals, safe burial of dead animals, proper disposal of carcass and proper cooking practices and stop consumption of meat for few months was given.",6,
5,AP/VKP/2018/06/0135,Andhra Pradesh,Visakhapatnam,Cutaneous Anthrax,01,00,09-02-18,10-02-18,Under Surveillance,"Cases reported from Village Peddapakalu,PHC Tajangi of Chintapali Mandal. District RRT investigated the outbreak. House to house survey done. 01 blood sample collected at KGH, Visakhapatnam. Direct Smear of Gram stain suspected Anthrax bacilli. Blood smears from cattle collected, found negative for Anthrax Bacilli. Soil and water samples collected sent to the SRDDL, Habbal, Bengaluru, Karnataka,. result awaited. Health education on personnel protection while handling animals, safe burial of dead animals, proper disposal of carcass and proper cooking practices and stop consumption of meat for few months was given.",6,
8,AP/VKP/2018/13/374,Andhra Pradesh,Vishakhapatnam,Suspected Cutaneous Anthrax,02,00,01-04-18,02-04-18,Under Surveillance,"the Department for Anthrax. Visakhapatnam was necessary action testing. Health Education given the consumption of diseased dead animal.Cases reported from Village Godugumamidi , PHC Tajangi of Chintapalli Mandal. District RRT investigated the outbreak. House to house survey done. Ingestion and handling of dead cow meat was the possible cause of outbreak. Direct smear and blood samples collected by of Microbiology, Andhra Medical College, Visakhapatnam were positive Animal Husbandry, informed for taking regarding vaccination of animal population and collection of samples for to Medical Officer for proper disposal of carcass and stop",13,
1,AP/VKP/2018/15/452,Andhra Pradesh,Visakhapatnam,Cutaneous anthrax,04,00,09-04-18,10-04-18,Under Surveillance,"Cases reported from Village Pothangi and Kandrum. PHC & Mandal Dumbriguda. District RRT investigated the outbreak. House to house survey done. Direct smear and blood samples collected by Department of Microbiology, Andhra Medical College, Vishakhapatnam were positive for Anthrax. Animal Husbandry Department collected soil and blood samples from cattle; result awaited. All cases treated symptomatically. Health education given on adverse effects of ingestion of meat of dead animals. Animal handlers educated about personnel protection and safe burial of dead animals.",15,
4,AP/VKP/2018/15/452,Andhra Pradesh,Visakhapatnam,Cutaneous anthrax,04,00,09-04-18,10-04-18,Under Surveillance,"Cases reported from Village Pothangi and Kandrum. PHC & Mandal Dumbriguda. District RRT investigated the outbreak. House to house survey done. Direct smear and blood samples collected by Department of Microbiology, Andhra Medical College, Vishakhapatnam were positive for Anthrax. Animal Husbandry Department collected soil and blood samples from cattle; result awaited. All cases treated symptomatically. Health education given on adverse effects of ingestion of meat of dead animals. Animal handlers educated about personnel protection and safe burial of dead animals.",15,
0,AP/VKP/2018/17/538,Andhra Pradesh,Visakhapatnam,Suspected Cutaneous Anthrax,19,00,23-04-18,24-04-18,Under Surveillance,"Cases reported from Village PHC R.V. Nagar, Chintapalli Mandal. Madem colony village, G.K. Veedhi PHC & Mandal Gengigedda. District RRT investigated the outbreak. House to house survey done. Direct smear and blood samples collected by Department of Microbiology, Andhra Medical College, Visakhapatnam; result awaited. Vaccination of animal population and collection of samples for testing was ensured. All cases treated symptomatically. Health education given on adverse effects of ingestion of dead animals and safe burial of dead animals.",17,
3,AP/VKP/2018/17/538,Andhra Pradesh,Visakhapatnam,Suspected Cutaneous Anthrax,19,00,23-04-18,24-04-18,Under Surveillance,"Cases reported from Village PHC R.V. Nagar, Chintapalli Mandal. Madem colony village, G.K. Veedhi PHC & Mandal Gengigedda. District RRT investigated the outbreak. House to house survey done. Direct smear and blood samples collected by Department of Microbiology, Andhra Medical College, Visakhapatnam; result awaited. Vaccination of animal population and collection of samples for testing was ensured. All cases treated symptomatically. Health education given on adverse effects of ingestion of dead animals and safe burial of dead animals.",17,
0,AP/VKP/2018/18/590,Andhra Pradesh,Visakhapatnam,Suspected Cutaneous Anthrax,14,00,30-04-18,01-05-18,Under Surveillanc e,"Cases reported from Village Darakonda of G.K.Veedhi Mandal, PHC Pedda Gangavaram and Chinna Gangavaram. District RRT investigated the outbreak. House to house survey done. Direct smear and blood samples for 7 cases were collected by the Department of Microbiology, Andhra Medical College, Visakhapatnam. (Report awaited). Health education given on adverse effects of ingestion and safe burial of dead animals. All cases treated symptomatically. Health education given.",18,
3,AP/VKP/2018/18/590,Andhra Pradesh,Visakhapatnam,Suspected Cutaneous Anthrax,14,00,30-04-18,01-05-18,Under Surveillanc e,"Cases reported from Village Darakonda of G.K.Veedhi Mandal, PHC Pedda Gangavaram and Chinna Gangavaram. District RRT investigated the outbreak. House to house survey done. Direct smear and blood samples for 7 cases were collected by the Department of Microbiology, Andhra Medical College, Visakhapatnam. (Report awaited). Health education given on adverse effects of ingestion and safe burial of dead animals. All cases treated symptomatically. Health education given.",18,
14,7.,Orissa,Sundargarh,xiv. Cutaneous Anthrax?,15,0,01-05-10,03-05-10,Under control,"Cases reported from Villages Deogaon, Paikbahal, Kiringsira, Kusumde, PHC Subdega, Kutra. District RRT members visited the affected area and investigated the outbreak. Local health works instructed to visit the affected village daily for at least 15 days for door to door surveillance. 12 blood slides sent to VSS Medical College, Burla for examination; out of which one found positive for Anthrax bacilli. IEC activities undertaken regarding personal protection measures, and handling of infected cattle carcasses.",19
19,2.,Orissa,Koraput,xvii. Cutaneous Anthrax,14,0,10-05-10,,Under surveillance,Cases clinically diagnosed as Cutaneous Anthrax reported from Villages Sukraput (5 cases) and Khajuriguda (9 cases) under Block Dasmantpur. Block medical team visited the affected areas to treat cases. IEC activities undertaken regarding proper disposal of infected cattle carcasses and personal protection measures.,22
25,,6. West Bengal,Murshidabad,Cutaneous Anthrax,8,0,29-06-10,,Under surveillance,"Cases reported from Taraf Rasulpur, GP- Bhagrtathpur, Shibnagar. District RRT visited the affected area and investigated the outbreak. Medical Camp organized in the affected village. 4 smears collected and sent to DPH Lab for investigation; result awaited. There is history of contact/consumption of meat of diseased dead cattle by all cases. All cases have been treated with antibiotics. Active survey carried out for new cases. IEC activities undertaken regarding personal protection measures.",30
44,4.,Orissa,Sundargarh,Cutaneous Anthrax,25,0,13-07-10,,Under control,"Outrbreak reported from Dokatola, Kusumtola, Baidyanathpur, Mangratola, Hatibari Block Nuagaon. All patients treated with antibiotics. Group meetings conducted and information leaflets distributed. Medical team camping in affected area to treat cases.",33
30,JH/SIM/2017/24/0887,Jharkhand,Simdega,Cutaneous Anthrax,05,00,05-06-17,,Under Surveillance,"Cases reported from Village Kinkel Chauratand, CHC/Block Kurdeg. District RRT investigated the outbreak. House to house survey done. All 05 Blood Samples Collected tested at MCVR, Manipal found positive for Bacillus Anthracis by PCR. All cases treated symptomatically. Health education given.",24
0,AP/VKP/2017/26/0934,Andhra Pradesh,Visakhapatnam,Cutaneous Anthrax?,05,00,22-06-17,29-06-17,Under Surveillance,"Cases reported from Village Kodipunjuvalasa, PHC Madagada. District RRT investigated the outbreak. House to house survey done. All cases treated symptomatically. Health education given.",26
6,AP/VKP/2017/26/0934,Andhra Pradesh,Visakhapatnam,Cutaneous Anthrax?,05,00,22-06-17,29-06-17,Under Surveillance,"Cases reported from Village Kodipunjuvalasa, PHC Madagada. District RRT investigated the outbreak. House to house survey done. All cases treated symptomatically. Health education given.",26
1,AP/VKP/2016/17/0908,Andhra Pradesh,Visakhapatnam,Cutaneous Anthrax,16,00,24-04-16,01-05-16,Under Surveillance,"Cases reported from Village Panasaputtu, Pathakota Panchayath, PHC Uppa, Mandal – Hukumpeta. District RRT investigated outbreak. House to house survey done. Out ofthe to be treated",17
61,JH/SIM/2016/19/1118,Jharkhand,Simdega,Cutaneous Anthrax,07,00,29-04-16,,Under Surveillance,"Cases reported from Village Tangiya, Block/CHC Jaldega. District RRT investigated the outbreak. House to house survey done. 01 Swab sample tested at RIM, Ranchi was positive for Anthrax. All cases treated symptomatically. Health education given.",19
10,JH/SIM/2016/23/1336,Jharkhand,Simdega,Cutaneous Anthrax (Provisional),04,00,06-06-16,10-06-16,Under Surveillance,"Cases reported from Village Ginra (Chamatoli & Dewsitoli), CHC/Block T. Tanger. District RRT investigated the outbreak. House to house survey done. 04 Swab samples and blood samples collected and sent to Manipal University Manipal for Lab analysis, result awaited. All cases treated symptomatically. Health education given.",23
25,3.,Orissa,Koraput,Cutaneous Anthrax,6,1 *,05-06-09,,Under Surveillance,"Outbreak occurred in Handapur (5 cases) and Gumphalguda (1 case) villages under Gunthaput GP, PHC Kunduli of Similiguda Block due to handling and consumption of meat of infected dead cattle. Cases under treatment. IEC activities done for creating awareness among the villagers not to consume meat of dead animals and to properly dispose dead animals. The situation is being closely monitored in coordination with Dept. of Animal Husbandry.",28
