Unnamed: 0,Unique ID.,Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/ Action Taken,week_number,No. of De ath s
27,MH/STA/2018/01/0022,Maharashtra,Satara,Dengue,40,00,04-12-17,,Under Surveillance,"Cases reported from Village Nimbalk, SC Mathachiwadi, PHC Rajale, Block Phalatan. District RRT investigated the outbreak. House to house survey done. Out of 11 serum samples were collected sent to NIV, Pune; 6 samples were found positive for Dengue (IgM ELISA). All cases treated symptomatically. Source reduction activities undertaken. Health education given.",1,
20,TN/AIR/2018/04/0088,Tamilnadu,Ariyallur,Dengue,12,00,27-01-18,27-01-18,Under Control,Cases reported from Village/PHC Gunamangalam Block T.Palur. District RRT investigated the outbreak. House to house survey done. 05 serum sample collected and sent to DPHL Ariyallur; were positive for dengue NS1 positive. Breeding sources were found in cement tanks and cisterns in the community. Anti-Larval work done. All cases treated symptomatically. Health education given.,4,
27,MH/JLN/2018/04/0094,Maharashtra,Jalna,Dengue,11,00,16-01-18,,Under Control,"Cases reported from Village Antarwali Tembhi, SC Kandari, PHC Tirthapuri, Taluk Ghansawangi. District RRT investigated the outbreak. House to house survey done. 11 blood samples collected sent to Sentinal Center, Aurangabad; 03 samples were found positive for dengue. 987 houses were covered in container positive Health education given.",4,
44,KL/CHN/2018/06/0171,Kerela,Kannur,Dengue Fever,10,01,23-01-18,,Under Control,"Cases reported from Village Valappattanam, HSC Manna, PHC Valappattanam, Block Achikode. District RRT investigated the outbreak. House to house survey done. 3 samples tested and 3 found positive for Dengue IgM & 7 cases were NS1 card +ve in Regional Public Health Lab Kannur. Vector surveillance, Intensified Source reduction activities, FOGGING, Larvicidal spraying, Guppy fish release and Fever Survey being conducted in the affected area. All cases treated symptomatically. Source reduction activities undertaken. Health education given.",6,
25,TN/VIR/2018/08/0229,Tamil Nadu,Virudhunaga r,Dengue,15,00,18-02-18,20-02-18,Under Control,"survey, reductionCases of fever with bodyache were reported from Village Rengapalaiyam, HSC Maharajapuram, PHC Kottaiyur, Block Watrap. District RRT investigated the outbreak. 05 serum samples were sent to DPHL, Virudhunagar and 04 were positive for Dengue. Fever indoor, outdoor activities symptomatically. Health education given.fogging and other source done. All casestreated",8,
29,TN/TVL/2018/08/0233,Tamil Nadu,Tiruvallur,Dengue,17,00,16-02-18,20-02-18,Under Surveillance,"District RRT investigatedCases of fever were reported from Village Tekkalur, HSC Suriyanagaram, PHC Maddur, Block Thiruthani. the outbreak. House house fever survey done. 04 water samples sent to DPHL Tiruvallur were non potable. Out of 04 serum samples, one sample confirmed Dengue IgM positive. Vector control measures were undertaken. All cases treated symptomatically. Health education given.to",8,
34,MH/NAS/2018/10/300,Maharashtra,Nashik,Dengue?,04,01,21-02-18,,Under Control,"Cases of fever with joint pain reported from Village Rampur, SC Nimbole, PHC Talegaon Rohi, Block Chandwad. District RRT investigated the outbreak. House to house survey done. All 5 blood samples were negative for Malaria. 05 serum samples sent to NIV Pune; result awaited. 1 death occurred in 42 yr old female. All cases treated symptomatically. Source reduction activities done. Health education given.",10,
42,MH/HIN/2018/14/445,Maharashtra,Hingoli,Dengue,17,00,20-01-18,,Under Control,"Cases reported from Village/SC Purjal, PHC Jawla Bazar, Block Aundha. District RRT investigated the outbreak. House to house survey done. Out of 17 serum samples collected and sent to Government Medical College lab, Nanded; 10 samples were",14,
18,MP/RJG/2018/17/553,Madhya Pradesh,Rajgarh,Dengue,24,00,19-04-18,24-04-18,Under Surveillance,"Cases reported Dhakorafrom Village Bhura, SHC , PHC Napanera, CHC Suthaliya Block-BIaora . District RRT investigated the",17,
44,KL/ERN/2018/17/578,Kerala,Ernakulam,Dengue,37,00,10-04-18,,Under Surveillance,"Cases of fever with myalgia reported from Village Rayonpuram, PHC THQH Perumbavoor, Block Malayidamthuruth. District RRT investigated the outbreak. House to house survey done. All suspected cases reported from ward 27&24. 05 serum samples were confirmed positive for Dengue. (IgM ELISA) Multiple breeding sites identified from house premises and scrap centers. All cases",17,
48,MH/JLN/2018/17/582,Maharashtra,Jalna,Dengue,18,01,02-04-18,,Under Surveillance,"Cases of fever with joint pains reported from Village/SC Ramasgaon, PHC Tirthapuri, Block Ghansawa. District RRT investigated the outbreak. House to house survey done. 13 serum samples sent tosentinel center, Aurangabad. 03 in the community. All cases",17,
42,MH/AMN/2018/18/622,Maharashtra,Ahmednagar,Dengue,16,00,17-04-18,,Under Control,"Cases reported from Village Shekte kh., SC Golegaon, PHC Hatgaon, Block Shevgaon. District RRT investigated the outbreak. House to house fever survey done. 16 Blood samples taken for PV and PF were negative. 09 serum samples sent to sentinel center for Dengue; 1 positive for Dengue. (IgM Elisa) All cases treated symptomatically. Quick container surveillance, and larval survey done. Source reduction and anti larval activities undertaken in the community.",18,
12,KL/KAS/2018/19/635,Kerala,Kasaragod,Dengue,11,01,12-05-18,14-05-18,Under Surveillance,"Cases reported from Village Karyottuchal, SC Malom, PHC Konnakkad, Block Panathady. District RRT investigated the outbreak. House to house survey done. 18 serum samples sent to Public Health lab & SSH Lab Kanhangad; 4 positive for Dengue IgM ELISA. Major breeding source identified in Rubber latex cup.",19,
26,KL/CNR/2018/19/648,Kerala,Cannanore (Kannur),Dengue,32,00,01-04-18,,Under Control,"Cases reported Block Keezhpally. District RRT investigated the outbreak.from Village Kottiyoor, PHC Kottiyoor, source",19,
27,KL/TRC/2018/19/649,Kerala,Thrissur,Dengue,09,00,13-04-18,,Under Surveillance,"Cases of fever Mattahur, Block Mattathur. District RRT investigated the outbreak. House to house fever survey done. 13 samples sent to DMO (H) lab Thrissur; 3 were positive for Dengue IgMreported cases hadfrom Village Mattathur, treated reported",19,
0,AP/KRS/2018/21/693,Andhra Pradesh,Krishna,Dengue?,35,00,22-05-18,22-05-18,Under Control,"Cases reported from Village Somavaram, PHC Gollamudi. District RRT investigated the outbreak. House to house survey done. Out of 35 blood samples collected and tested at GGH, Vijayawada for Dengue and Malaria, 1 sample was positive for Dengue by IgM ELISA. All cases treated symptomatically. Source reduction activities undertaken. Health education given.",21,
5,AP/KRS/2018/21/693,Andhra Pradesh,Krishna,Dengue?,35,00,22-05-18,22-05-18,Under Control,"Cases reported from Village Somavaram, PHC Gollamudi. District RRT investigated the outbreak. House to house survey done. Out of 35 blood samples collected and tested at GGH, Vijayawada for Dengue and Malaria, 1 sample was positive for Dengue by IgM ELISA. All cases treated symptomatically. Source reduction activities undertaken. Health education given.",21,
18,KL/ERN/2018/21/706,Kerala,Ernakulam,Dengue,39,00,23-05-18,23-05-18,Under Surveillance,"Cases of fever with myalgia reported from Village Pallarimangalm, Neriyamangalam, Avolichal ward 7. District RRT investigated the outbreak. House to house survey done. Out of 7 blood samples collected and sent to RPHL Ernakulum, 4 samples were positive for Dengue (IgM ELISA). All cases treated symptomatically. Fogging and anti-larval work done. Health education given.",21,
29,KL/CNR/2018/21/716,Kerala,Kannur,Dengue,32,00,30-04-18,,Under Surveillance,"Cases reported from Village Kolithattu, SC/PHC Ulikkal, Block Iritty. District RRT investigated the outbreak. House to house survey done. All 2 serum samples collected and sent to RPH Lab, Kannur; were positive for Dengue (NS1 ELISA). Source reduction activities and awareness campaigns were undertaken. All cases treated symptomatically. Health education given.",21,
30,KL/MLP/2018/21/717,Kerala,Malappuram,Dengue,39,00,26-04-18,,Under Surveillance,"Cases reported from Village Kurumbalangod, SC Vellimuttam, PHC Kurumbalangod, Block Chungathara. District RRT investigated the outbreak. House to house survey done. Out of 12 serum samples collected, 8 samples were positive for Dengue (IgM ELISA). Breeding sources tarpaulin sheets, bamboo tree holes were destroyed. All cases treated symptomatically. Source reduction activities undertaken. Health education given.",21,
6,GA/PNJ/2018/23/777,Goa,North Goa,Dengue,43,00,05-06-18,11-06-18,Under Surveillance,Fever cases reported from North Goa district. District RRT investigated the outbreak. House to house survey done.,23,
25,TN/DDG/2018/23/796,Tamil Nadu,Dindigul,Dengue,17,00,08-06-18,09-06-18,Under Surveillance,"Cases of fever reported from Village Kathirnaickenpatti, SC Kathirnaickenpatti, PHC Sitharevu, Block Athoor. District RRT investigated the outbreak. House to house fever survey done. 17 blood smears were negative for Malaria at Sitharevu PHC. 04 serum samples sent to DPHL, Dindigul; 01 sample reported positive for Dengue IgM Elisa. All cases treated symptomatically. Vector control measures and source reduction activities undertaken. Nilavembu Kudineer distributed in the community.",23,
19,KL/KAS/2018/24/837,Kerala,Kasaragod,Dengue,17,00,01-06-18,19-06-18,Under Surveillance,"Cases of fever reported from Village Kalichanadukkam, SC Kalichanadukkam, PHC Ennappara, Block Panathady (Poodamkallu). District RRT investigated the outbreak. House to house survey done. 04 Serum samples were positive for Dengue IgM Elisa from SSH Lab DH Kanhangad. All cases were treated symptomatically. Larval surveys and integrated vector control measures were implemented.",24,
36,KL/PTH/2018/24/853,Kerala,Pathanamthitta,Dengue,09,00,07-05-18,,Under Surveillance,"Cases of fever reported from Village Elanthoor, SC, Elanthoor East, PHC Elanthoor, Block Elanthoor. District RRT investigated the outbreak. House to house survey done. 05 serum samples were tested and 04 were reported positive for Dengue IgM Elisa. All cases treated symptomatically. Mic announcement regarding control of communicable diseases conducted. Intensive source reduction and antilarval activities undertaken.",24,
37,KL/ERN/2018/24/854,Kerala,Ernakulum,Dengue,24,02,05-05-18,,Under Surveillance,"Cases of fever reported from Village/PHC Palissery, Block Angamaly. District RRT investigated the outbreak. House to house fever survey done. 12 serum samples sent to RPH lab Ernakulam; 08 samples were positive for Dengue IgM ELISA. All cases treated symptomatically. Intensive source reduction and vector control activities were undertaken.",24,
39,MH/SGL/2018/24/856,Maharashtra,Sangli,Dengue,14,00,19-05-18,,Under Control,"Cases of fever reported from Village Malewadi, PHC Yelur, Sub center Malewadi, Block-Walva District RRT investigated the outbreak. House to house survey done. 08 serum samples sent to Sentinel Laboratory, Govt. Medical college Miraj; 04 samples were Dengue IgM positive. Health Education, Dry day maintenance, fogging and anti-larval activities were conducted. Relevant health education given.",24,
1,AS/DHU/2018/25/865,Assam,Dibrugarh,Dengue,07 (confi rmed Deng ue),00,18-06-18,19-06-18,Under Surveillance,"Cases of fever with joint pain reported from several Villages/Blocks Lahoal, Panitola, Naharani. District RRT investigated the outbreak. House to house survey done. Out of 213 blood samples collected and sent to Assam Medical College and Hospital (AMCH), Dibrugarh from January to June 2018; 7 samples were found positive for Dengue IgM ELISA. All cases treated symptomatically. Anti-larval activities were undertaken. Health education given.",25,
5,AS/DHU/2018/25/865,Assam,Dibrugarh,Dengue,07 (confi rmed Deng ue),00,18-06-18,19-06-18,Under Surveillance,"Cases of fever with joint pain reported from several Villages/Blocks Lahoal, Panitola, Naharani. District RRT investigated the outbreak. House to house survey done. Out of 213 blood samples collected and sent to Assam Medical College and Hospital (AMCH), Dibrugarh from January to June 2018; 7 samples were found positive for Dengue IgM ELISA. All cases treated symptomatically. Anti-larval activities were undertaken. Health education given.",25,
10,HP/BLR/2018/25/870,Himachal Pradesh,Bilaspur,Dengue,23,00,20-06-18,20-06-18,Under Surveillance,"Cases of fever with joint pain reported from Diara Sector, Bilaspur. District RRT investigated the outbreak. House to house survey done. All the 24 serum samples collected, samples were positive for Dengue (IgM ELISA). Anti-larval measures were undertaken. Awareness campaign were organised in the community level. Entomological revealed HI 28.1%, CI 8.2% and BI 40.6 in Bilaspur city, Gandhi market areas. Health education given.",25,
