Unnamed: 0,Unique ID.,Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/ Action Taken,week_number,No. of De ath s
17,JH/SIM/2018/02/0036,Jharkhand,Simdega,Diphtheria,01,00,02-01-18,,Under Control,"A 12 yr old female presented fever with sore throat reported from Village Tamra Tabhadeeh, PHC Simdega, CHC Simdega. District RRT investigated the outbreak. House to house survey done. Blood sample, throat swab and urine samples collected sent to Manipal University; the throat swab was culture positive for C.diphtheriae. Health education given.",2,
28,JK/RAI/2018/11/328,Jammu And Kashmir,Reasi,Diphtheria,04,01,9-02-18,,Under Surveillance,"swabs were collected and sent given.Cases reported from Village Bhagodass, Post Office Balmatkot, Tehsil Mahore. District RRT investigated the outbreak. House to house survey done. Affected children were in age group 2 to 17 years. 3 throat to Department of Microbiology, GMC Jammu were culture positive for C.diphtheriae. Vaccination done in the affected area. All cases treated symptomatically. Health education",11,
30,UA/UDH/2018/19/652,Uttarakhand,Udham Singh Nagar,Diphtheria,14,00,01-05-18,,Under Surveillance,"Cases reported from Madarsa Jamiya Aisha, Village Madarsa Jamiya Aisha Hostel, Nayi Basti, Near Noori Masjid, Sub Centre-Kichha. District RRT investigated the outbreak. House to house survey done. 04 throat and nasal swabs sent to IDSP referral lab GMC Haldwani; 03 positive for Diphtheria. Most affected age group is 11 to 20 years. Symptomatic treatment given to all cases. Health education regarding personal hygiene and isolation of cases.",19,
18,KN/YDI/2018/28/1001,Karnataka,Yadgiri,Diphtheria,05,00,09-07-18,09-07-18,Under Control,"Cases of fever with sore throat reported from Village/HSC/PHCHali sagar/Kembavi/Hongera, Taluk Shahapur/Shorapur/Yadgiri. District RRT investigated the outbreak. House to house survey done. Sample sent to BRIMS, BIDAR; result awaited. The initial 3 cases tested were positive at DPHL Kalburgi. 2 samples sent to BRIMS were found negative. All cases treated symptomatically. Health education given.",28,
9,HR/MWT/2018/38/1263,Haryana,Mewat,Diphtheria,88,23,18-09-18,25-09-18,Under Surveillance,"Casesreported from several blocks Nagina, Nuh, Pulhana, Taoru and Jhirka. District RRT",38,
12,KN/CKR/2018/38/1266,Karnataka,Chikkaballapura,Diphtheria,06,00,18-09-18,18-09-18,Under Control,"Cases reported from Village/PHC/CHC Ammanallur/Kaivara, Taluk Chintamani. District RRT investigated the outbreak. House to house survey done. Out of 6 throat sample sent to BMC; 1 sample was positive for Diphtheria by culture. Further the samples sent to RRMC Belgaum for identification and toxigencity confirmation. All cases treated symptomatically. Health education given.",38,
9,KN/BIJ/2018/44/1417,Karnataka,Vijayapur,Diphtheria,01,00,29-10-18,29-10-18,Under Surveillance,"Cases reported from Village/PHC/CHC Hadagali, Taluk Vijayapur. District RRT investigated the outbreak. House to house survey done. 1 Throat Swab collected result Positive for C. Diptherie. All cases treated symptomatically. Health education given.",44,
28,TR/SPH/2018/48/1540,Tripura,Sepahijala,Diphtheria,06,03,23-10-18,,Under Control,District RRT Health education givenCases reported from Village Sarung Para & Lungkam Para. investigated the outbreak. House to house survey done. 3 throat swabs were collected and sent to AGMC; result awaited. All cases treated symptomatically.,48,
16,BH/JAM/2018/49/1553,Bihar,Jamui,Diphtheria,02,01,17-08-18,,Under Control,"Cases reported from Village Pandaydih, HSC Pandaydih, PHC Jhajha, PHC Jamui Urban, Shiwand. District RRT investigated the outbreak. House to house survey done. Both cases were males and confirmed at ID hospital Patna and were of 18 months and 6 year of age. IEC done. DPT immunization done in both the villages. Child aged 18 months died of illness",49,
25,MP/GWL/2023/01/22,Madhya Pradesh,Gwalior,Diphtheria,02,01,21-10-2022,,Under Control,"Case with symptoms of cough, fever and difficulty in breathing and swallowing admitted in Govt. KRH Hospital from Gram Samri, PHC Shuklahari, Block Dabra, District Gwalior. Two samples taken, in which one sample found positive for Diphtheria. The deceased was a 8 year old male child. District RRT has visited the affected village. Health education was imparted. House to House Survey was conducted in affected village. During survey children found not vaccinated were vaccinated by TD Vaccine",1
7,KN/KOD/2023/07/143,Karnataka,Kodagu,Diphtheria,01,01,11-02-23,13-02-23,Under Control,"Case reported from Village Patel Nagar (Kaikeri Village Gudde Mane), PHC/CHC Gonikoppa, Taluk Virajpet, District Kodagu. Case presented with sore throat and difficulty in breathing. One throat swab sample was collected and sent to IDSP Referral Lab, MMCRI, Mysuru and showed presence of Cornybacterium diphtheria. District RRT investigated the outbreak. The deceased case was a 30 years old male. He had no co- morbidities. He was a chronic alcoholic. There was no delay in admission or in receiving treatment. Contacts were quarantined. Health education was given on the importance of immunization.",7
52,TN/TNJ/2023/33/1000,Tamil Nadu,Thanjavur,Diphtheria,04,00,15-08-23,18-08-23,Under Surveillance,"Cases reported from HUD – Thanjavur, Block – Papanasam, PHC – Veeramangudi, HSC - Someshwarapuram, Village - Kyavan Street. Cases presented with symptoms of Fever, Cold, Throat pain, difficulty in swallowing. The affected age group was 3-6 years and a 45 year old female. 1 throat Smear sample was sent to TMCH, SPHL, which was found to be positive for Diphtheria by RTPCR. District RRT investigated the outbreak. House to house survey was done. Extra immunization session was conducted to cover the due beneficiaries for vaccine and extra doses. Community awareness and health education given by peripheral health team on hygiene, sanitation and importance of vaccination.",33
29,MP/DWS/2023/35/1106,Madhya Pradesh,Dewas,Diphtheria,1,1,28-08-23,02-09-23,Under Control,"Cases were reported from CHC Sonkatch, Village Talod, Sub-District Sonkatch, District Dewas. Cases presented with symptoms of cough. 1 throat swab sample was taken and sent to WHO (Choithram Hospital and Research Centre, Indore- Referred Lab), which was found to be negative for diphtheria on culture. District RRT investigated the outbreak. Active searches of cases and carriers was done. Suspected case was isolated and admitted in the hospital. Vaccine drive for the identified high-risk groups, especially those who had missed successive booster dose at young age was conducted through district immunization office. IEC about signs and symptoms of diphtheria was done in the village. DPT vaccination awareness activities in community and schools was organized. Villagers were advised to maintain sanitation and hygiene by washing hands regularly and postpone activities such as traveling when sick. Death of a 5 year old male has occurred due to Suspected Diphtheria.",35
8,,Haryana,Sirsa,viii. Diphtheria,03,01,06-10-15,12-10-15,Under Surveillance,"Cases reported from Village Burj Bhangu, CHC Baragudha. District RRT investigated the outbreak. House to house survey done. 03 out of 06 samples tested at NCDC Delhi were found to be positive for",41
36,,Assam,Dibrugarh,xxx. Diphtheria,09,01,20-09-15,,Under Surveillance,"Cases reported from Village Naliapool, Bagradia TE, SC/Urban area, Ward No.19, Kachagaon Block Barbaruah, Tengakhat. District RRT investigated the outbreak. House to house survey done. 09 Throat swab samples tested at AMCH, Dibrugarh were found to be positive for Diphtheria. One female child aged 13 years died due to the condition. All cases treated symptomatically. Health education given.",41
19,,Punjab,Fazilka,xv. Diphtheria,02,00,18-11-15,23-11-15,Under surveillance,Cases of fever and sore throat were reported from a brick kiln under Village Jhurarkhera Block Sittogunno. District RRT investigated the outbreak. House to house survey done.01 Sample tested at Ferozepur and was reported positive for Diphtheria culture. All cases treated symptomatically. Health education given.,47
20,,Punjab,Fazilka,xvi. Diphtheria,08,00,18-11-15,23-11-15,Under surveillance,Cases of fever and sore throat were reported from Villages Haripura & Dangerkhera Block Khuikhera. District RRT investigated the outbreak. House to house survey done. 04 out of 06 Samples tested at DPHL Ferozepur were found to be positive for Diphtheria culture. All cases treated symptomatically. Health education given.,47
2,AS/KRJ/2019/11/0253,Assam,Karimganj,Suspected Diphtheria,01,00,15-03-19,15-03-19,Under Control,"Cases reported from Village Gugrakuna, SC Bagarsangon, BPHC Girishganj. District RRT investigated the outbreak. House to house survey done. Patient had chills, fatigue sore throat, hoarseness, cough, headache, difficulty swallowing, painful swallowing, difficulty breathing, and rapid breathing. Throat sample taken and found negative for C. Diphtheria. Investigation done by DSU with other members of Girishganj BPHC and survey the locality with health worker for any suspect case. All cases treated symptomatically. Health education given.",11
6,AS/KRJ/2019/11/0253,Assam,Karimganj,Suspected Diphtheria,01,00,15-03-19,15-03-19,Under Control,"Cases reported from Village Gugrakuna, SC Bagarsangon, BPHC Girishganj. District RRT investigated the outbreak. House to house survey done. Patient had chills, fatigue sore throat, hoarseness, cough, headache, difficulty swallowing, painful swallowing, difficulty breathing, and rapid breathing. Throat sample taken and found negative for C. Diphtheria. Investigation done by DSU with other members of Girishganj BPHC and survey the locality with health worker for any suspect case. All cases treated symptomatically. Health education given.",11
17,KL/KAS/2019/21/0550,Kerala,Trivandrum,Diphtheria,01,00,21-05-19,25-05-19,Under Surveillance,"A 9yr and 10month old fully immunized boy presented symptoms fever sore throat vomiting and headache was admitted in Sri Avittom Thirunal Hospital on 22nd May 2019. Throat swabs collected and seen to Govt. Medical College & Hospital, Trivandrum was positive for C.diphtheria. District RRT investigated the outbreak. House to house survey done. 64 close contacts were given Erythromycin chemoprophylaxis. All cases treated symptomatically. Health education given.",21
2,AS/SNT/2019/24/0633,Assam,Sonitpur (Tezpur),Diphtheria,01,00,06-06-19,13-06-19,Under Surveillance,"A Case reported from Village/SC Ghoramara, Dhekiajuli Singri Ghoramara. The case was admitted in Infectious Disease Hospital on 11th June 2019. District RRT investigated the outbreak. House to house survey done. 1 throat swab was collected and sent to GMCH, Guwahati showed growth of C.diptheriae. Health education given.",24
