Unnamed: 0,Unique ID.,Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/ Action Taken,week_number,No. of De ath s
0,AS/DBG/2018/01/0001,Assam,Dibrugarh,Food Poisoning,62,00,02-01-18,04-01-18,Under Control,"Cases reported from Village Gerekoni Gaon, PHC & Block Naharani. District RRT investigated the outbreak. House to house survey done. All 04 rectal swabs collected were found negative for cholera culture. 02 water samples collected were found potable. Health camp organized and all cases treated symptomatically. Health education given.",1,
3,AS/DBG/2018/01/0001,Assam,Dibrugarh,Food Poisoning,62,00,02-01-18,04-01-18,Under Control,"Cases reported from Village Gerekoni Gaon, PHC & Block Naharani. District RRT investigated the outbreak. House to house survey done. All 04 rectal swabs collected were found negative for cholera culture. 02 water samples collected were found potable. Health camp organized and all cases treated symptomatically. Health education given.",1,
10,RJ/UDR/2018/02/0030,Rajasthan,Udaipur,Food Poisoning,16,00,10-01-18,13-01-18,Under Control,Cases reported from Village Udaipur (ANM Institute). District RRT investigated the outbreak. House to house survey done. Health camp organized and all cases treated symptomatically. Health education given.,2,
13,TL/MED/2018/02/0033,Telangana,Sangareddy,Food Poisoning,18,00,10-01-18,14-01-18,Under Control,"Cases reported from Village/SC Komkole, PHC Munipally, Telangana Residential Lingampally. District RRT investigated outbreak. House camp organized and all cases symptomatically. Health education given.School the to house survey done.Health treated",2,
21,MZ/LAW/2018/02/0040,Mizoram,Lawngtlai,Food Poisoning,127,00,03-01-18,,Under Surveillance,Cases reported from Village??? District RRT investigated the outbreak. House to house survey done. Foods sample blood samples and stool samples collected sent to Lab analysis and result awaited. All cases treated symptomatically. Health education given,2,
24,RJ/CRG/2018/02/0042,Rajasthan,Chittorgarh,Food Poisoning,150,00,30-11-17,,Under Control,"Cases reported from Village Chittorgarh, District RRT investigated the outbreak. House to house survey done. Out of 5 food samples collected byFSO sent to Zonal Lab Udaipur FSSA; 2samples were formalin positive. Health campand all cases treated symptomatically. Health education given.",2,
0,AP/CTR/2018/03/0045,Andhra Pradesh,Chittoor,Food Poisoning,131,00,17-01-18,18-01-18,Under Control,"Cases reported Kandriga,from Village Govindapanaidu SC Irruguvai, PHC/Block Nindra. District RRT investigated the outbreak. House to house survey done. 03 water samples collected sent to District Public Health Laboratory Tirupati",3,
5,AP/CTR/2018/03/0045,Andhra Pradesh,Chittoor,Food Poisoning,131,00,17-01-18,18-01-18,Under Control,"Cases reported Kandriga,from Village Govindapanaidu SC Irruguvai, PHC/Block Nindra. District RRT investigated the outbreak. House to house survey done. 03 water samples collected sent to District Public Health Laboratory Tirupati",3,
14,MH/GAD/2018/03/0054,Maharashtra,Gadchiroli,Food Poisoning,27,00,19-01-18,20-01-18,Under Control,"Cases reported from Village Kharpundi, SC Kharpundi, PHC Bodali, Block Gadchiroli. District RRT investigated the outbreak. House to house survey done. Water samples collected; result awaited. All cases treated symptomatically. Health education given.",3,
18,WB/NDA/2018/03/0058,West Bengal,Nadia,Food Poisoning,63,00,20-01-18,20-01-18,Under Control,"Cases reported from Village Nadia, Nabadwip PHC Mayapur Bamanpukur, Block New Masjid",3,
27,JH/ESI/2018/03/0065,Jharkhand,East Singhbhum,Food Poisoning,18,00,10-01-18,,Under Control,"Cases reported from Harda, School Kasturba Gandhi Balika Vidyalaya (KGBV), SC Kantasol, Block Dumaria. District RRT investigated the outbreak. All cases consumed food in the dinner (rice, cabbage, dal) and presented symptoms of loose motion and vomiting. Health camp organized in the school and all cases treated symptomatically. Health education given.",3,
34,TL/RAN/2018/03/0071,Telangpana,Medchal,Food Poisoning,25,00,04-01-18,,Under Control,"Cases reported from SC Yapral, PHC Alwal. District RRT investigated the outbreak. All (Shawarma) in a restaurant. Cases presented with loose motion and vomiting and were admitted samples (Food and water) were not available. Health camp organized. Chlorination of water sources done. Health education given regarding personal hygiene and sanitation.the cases consumed food in a private hospital. Lab",3,
13,KL/MLP/2018/04/0081,Kerala,Malappuram,Food Poisoning,29,00,19-01-17,22-01-17,Under Control,"Cases reported from Vazhikadavu, Block Chungathara. District RRT investigated the outbreak. All the cases from the Girls Hostel consumed food Cases presented with loose motion and vomiting. 02 water samples collected; result awaited. All cases treated symptomatically. Health education given.Village/HSC/PHC in the breakfast.",4,
17,OR/BAG/2018/04/0085,Odisha,Bolangir,Food Poisoning,638,00,25-01-18,27-01-18,Under Surveillance,"Cases reported from Village Damkipali Govra, Pandripani SarathimundaChhualiudar, SC",4,
18,RJ/DAU/2018/04/0086,Rajasthan,Dausa,Food Poisoning,29,00,27-01-18,27-01-18,Under Control,"Cases reported from PHC Pawata, Rajkiya Janjati Aawasiya Vidhalaya Hostel, Nayagaanv, Mahwa, Block Mahwa. District RRT investigated the outbreak. 03 water samples collected sent to PHED Lab Dausa; result awaited. 02 Food samples (Roti & Ghiyaki Sabji) taken sent to CPA Lab Jaipur result awaited. IEC regarding",4,
19,TN/AIR/2018/04/0087,Tamilnadu,Ariyalur,Food poisoning,28,00,22-01-18,25-01-18,Under Control,"Cases reported from Village Vettiyarvetti, PHC Pitchanur CHC Indira colony, Block Jayankondam. District RRT investigated the outbreak. All the cases consumed food in a marriage ceremony. 01 water sample collected and tested at DPHL Ariyalur was found to be not potable. All cases treated symptomatically. Health education given.",4,
2,CT/JAS/2018/05/0100,Chhatisgarh,Jashpur,Food Poisoning,15,03,26-01-18,30-01-18,Under Control,"Cases reported from Village/PHC Sahid and Block Bagicha. District RRT investigated the outbreak. House to house survey done. Stool and Blood report awaited. Health camp organized by Block RRT Team to provide health facility with health education, chloronization, distributed bleeching powder, door to door home visits by ANM for Health education etc. Health camp organized in the school and all cases treated symptomatically.",5,
5,CT/JAS/2018/05/0100,Chhatisgarh,Jashpur,Food Poisoning,15,03,26-01-18,30-01-18,Under Control,"Cases reported from Village/PHC Sahid and Block Bagicha. District RRT investigated the outbreak. House to house survey done. Stool and Blood report awaited. Health camp organized by Block RRT Team to provide health facility with health education, chloronization, distributed bleeching powder, door to door home visits by ANM for Health education etc. Health camp organized in the school and all cases treated symptomatically.",5,
