Unnamed: 0,Unique ID.,Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/ Action Taken,week_number,No. of De ath s
1,CH/CHD/2018/02/0025,Chandigarh,Chandigarh,Hepatitis E,17,00,08-01-18,14-01-18,Under Surveillance,house collected and sent treated Health education givenCases reported from Village Burail & Manimajra.,2,
5,CH/CHD/2018/02/0025,Chandigarh,Chandigarh,Hepatitis E,17,00,08-01-18,14-01-18,Under Surveillance,house collected and sent treated Health education givenCases reported from Village Burail & Manimajra.,2,
14,CT/RPR/2018/13/380,Chhattisgarh,Raipur,Viral Hepatitis E,179,00,22-03-18,29-03-18,Under Surveillance,"Cases reported from Village Nayapara & Telipara, Ward No.27 and 39, Raipur. District RRT investigated the outbreak. House to house survey done. Most of the cases were 17 to 50 yrs of age and both genders were equally affected. Contamination of drinking water was the probable cause of outbreak. Samples were sent to IDSP Referal lab, Govt.",13,
28,CT/KOR/2018/20/680,Chhatisgarh,Korba,Viral Hepatitis E,33,00,07-05-18,,Under Surveillance,"personal area.Cases of Jaundice reported from Village Darri Road Korba, Ratakhar, Patel Para, Talab Para, Ramsagarpara, Mission Road. SHC Ramsagarpara, Block Urban Health, UPHC Dhodhipara. District RRT investigated the outbreak. House to house survey done. 69 Cases of jaundice were suspected in the community. 60 Blood Samples and 04 Water Samples sent to CIMS Bilaspur; 33 samples were positive for viral Hepatitis E and all water samples were nonpotable. All cases were treated symptomatically. Community made aware of drinking water. Chlorine tablets distributed in the affected",20,
19,KL/TRC/2018/21/707,Kerala,Thrissur,Hepatitis E,55,00,24-05-18,27-05-18,Under Surveillance,"Cases of jaundice reported from Village Chowwannur, SC Pudussery, PHC Chowwannur, Block Pazhanji. District RRT investigated the outbreak. Government Medical College, Thrissur organized a screening programme in village Chowwannur. House to house survey done. Out of 55 blood samples collected and sent to Microbiology lab GMCH Thrissur, 10 samples were positive for Hepatitis E (IgM ELISA). IEC regarding hand hygiene and sanitation done.",21,
17,JK/KWR/2018/22/742,Jammu And Kashmir,Kupwara,Hepatitis-E,05,,30-05-18,04-06-18,Under Control,"Cases reported from Village Reden, Block Krapora. District RRT investigated the outbreak. House to house survey done. Blood samples sent for (Elisa for HEV) to DPHL, Handwara (Chougul); all 05 samples were positive for Hepatitis-E. Water samples sent to DPHL, Handwara were nonpotable. All cases treated symptomatically. Chlorination done. Relevant health education given.",22,00
19,PB/JAL/2018/26/932,Punjab,Jalandhar,Viral Hepatitis E,9,,25-06-18,26-06-18,Under Surveillan ce,"Cases reported from Village VPO Lassoriwal, PHC Adampur, District RRT investigated the outbreak. House to house survey done. 09 Blood samples sent for lab investigation to DPHL Hoshiarpur were positive for Hepatitis E. 04 water samples sent to SPHL; 02 potable and 02 nonpotable. All cases treated symptomatically. Health education given for safe drinking water and maintaining personal hygiene.",26,00
22,JH/ESI/2018/32/1156,Jharkhand,East Singhbhum,Viral Hepatitis E,25,00,20-05-18,,Under Surveillance,"Cases reported from Village Dhatkidih, Block-Jugsalai cum Golmuri. District RRT investigated the outbreak. House to house survey done. 4 water samples collected from houses; result awaited. District RRT investigated the outbreak. All cases treated symptomatically. Instructions given regarding hygiene maintenance and sanitation.",32,
24,JH/ESI/2018/32/1156,Jharkhand,East Singhbhum,Viral Hepatitis E,25,00,20-05-18,,,"Under SurveillanceCases reported from Village Dhatkidih, Block-Jugsalai cum Golmuri. District RRT investigated the outbreak. House to house survey done. 4 water samples collected from houses; result awaited. District RRT investigated the outbreak. All cases treated symptomatically. Instructions given regarding hygiene maintenance and sanitation.",32,
8,PB/MUK/2018/33/1163,Punjab,Muktsar,Viral Hepatitis E,30,00,17-08-18,23-08-18,Under Surveillance,"Cases of jaundice reported from Gidderbaha Urban. District RRT investigated the outbreak. House to house survey done. 10 water samples sent; 7 nonpotable and 3 potable. 08 blood samples sent to Medical College, Faridkot; 01 positive for Viral Hepatitis E. ORS and chlorine tablets distributed in the community. All cases treated symptomatically. Health education given on safe water and food.",33,
12,8.,Rajasthan,Jaipur,xiii. Viral hepatitis E,41,0,07-01-15,13-01-15,Under Surveillance,"Cases of jaundice reported from Vijay colony Sardar Basti Valmiki Nagar of Malviya Nagar Jagatpura, Jaipur City, District Jaipur. District and Block RRT investigated the outbreak The outbreak is suspected to be due to pipeline leakage. House to house survey done. All age groups were affected. Out of 41 blood samples tested at SMS Medical College 28 samples were found to be positive for Hepatitis E IgM ELISA. Out of 03 water samples tested at State Epidemiology Laboratory Jaipuria Hospital, 02 samples found to be potable. Health camp was organized and all cases treated symptomatically. Health education regarding safe drinking water practices given.",3
29,5.,Odisha,Jajpur,xxix. Viral Hepatitis E,149,0,24-12-14,,Under Surveillance,"Cases of jaundice reported from Police Training Institute Byree,SC Chhatia,CHC Barachana, District Jajpur. District RRT investigated the outbreak.Conumption of contaminated water from bore well could be the probable cause of outbreak. 06 blood samples tested at SCV Medical College found positive for Hepatitis E virus IgM ELISA . 03 water samples tested at State Bacteriology and Pathology lab Cuttack were found to be positive for E.coli. All cases treated symptomatically. Health education regarding safe drinking water practices and hand washing given.",3
33,1.,Odisha,Sambhalpur,i. Hepatitis E,2850 (Cumulative),24,22-05-14,,Under Surveillance,"Cases of jaundice reported from Sambhalpur municipality area, District Sambhalpur.District RRT investigated the outbreak. Contamination of Public Water System (PWS) with sewage/drain due to the leakage in the pipes could be the probable cause of the outbreak. Active search of cases done. Majority of cases were males in the age group of 15-44 years from Ward No. 10, 14, 15, 16, 20, and 17. 747 water samples have been tested for detecting the growth of coliform organisms. Out of which 30 water samples were found positive for coliform organisms. The lab results are shared with PHED department on daily basis for early action. Out of 1625 blood samples tested, 317 samples tested positive for Hepatitis E. All cases treated symptomatically. Safe drinking water was provided by municipality through tankers to the community and food vendors. Continuous water quality monitoring is being instituted. Health education regarding safe drinking water practices, hand washing and harmful effects of defecation given.",3
7,6.,Punjab,Gurdaspur,viii. Viral Hepatitis E,103,00,23-01-15,23-01-15,Under Surveillance,"Cases of jaundice reported from Ward No. 06, 07, 08, &20, District Gurdaspur. District RRT investigated the outbreak House to house survey done. Out of 17 blood samples tested at Microbiology department GMC Amritsar 15 samples were found to be positive for Hepatitis E IgM ELISA. Out of 18 water samples tested at State PHL Chandigarh, 12 samples were found to be non potable. All the cases were treated symptomatically. Health education regarding use of boiled water for drinking and hand washing given.",4
26,5.,Rajasthan,Jaipur,xxvi. Viral Hepatitis E&A,178,00,26-12-14,,Under Surveillance,"Cases of jaundice reported from area of Raigaron Ka Mohalla ,Bisayaton Ka Mohalla Nadika Mohalla Ward No. 07, Bagru, Sanganer, District Jaipur. District RRT investigated the outbreak House to house survey done. Out of 55 blood samples tested at SMS Medical College 47 samples were found to be positive for Hepatitis E IgM ELISA and 01was found to be positive for Hepatitis A IgM ELISA. Health camp was organized and all cases treated symptomatically. Health education regarding safe drinking water practices given.",4
26,7.,Maharashtra,Sindhudurg,xxvi. Viral Hepatitis E,13,0,23-01-15,,Under Surveillance,"Cases reported from City/ Taluka Kankavli, Shiv Shakti Mangal Karyalay Kanaknagar, District Sindhudurg. District RRT investigated the outbreak. Consumption of contaminated water at a marriage ceremony could be the probable cause of the outbreak. A total of 02 water samples tested; result awaited. A total of 05 blood samples, sent to NIV, 1 positive for Hep A & E and 3 positive for Hep E. Chlorination done. Health education given. Chlorine tablet distributed.",6
20,2.,Goa,South Goa,xx. Hepatitis E,17,0,14-1-15,,Under Surveillance,"Cases reported from Village Kesarval verna PHC Cortalim, District South Goa. District RRT investigated the outbreak. Consumption of contaminated water due to leakage in the sewage line could be the probable cause of the outbreak. House to house survey in the affected area done. Tap Water sample collected and sent for bacteriological and chemical analysis at DHS which was found to be non potable. 4 blood samples were sent to the district hospital out of which 02 samples were found to be positive for Hepatitis E IgM ELISA. Alternate source of safe drinking water was supplied. ORS distribution done. All cases treated symptomatically. Health education given.",7
27,,Maharashtra,Pune,xxvii. Hepatitis E,25,0,27-01-15,,Under Surveillance,"Cases reported from Village / SC/ PHC/ Block Dehu District Pune, District RRT investigated the outbreak. House to house survey done. All 25 samples tested at NIV Pune were found to be for Hepatitis E. All cases treated symptomatically. Health education given.",8
28,4.,Himachal Pradesh,Bilaspur,xxviii. Viral Hepatitis E,83,0,15-02-15,,Under Surveillance,"Cases reported from SC Malyagan,CHC Berthin,Block Jhandutta,District Bilaspur.District RRT investigated the outbreak. House to house search was done. Out of 10 samples tested at NCDC Delhi, 03 samples were found to be positive for Hepatitis E IgM ELISA, All cases treated symptomatically. All the tanks cleaned and chlorination done.Health education given.",9
31,6.,Maharashtra,Nagpur,xxxi. Viral Hepatitis E,32,0,12-02-15,,Under Control,"Cases reported from Village Loharisawanga, PHC Madhela, Taluka Narkhed, Distt Nagpur. District RRT investigated the outbreak. Leakage in water pipeline detected which could have led to water contamination. Active case search done in the community.A total of 10 blood samples sent to GMC Nagpur and all tested positive for Hepatitis E by IgM ELISA. Repair work started. All cases treated symptomatically. Health education given.",9
