Unnamed: 0,Unique ID.,Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/ Action Taken,week_number,No. of De ath s
39,AP/GNT/2018/09/246,Guntur,Acute Diarrheal Diseases,1987,04,06-03-18,Under Surveillance,,community.  for Klebsiella oxytoca vulgaris.  Out of 80 water samples collected and sent College and Regional positive for E.coli. Alternate supply of drinking,"A total of 168 cases reported from urban area of Guntur in 9th week (11 March 2018). In the following a total of 1819 cases were reported from several areas of Guntur Municipal corporation. District RRT investigated the outbreak. House to house survey done. Pipeline leakage were observed in the Out of 39 stool samples, 23 rectal swab, were collected and sent to Guntur Medical College and Regional lab; 30 samples were positive for E.coli, 21 were positive for Klebsiella oxytoca, 2 were positive and Candida spp., 1 was positive for Klebsiella oxytoca and Pseudomonas spp., 1 positive for Proteus to Guntur Medical lab; 24 water samples had high MPN of Coliform bacteria count, 21 were positive for Klebsiella spp. and 4 water provided. All cases treated",10,
32,JH/KOE/2018/17/546,Koderma,Food Poisoning,90,00,09-05-18,Under Surveillance,,"Cases of vomiting with loose stools reported from Village, Marchoi (Middle Marchoi) Block Satgawan. District RRT investigated the outbreak. House to house survey done. Outbreak was possibly due to consumption of contaminated food in a communal feast. 03 stool samples sent for culture to NICED Kolkata. Food samples (mustard oil, refine, and sweets) collected for analysis; result awaited. Health camp organized in school and all cases treated symptomatically. Relevant health education given.",,19,
33,KL/CNR/2018/6/171,Cannanore (Kannur),Dengue,41,01,05-02-18,Under Control,,"Cases reported from Village CHC Azhikode, PHC Valapattanam, FWC Manna, National Highway side. District RRT investigated the outbreak. House to house survey done. Presence of larval breeding of Aedes mosquito at construction sites was observed. 03 samples tested for Dengue IgM & NS1 at RPH Lab Kannur and all were positive. 04 cases were NS1 Antigen positive. Fever clinics and symptomatic treatment given in the affected area. Vector surveillance, intensified source reduction activities, anti-larval sprays, guppy fish release done.",,19,
42,HP/KNG/2018/19/629,Kangra,Acute Diarrheal Disease,498,00,08-05-18,Under Surveillance,,"A total of 397 cases of loose stools and vomiting reported from Villages Ramnagar, Shyamnagar, Gammru, SC Dharmkot, Chola Tau, PHC Meclodganj in 19th week (week ending 13th May 2018). Further a cumulative of 498 cases were reported from 3rd May to 27th may 2018. District RRT investigated the outbreak. Active search of cases done. Heavy rains reported in the affected areas. The energized hand pumps were contaminated during the rains and the community consumed contaminated water. Water samples from water storage tanks (wst) from the affected villages were collected; WST Dholadhpur was not fit for consumption. Chlorine tablets, ORS packets and Zinc tablets were distributed in the community. All cases treated symptomatically. Health education given.",,21,
43,KL/MLP/2018/20/664,Kozhikode,Nipah virus,17,14,04-05-18,Under Surveillance,,A total of 9 cases and 7 deaths were reported in 20th week (week ending 20th may 2018). Further a cumulative of 17 cases and 14 deaths were reported from 3rd May to 27th may 2018. Isolation wards identified and infection control protocol strengthened. Adequate PPE and other logistics ensured in the district. Burial protocol issued. Medical camps conducted in the area for disease awareness and reducing panic. NCDC team was supporting the State in outbreak containment.,,21,
53,KL/KOZ/2018/20/664,Kozhikode,Nipah Viral Disease,19,17,03-05-18,Under Surveillance,,A total of 02 more cases and 03 more deaths reported in the current week from 17 cases and 14 deaths reported in week 21. Nipah cell of the state established for contact tracing and ensuring home quarantine. Core committee daily review meeting held under the chairmanship of District Collector. State had enlisted a total of 2084 contacts of 19 cases from the village panchayats and following up on daily basis.,,23,
54,CH/CHD/2018/22/760,Chandigarh,Cholera,01,00,23-05-18,Under Control,,"Cases reported from Village Mani Majra (Indra Colony). District RRT investigated the outbreak. House to house survey done. 01 stool culture for Cholera, Vibrio Cholerae (OGAWA) positive at DPHL Manimajra. 05 Water samples (H2S method) were collected from affected area- Fit. 140 houses were surveyed in affected area, 01 Diarrhea case in the area. IEC activities carried out. Chlorine tablet distributed in the affected area. All cases treated symptomatically. Health education given.",,23,
48,HR/FTB/2018/23/778,Fatehabad,Acute Diarrheal Disease,152,01,09-06-18,Under Control,,"Outbreak is under surveillance from week 23. Cases of loose stools reported from Village Nangal, SC- Nangal, Block- Ratia. District RRT investigated the outbreak. House to house survey done. 15 water samples collected for Orthotoluidine test; 05 samples were chlorinated. 03 samples were sent to CH Lab Fatehabad for Bacteriological testing; result awaited. 25 new cases and one death reported. A temporary dispensary established for providing symptomatic treatment. Moderate to severe patients are admitted in Civil Hospital, Ratia. Pipes have been repaired and drinking water has been hyper- chlorinated. Halogen tablets and ORS distributed in the community.",,24,
49,HP/KNG/2018/19/629,Kangra,Acute Diarrheal Disease,498,00,08-05-18,Under Surveillance,,"This is a follow-up outbreak reported in 19th week. Cases of loose stools with vomiting were reported from Village Ramnagar and Shyamnagar (Sub Center Chola- Tau Block Shahpur) Village:-Gammru Sub Center-Dharmkot PHC Meclodganj. District RRT investigated the outbreak. House to house survey done. Water samples for coliform sent to MC Tanda Sample found >1800 coliform per 100ml. Water Storage Tank of Dholadhar Public school Shamnagar found 14 coliform per 100 ml of Water (UNFIT) Sample Collected On 11-05-2018 Water Sample collected from WSS Ramnagar ,Inflitration Gallery no. 1(Near Naresh Master House)<1 MPN/100 ml of Water/ Excellent Quality of water Fit for drinking. Water Sample from WSS Ramnagar, Shamnagar Infiltration gallery no.1 (Near Shiv Vihar Temple) < MPN/100 ml of Water excellent quality of water Fit for Drinking. Water Sample Collected From Tank near Delek Hospital Dharamshala Sample No.1:- Inlet By MPN Method Coliform Cont<2 MPN/100 ml of Water Excellent quality of water/ Fit from Drinking. Water sample No. 2:- Outlet By MPN Method Coliform Count <2 MPN/100 ml of Water Excellent Quality of water/ Fit for Drinking. Water Sample from Ram Nagar, PSP Near Near Negi House Ramnagar Collected on 14-05-2018 by MPN Method Coliform Count is <2 MPN/100 ml of water Excellent Quality of water/ Fit for Drinking. Water Sample Collected on Dated:-15-05-2018 from Storage Tank Shiv Vihar by tube MPN Method, Coliform count<2 MPN/100 ml of water, Excellent Quality of water/ Fit for Drinking. All cases treated symptomatically. Health education given.",,24,
50,GA/PNJ/2018/23/777,North Goa,Dengue,43,00,05-06-18,Under Surveillance,,"Fever cases reported from North Goa district since 23rd week. District RRT investigated the outbreak. House to house survey done. 09 serum samples tested at North Goa DPL were positive for IgM Dengue. 17 samples were positive for NS1Ag at MCVR, Manipal University Karnataka. Mosquito breeding identified in abandoned arecanuts leaves due to water logging from sprinklers and rain water. IEC activities done. All cases treated symptomatically. Anti-larval and source reduction measures undertaken.",,24,
26,7.,Maharashtra Ahmednagar,xxvi. Measles?,6,0,01/02/15,Under Control,,"Cases reported from SC/PHC Devthan, Taluk Akole, District Ahmednagar. District RRT investigated the outbreak. 01 serum sample sent to NIV Pune; result awaited. All cases treated symptomatically. Health education given.",,7
27,Maharashtra,xxvi. Malaria,81,1,01/12/14,Under control,"Cases reported from Village-Upariheti, SCKapti, PHC Vyahad Bujru, Block Saoli District Chandrapur. District RRT investigated the outbreak. House to house survey was done. 03 out of 81 blood smears examined at PHC lab were found to be positive for falciparum malaria. All cases treated. Health education regarding personal protection and source reduction done.",,,,10
29,Maharashtra,xxviii. Measles,10,0,03/11/14,Under control,"Cases reported from Village Nimblak, PHC Rajale Phaltan District Satara. District RRT investigated the outbreak. Active search for cases done. 05 out of 10 samples tested at NIV Pune were found to be positive for IgM ELISA. Majority of cases were not immunized for measles. All cases were isolated and treated symptomatically. Health education given.",,,,10
30,Maharashtra,xxix. Viral Hepatitis E,32,0,03/12/14,Under control,Cases reported from Block Bavdhan Tal Wai District Satara District RRT investigated the outbreak. Active search for cases done. Consumption of contaminated water due to leakage in pipelines could be the probable cause of outbreak. 20 out of 21 samples tested positive for hepatitis E IgM ELISA. All cases treated symptomatically.Health education given.,,,,10
31,Maharashtra,xxx. Fever,159,0,16/10/14,Under control,"Cases reported from Village Vikhale PHC Wathar Station, Tal Koregaon District Satara. District RRT investigated the outbreak. Active search for cases done. All 05 serum samples tested at NIV Pune were found to be negative for dengue. All cases treated symptomatically. Health education given..",,,,10
7,7.,Ramanagara,viii. Dengue,36,0,04 /03/15,16-03-15,Under Control,"Fever cases reported from Village Sadahalli, PHC Akkur Hosahalli, Taluk Channapatana, District Ramanagara. District RRT investigated the outbreak. All cases treated symptomatically. Health education given. 01 out of 04 blood samples tested at Bangalore medical college was found to be positive for Dengue by IgM ELISA. All cases treated symptomatically. Health education given.",,11
10,9.,Dausa,xi. Food Poisoning,16,0,09/03/15,09-03-15,Under Surveillance,"Cases reported from Village Naurang wada, PHC Balahedi, Block Mahwa, District Dausa. District RRT investigated the outbreak. All the cases consumed food (ladoo, dal vada & jalebi) in a marriage ceremony . A total of 01 food sample collected and sent to CPA Lab Jaipur and 01 water sample sent to PHED Lab Dausa; result of both sample awaited. All cases treated symptomatically. Health education given.",,11
35,1. Bihar,Muzaffarpur,xx. Food Poisoning,115,00,20-04-15,Under Surveillance,,"C ases of vomiting and loose stools reported from Village Madhopur, HSC Pakri, PHC Bochahan, District Muzzafarpur. District RRT investigated the outbreak. All the cases consumed food in a social gathering. All cases treated symptomatically and Health education regarding personal hygiene and cleanness given.",,18
36,,Patna,xxi. Chickenpox?,11,00,11-04-15,Under Surveillance,,"C ases of fever with rash reported from Village/SC Chhota Hasanpur, PHC/ Block Khusrupur, District Patna District RRT investigated the outbreak. House to house survey conducted. All cases were treated symptomatically. All cases treated symptomatically and Health education regarding personal hygiene and isolation of cases given.",,18
37,,Patna,xxii. Chickenpox?,13,00,21-04-15,Under Surveillance,,"C ases of fever with rash reported from Village/SC Sherpur PHC/Block Maner, District Patna District RRT investigated the outbreak. House to house survey conducted. All cases were treated symptomatically. All cases treated symptomatically. Health education regarding personal hygiene and isolation of cases given.",,18
38,2. Haryana,Jhajjar,xxiii. Chickenpox,24,00,15-04-15,Under Control,,"C ases reported from Basant Vihar, Urban Bahaduragarh, District Jhajjar. District RRT investigated the outbreak. Active survey done. Majority of cases were in 0-15 years of age. All cases were isolated and treated symptomatically.Health education given .",,18
1,,Jahanabad,ii. Food Poisoning,24,00,03-05-15,06-05-15,Under Control,"Cases vomiting ,pain abdomen, and loose stools reported from PHC Ratni Faridpur, PS Sakurabad, Block Aero District Jahanabad. District RRT investigated the outbreak.All the cases had history of c consuming food from breakfast packets. All cases were treated symptomatically. Health education given.",,19
2,,Patna,iii. Chickenpox,11,00,06-05-15,10-05-15,Under Surveillance,"Cases of fever with rash reported from Village Lodipur vagicha & Gangatola, SC Sherpur, PHC & Block Maner, District Patna. District RRT investigated the outbreak.Hose to house survey done and overcrowding was observed. All the cases were between 2 months - 25 year age group. All cases were treated symptomatically. Health education given.",,19
5,3.,Chhota Udepur,vi. Viral Hepatitis E,31,00,05-05-15,09-05-15,Under Surveillance,"Cases of fever, pain in the abdomen, loss of appetite and yellow discoloration of sclera .reported from Village Dhankwada, SC Bodeli , PHC Alikherva, Block Bodeli , District Chhota Udepur. District RRT investigated the outbreak. Consumption of contaminated water due to leakages in drinking water pipeline could be the probable cause of outbreak. All 3 water samples tested at Medical College Vadodara were found non potable and 4 serum samples tested at PH laboratory, Vadodara were found to be positive for Hepatitis E on IgM ELISA. All the cases treated symptomatically. Chlorination of water sources done. Health education given.",,19
10,7.,Raichur,xi. Dengue,09,00,07-05-15,07-05-15,Under Control,"Cases reported from Village Ashala Tanda, PHC/CHC Mudgal, Taluk Lingsugur,District Raichur. District RRT investigated the outbreak.house to house survey done. Out of 9 samples sent to Sentinel Surveillance Lab Raichur 6 were positive for Dengue on IgM ELISA. Entomological survey done. Findings of entomological survey are HI 12, CI15, BI 10Source reduction done. All cases treated symptomatically. Health education given.",,19
12,7.,Kalburgi,xiii. Cholera,53,00,05-05-15,11-05-15,Under Control,"Cases of loose stools reported from Village Melunda, PHC Hiresavalgi, Taluk,District Kalburgi. District RRT investigated the outbreak. Consumption of contaminated water due to leakages in drinking water pipeline could be the probable cause of outbreak. 06 water samples collected & sent to Referral Lab Bidar; result awaited. Out of 6 stool samples tested at Referal Lab Bidar, 1 stool sample was found positive for vibrio cholera on culture. All cases treated symptomatically. Pipeline repair done. Health education given.",,19
14,7.,Balaghat,xv. Acute Diarrheal Disease,45,00,03-05-15,08-05-15,Under Control,"Cases of diarrhea reported from Block Ghubadgondi SC Momad, Block Kherdegi,District Balaghat. District RRT investigated the outbreak. 6 water samples collected and sent to PHE Balaghat; result awaited. Chlorination of water sources done. All cases treated symptomatically. Health education given.",,19
15,7.,Bhopal,xvi. Chickenpox,05,00,06-05-15,07-05-15,Under Surveillance,"Cases of fever with rash reported from Urban Bhopal, Block Rahul Nagar, Asoka Nagar, District Bhopal. District RRT investigated the outbreak. All the cases were in 4-30 years of age group. All cases treated symptomatically. Health education given.",,19
