Unnamed: 0,Unique ID.,Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/ Action Taken,week_number,No. of De ath s
10,MH/GAD/2018/01/0008,Maharashtra,Gadchiroli,Malaria,13,01,31-12-17,02-01-18,Under Control,"Cases reported from Village/PHC Regadi, Block Chamorshi. District RRT investigated the outbreak. House to house fever survey done. The entire 13 blood smears were found positive for malaria (Pf). One death occurred in an 18yr old male who was found positive for malaria (Pf). All cases treated locally. Source reduction activities undertaken. Health education given.",1,
32,BH/PTN/2018/18/618,Bihar,Patna,Malaria,05,03,05-04-18,,Under Surveillance,"Cases reported from Village gr-Moor, Block-Mokama, PHC Marachi. District RRT investigated the outbreak. House to house fever survey done. 02 cases were positive for P Vivax (Nazrath Hospital, Mokama) and one was positive for P falciparum malaria. All cases treated symptomatically. Source reduction and anti-larval activities undertaken. Relevant health education given.",18,
38,BH/PTN/2018/18/618,Bihar,Patna,Malaria,05,03,05-04-18,,Under Surveillance,"Cases reported from Village gr-Moor, Block-Mokama, PHC Marachi. District RRT investigated the outbreak. House to house fever survey done. 02 cases were positive for P Vivax (Nazrath Hospital, Mokama) and one was positive for P falciparum malaria. All cases treated symptomatically. Source reduction and anti-larval activities undertaken. Relevant health education given.",18,
0,AS/UAL/2018/22/728,Assam,Udalguri,Malaria,47,,29-05-18,31-05-18,Under Surveillance,"Cases reported from Village Dhunseri TE, BPHC Orang. District RRT investigated the outbreak. House to house fever survey done. Total 105 blood samples were tested for Malaria at Dhunseri TE Hospital lab; 47 samples were positive for PF (35) and PV (12) All cases treated symptomatically. Source reduction activities undertaken. Community educated on personal protection measures.",22,00
3,AS/UAL/2018/22/728,Assam,Udalguri,Malaria,47,,29-05-18,31-05-18,Under Surveillance,"Cases reported from Village Dhunseri TE, BPHC Orang. District RRT investigated the outbreak. House to house fever survey done. Total 105 blood samples were tested for Malaria at Dhunseri TE Hospital lab; 47 samples were positive for PF (35) and PV (12) All cases treated symptomatically. Source reduction activities undertaken. Community educated on personal protection measures.",22,00
2,AS/JRT/2018/24/823,Assam,Jorhat,Malaria,09,00,11-06-18,15-06-18,Under Surveillance,"Cases of fever reported from Baghchung BPHC, Bahoni SC, and Bhabanipur gaon. District RRT investigated the outbreak. House to house fever survey done. 50 Rapid Diagnostic kit tests were done and 9 samples were positive for Plasmodium Falciparum. Serum samples sent for further analysis. All cases were treated symptomatically. Awareness given on spread of disease and ensuring all personal protection measures for the same.",24,
5,AS/JRT/2018/24/823,Assam,Jorhat,Malaria,09,00,11-06-18,15-06-18,Under Surveillance,"Cases of fever reported from Baghchung BPHC, Bahoni SC, and Bhabanipur gaon. District RRT investigated the outbreak. House to house fever survey done. 50 Rapid Diagnostic kit tests were done and 9 samples were positive for Plasmodium Falciparum. Serum samples sent for further analysis. All cases were treated symptomatically. Awareness given on spread of disease and ensuring all personal protection measures for the same.",24,
2,AS/UAL/2018/25/866,Assam,Udalguri,Malaria,14,00,21-06-18,22-06-18,Under Control,"Cases reported from Village Kobidanga, SC Bhoirabkunda. District RRT investigated the outbreak. House to house survey done. Out of 48 blood samples collected 14 samples were found to be positive for Malaria (12 were positive for P.falciparum & 2 were positive for P.vivax). All cases treated symptomatically. Source reduction activities undertaken. Health education given.",25,
6,AS/UAL/2018/25/866,Assam,Udalguri,Malaria,14,00,21-06-18,22-06-18,Under Control,"Cases reported from Village Kobidanga, SC Bhoirabkunda. District RRT investigated the outbreak. House to house survey done. Out of 48 blood samples collected 14 samples were found to be positive for Malaria (12 were positive for P.falciparum & 2 were positive for P.vivax). All cases treated symptomatically. Source reduction activities undertaken. Health education given.",25,
22,KN/UDU/2018/25/882,Karnataka,Udupi,Malaria,57,00,14-06-18,20-06-18,Under Control,"Cases reported from Village/PHC/CHC Koteshwara A, Taluk Kundapura. District RRT investigated the outbreak. House to house survey done. Out of 57 blood samples collected 13 samples were found to be positive for Malaria. All cases treated symptomatically. Source reduction activities undertaken. Health education given.",25,
12,MH/GAD/2018/29/1034,Maharashtra,Gadchiroli,Malaria,15,01,14-07-18,16-07-18,Under Surveillance,"Cases of fever reported from Village+ Kothi, PHC Arewada, Block Bhamragad. District RRT investigated the outbreak. House to house fever survey done. 15 blood slides tested at RH Bhamragad were negative for Malaria. All cases treated symptomatically. Source reduction and anti-larval activities done. Health education given on personal protective measures for mosquitoes.",29,
36,AS/CCR/2018/29/1057,Assam,Cachar,Malaria,01,01(14/ M),08-07-18,,Under Surveillance,"Case of fever reported from Village Machkhal, SC Chenjur, BPHC Lakhipur. District RRT investigated the outbreak. House to house fever survey done. Blood Slide collected at Lakhipur BPHC was positive for malaria (P. falciparum) by HINDLAB. RDK test was also positive for P. Falciparum. Awareness camps were held and cases treated symptomatically. Source reduction and anti- larval activities undertaken. Indoor residual spray done in the area. Relevant health education given.",29,
1,GA/MGO/2018/32/1140,Goa,South Goa,Malaria,05,00,06-08-18,16-08-18,Under Surveillance,"Cases of fever reported from Village Curchorem, CHC Curchorem, Block Quepen. District RRT investigated the outbreak. House to house fever survey done. Lab samples collected were positive for Vivax Malaria. All cases treated locally. Intensive fever screening of laborers done . Daily spraying and fogging done. Source reduction activities undertaken. Health education given on personal protection measures.",32,
4,GA/MGO/2018/32/1140,Goa,South Goa,Malaria,05,00,06-08-18,16-08-18,Under Surveillance,"Cases of fever reported from Village Curchorem, CHC Curchorem, Block Quepen. District RRT investigated the outbreak. House to house fever survey done. Lab samples collected were positive for Vivax Malaria. All cases treated locally. Intensive fever screening of laborers done . Daily spraying and fogging done. Source reduction activities undertaken. Health education given on personal protection measures.",32,
18,1075702/2018/O/O IDSP-NCDC KN/CMN/2018/35/1194 Karnataka,,Chamarajanagara,Malaria,16,00,25-08-18,30-08-18,Under Surveillance,"Cases of fever reported from Village Gopinatham, Palar Haadi, PHC/CHC MM Hills. Taluk Kollegal. District RRT investigated the outbreak. House to house fever survey done. Out of 49 blood smears; 14 PV Cases and 2 PF cases found positive. 34 Blood smears of contacts taken for testing malaria; result awaited. 02 blood samples collected to rule out Dengue and Chikungunya; tested negative. All cases treated symptomatically. People educated to wear full length clothes; use mosquito nets while sleeping and keep surrounding area clean and free from stagnant water.",35,
21,1075702/2018/O/O IDSP-NCDC KN/CMN/2018/35/1194 Karnataka,,Chamarajanagara,Malaria,16,00,25-08-18,30-08-18,Under Surveillance,"Cases of fever reported from Village Gopinatham, Palar Haadi, PHC/CHC MM Hills. Taluk Kollegal. District RRT investigated the outbreak. House to house fever survey done. Out of 49 blood smears; 14 PV Cases and 2 PF cases found positive. 34 Blood smears of contacts taken for testing malaria; result awaited. 02 blood samples collected to rule out Dengue and Chikungunya; tested negative. All cases treated symptomatically. People educated to wear full length clothes; use mosquito nets while sleeping and keep surrounding area clean and free from stagnant water.",35,
23,MP/SNA/2018/41/1367,Madhya Pradesh,Satna,Malaria,15,00,24-09-18,Under Surveillance,Cases blood samples,"reported from Villages Hardi, Birsingpur, Block Majhgawan. District RRT the outbreak. House to house fever survey done. All 15 12Pf). All cases treated locally. Source reduction activitiesPiparihai PHC investigated tested were positive for Malaria (3Pv &",41,
38,AS/MAR/2018/44/1445,Assam,Marigaon,Malaria,07,00,23-09-18,,Under Control,Cases reported from Village Natun Mohkhuli under Nellie SD of Jhargaon BPHC Vill-Wabori under Nellie SD of Jhargaon BPHC. District RRT investigated the outbreak. House to house fever survey done. 71 blood slides were examined out of which 6 were positive for P Falciparum and 1 for P Vivax. House to House Awareness & fever surveillance was done in the affected area. Leaflet distribution & IRS done. Source reduction activities undertaken.,44,
56,Maharashtra (Follow up of 1034 of wk 29),Maharashtra,Gadchiroli,Malaria,114,01,27-10-18,,Under Surveillance,"PHC Arewada, investigated for P Falciparum. All female died of Malaria.Cases reported from Village Gundurwahi, SC Maraknar, Block Bhamragad. District RRT the outbreak. House to house fever survey done. 114 blood smears taken out of which 03 were positive cases treated. Source reduction activities undertaken. Health education given. 3 year old",44,
2,KN/TUM/2018/45/1463,Karnataka,Tumkur,Malaria,21,00,07-11-18,13-11-18,Under Surveillance,"Cases reported from Village S/C B.K. Halli, Hosahalli Colony, PHC/CHC Doddahalli, Taluk Pavagada. District RRT investigated the outbreak. House to house fever survey done. Out of 137 blood smears collected and tested at District Malaria Lab tested; 21 blood smears were positive for Malaria (PV). All cases treated locally. Source reduction activities undertaken. Health education given.",45,
5,KN/TUM/2018/45/1463,Karnataka,Tumkur,Malaria,21,00,07-11-18,13-11-18,Under Surveillance,"Cases reported from Village S/C B.K. Halli, Hosahalli Colony, PHC/CHC Doddahalli, Taluk Pavagada. District RRT investigated the outbreak. House to house fever survey done. Out of 137 blood smears collected and tested at District Malaria Lab tested; 21 blood smears were positive for Malaria (PV). All cases treated locally. Source reduction activities undertaken. Health education given.",45,
33,MP/RWA/2018/46/1498,Madhya Pradesh,Rewa,Malaria?,91,00,06-10-18,,Under Control,"Cases reported Rangauli Block semariya CHC sirmour Rewa District RRT investigated the outbreak. House to house survey done. Out of 91 blood smears collected, 2 smears were positive for malaria (1 PF and 1 PV). Fogging done and anti-larval activities were undertaken. Health regarding personal protection measures.from Village Mainaha & Kakredi PHC education given",46,
26,UP/BRL/2018/49/1563,Uttar Pradesh,Bareilly,Malaria,36904,00,03-09-18,,Under Control,"Cases reported from Village Tehsil Aonla, Major Affected Blocks Majhgawan, Ramnagar, Bhamora, Kyara. District RRT investigated the outbreak along with central level RRT from NCDC. House to house fever survey done. Active Surveillance is being carrying out daily, Fever Tracking, Daily organizing fever camps in the affected areas. Blood RDT done-174515, blood 17025, no of pv cases-19879 (till dec 5,.2018). All cases treated locally. Sourceslides:-71072no of pf cases- reduction activities undertaken.",49,
10,TN/TVR/2018/52/1607,Tamil Nadu,Tiruvarur,Malaria,31,00,25-12-18,30-12-18,Under Surveillance,"Cases reported from Village Sembadavankadu, Pettai, SC Sembadavankadu. PHC/Block Muthupettai. District RRT investigated the outbreak. House to house fever survey done. Out of 28 blood samples collected, 17 samples were positive for PV & 1 sample positive for PF& PV. Fogging done, anti-larval measures and indoor residual spraying done. All cases treated symptomatically. Health education given.",52,
19,MH/GAD/2023/22/461,Maharashtra,Gadchiroli,Malaria,19,01,29-05-2023,29-05-2023,Under Control,"Cases reported from Village Marakbodi, Block Gadchiroli, District Gadchiroli. Cases presented with fever. 233 serum samples were taken and sent to PHC Potegaon. District RRT investigated the outbreak. Door to door survey was done. Two blood sample came positive for Malaria in PBF examination, rest of the blood samples came negative by RDK. All the containers were examined; containers which found positive were emptied chlorination of water sources done. A 50-year-old male succumbed to death due to Cerebral Malaria. Community awareness and health education given by peripheral health team on sanitation and vector control measures.",22
44,MH/GAD/2023/22/485,Maharashtra,Gadchiroli,Malaria,06,01,25-05-2023,,Under Control,"Cases reported from Village Kumarguda, Sub district Bhamragad, District Gadchiroli. Cases presented with fever with chills. Serum samples were taken and sent for testing. District RRT investigated the outbreak. Door to door survey was done. Six blood samples came positive by RDK 5 for plasmodium falciparum, and 1 for mixed). All the containers were examined, 3 containers found positive for mosquito larvae were emptied chlorination of water sources done. A 7- year-old male succumbed to death on 25-05-2023. Due to Cerebral Malaria. Community awareness and health education given by peripheral health team on sanitation and vector control measures.",22
45,MH/GAD/2023/22/486,Maharashtra,Gadchiroli,Malaria,21,01,23-05-2023,,Under Control,"Cases reported from Village Godalwahi Tola, Sub district Dhanora, District Gadchiroli. Cases presented with fever. Serum samples were taken and sent for testing. District RRT investigated the outbreak. Door to door survey was done. 21 blood samples came positive for Plasmodium falciparum by RDK. All the containers were examined; containers which found positive for mosquito larvae were emptied chlorination of water sources done. A 10-year-old male succumbed to death on 22-05-2023. Community awareness and health education given by peripheral health team on sanitation and vector control measures.",22
23,JH/DEO/2023/25/561,Jharkhand,Deoghar,Malaria,14,00,21-06-2023,25-06-2023,Under Surveillance,"Cases were reported from village Basakola Sub District Deoghar District Deoghar. Cases presented with fever, headache generalized weakness. All fourteen blood samples were sent for investigation. District RRT investigated the outbreak. Affected cases were in the age group 5-55 years. One sample came positive for Vivax Malaria in Peripheral Blood film by Microscopy. Community awareness and health education given by peripheral health team on sanitation and vector control measures.",25
24,JH/DEO/2023/25/562,Jharkhand,Deoghar,Malaria,12,00,20-06-2023,24-06-2023,Under Surveillance,"Cases were reported from village Harokura Sub District Devipur District Deoghar. Cases presented with fever, headache generalized weakness. All twelve blood samples were sent for investigation. District RRT investigated the outbreak. Affected cases were in the age group 4-75 years. One sample came positive for Vivax Malaria by RDT for malaria Antigen and another sample came positive in Peripheral Blood film by Microscopy. All close contacts of the malaria positive traced and tested. Community awareness and health education given by peripheral health team on sanitation and vector control measures.",25
47,MP/NSP/2023/25/585,Madhya Pradesh,Narsinghpur,Malaria,06,00,24-06-2023,24-06-2023,Under Surveillance,"Cases reported from Block Salichouka, Village Badegaon-02. Cases presented with symptoms of Cold with fever, body pain. 52 Blood test were done using RDT-Kit at PHC Chichali, distt. Narsinghpyur, out of 52, 4 came out Positive for P. falciparum (PF+). District RRT investigated the outbreak. Community awareness meeting on VBD and health education given by peripheral team on the importance of fogging, anti-larval measures and source reduction activity done. House to house active fever survey done.",25
49,MH/GAD/2023/25/587,Maharashtra,Gadchiroli,Malaria,37,01,23-06-2023,23-06-2023,Under Control,"Cases reported from Block Chamorshi, PHC- Bhendala, SC Ghargaon. Cases presented with symptoms of Fever, Breathlessness & weakness. 39 blood samples were tested by rapid diagnostic kit (RDT-Kit) at PHC Bhendala. Out of 39, 3 were found to be positive for P. falciparum. District RRT investigated the outbreak. Community awareness meeting on VBD and health education given by peripheral team on the importance of fogging, anti-larval measures and source reduction activity done. House to house active fever survey done. One 45 Year old Male patient died due to cerebral malaria on 11/07/2023 at DH Gadchiroli.",25
58,OR/JAG/2023/25/596,Odisha,Jagatsinghpur,Malaria,07,00,19-06-2023,23-06-2023,Under Control,"Cases reported from Urali village of Palasa SC under Mandasahi CHC, district Rayagada. Cases presented with symptoms of fever. RDT for malaria was done for all 7 cases which was found to be Positive. Screening of all seven people for Malaria was done and it was found that 5 were P.falciparum and 2 were P.Vivax. Their family members and suspected cases of the village were tested and found negative. Fever surveys and community awareness have been continued. District RRT visited and monitored the anti-malaria activities and medical treatment follow-up cases. Community awareness, Door to door IPC, Anti larva spray and IEC activities have been continued.",25
38,MH/GAD/2023/33/986,Maharashtra,Gadchiroli,Malaria,02,01,18-08-23,19-08-23,Under Control,"Cases were reported from Village: Kawadikasa, Sub-District: Dhanora, District: Gadchiroli. Cases presented with Fever of < 7 days. 2 blood samples were sent to RH Dhanora, which were found to be positive for Malaria Falciparum on Microscopy-Peripheral Blood Smear (MP). 142 RDK were also done which were all found to be negative. District RRT investigated the outbreak. Community awareness and health education given by peripheral health team on malaria. Fever survey were conducted in the area and surrounding areas, and preventive and curative measures were taken. Daily entomological surveys were conducted. Fogging, source reduction were done. Death of a 9 year old female has occurred due to Cerebral Malaria (PF) From Kavadikasasc Sursundi PHC Murumgaon.",33
49,OR/SUN/2023/33/997,Odisha,Sundargarh,Malaria,22,00,11-08-23,14-08-23,Under Control,"Cases reported from Rajganagpur, Panposh, Kalodhi. Cases presented with symptoms of fever, headache. The most affected age group was 15-30 years (50% of the cases falls into this age group). 64% of affected cases are female. 22 Blood samples were sent to DPHL, Sundargarh, out of which all were found to be positive for Malaria Falciparum by Microscopy- Peripheral Blood Smear (MP). District RRT investigated the outbreak. Community awareness and health education given by peripheral health team on Malaria. Fever and Container survey were conducted in the area and surrounding areas, and preventive and curative measures were taken. Daily entomological surveys were conducted. Fogging, source reduction were done. IEC on bed net, vector control measures were initiated. Door to door surveillance to identify any hidden cases was done.",33
25,MH/BNR/2023/34/1040,Maharashtra,Bhandara,Malaria,4,2,21-08-23,22-08-23,Under Surveillance,"Cases were reported from Village Kawalewada, Sub-District Tumsar, District: Bhandara. Cases presented with symptoms of fever, chills and generalized weakness. 4 Blood samples were collected and sent to IGMC Nagpur. District RRT investigated the outbreak. 2 samples were found positive for Malaria Falciparum by microscopy. Cases were treated with anti-malarial. Community awareness and health education given by peripheral team on vector control measures, hygiene and sanitation. Two cases 59 year and 60 year old male succumbed to death.",34
16,JH/DEO/2023/35/1092,Jharkhand,Deoghar,Malaria,10,0,25-08-23,30-08-23,Under Surveillance,"Cases were reported from Village Mahuadabar, Sub-District Madhupur, District Deoghar. Cases presented fever with generalized weakness. 10 blood samples collected. One sample found positive for Plasmodium Vivax Malaria by Microscopy. District RRT investigated the outbreak. Cases were treated symptomatically by Anti-Malarial and other supportive measures. Community awareness and health education given by peripheral team on vector control measures, hygiene and sanitation.",35
17,JH/WSI/2023/35/1093,Jharkhand,West Singhbhum,Malaria,11,0,01-09-23,01-09-23,Under Surveillance,"Cases were reported from Village Bamebasa, Sub-District Tonto, District West Singhbhum. Cases presented fever with generalized weakness. 11 samples found positive for Malaria (Plasmodium Falciparum) by RDT Kits. District RRT investigated the outbreak. Cases were treated symptomatically by Anti- Malarial and other supportive measures. Community awareness and health education given by peripheral team on vector control measures, hygiene and sanitation.",35
43,MH/SIN/2023/35/1120,Maharashtra,Sindhudurg,Malaria,15,0,28-08-23,28-08-23,Under Surveillance,"Cases Reported from At.Po.- Vazare, Block- Dodamarg, PHC – Morgao, SC- Virdi. Cases presented with symptoms of Fever, weakness etc. 19 blood samples were sent to DPHL Sindhudurg, all were found to be positive for Malaria, 18 were P.vivax and 1 was P. falciparum. District RRT investigated the outbreak. Community awareness and health education given by peripheral health team on malaria. Fever and Container survey were conducted in the area and surrounding areas, and preventive and curative measures were taken. Indices calculated were: HI-75, BI-279, CI- 81. Daily entomological surveys were conducted. Fogging, source reduction were done.",35
65,UP/HRD/2023/35/1141,Uttar Pradesh,Hardoi,Malaria,35,0,24-08-23,29-08-23,Under Control,"Cases of fever reported from Village Goradanda, Block Tandiyawan, District Hardoi. Out of 35 blood smears collected, 5 tested positive for P. vivax (RDT) by the District team. District RRT investigated the outbreak. House to house fever survey was done. Cases were treated at a health camp organized in the affected area. Source reduction activities were undertaken in the village. IEC activities were done regarding use of mosquito nets.",35
73,MP/SNA/2023/35/1148,Madhya Pradesh,Satna,Malaria,6,0,14-08-23,,Under Surveillance,"Cases reported from Village Piparhai SHC Beerpur Block Majhgawa. Cases presented with Fever with chills. 36 blood samples were collected And tested in CHC Majhagawan lab, 6 samples were found to be positive for P.falciparum. District RRT investigated the outbreak. Community awareness and health education given by peripheral health team on malaria. Fever survey were conducted in the area and surrounding areas, and preventive and curative measures were taken. IRS Spray were done in the concerned villages.",35
35,MH/RGD/2023/37/1235,Maharashtra,Raigad,Malaria,4,1,12-09-23,15-09-23,Under Surveillance,"Cases reported from At./Po. Pagar Mohhala Revdanda, SC Wave Revdanda, Block Alibag. Cases presented with symptoms of fever & weakness. Three samples were sent to Malaria Office Alibag, out of which 1 sample was found to be positive for P.Vivax malaria on Microscopy-Peripheral Blood Smear (MP). District RRT investigated the outbreak. Community awareness and health education given by peripheral health team on malaria. Fogging, source reduction were done. House to house survey was done. Death of a 28 year old female has occurred due to malaria on 12/09/2023 at Sion Hospital Mumbai. The case was positive for P.Vivax malaria.",37
37,MH/THN/2023/37/1237,Maharashtra,Thane,Malaria,3,1,14-09-23,16-09-23,Under Surveillance,"Cases reported from Damle Building, Fadke Road, Shivmarket, KDMC UPHC Patkar, Kalyan Dombivali Municipal Corporation. Cases presented with symptoms of fever & weakness. Three samples were collected & sent to Shastri Nagar Hospital Dombivali, out of which 1 was found to be positive for P.Vivax malaria on Microscopy-Peripheral Blood Smear (MP). District RRT investigated the outbreak. Community awareness and health education given by peripheral health team on malaria. Fogging, source reduction were done. House to house survey was done. A 48 year old male died due to malaria (PV positive) on 12 Sept at Mamta Private Hospital Kalyan.",37
47,UP/SNB/2023/37/1247,Uttar Pradesh,Sonbhadra,Malaria,46,0,11-09-23,12-09-23,Under Control,"Cases of fever were reported from Village Panari, Sub District Robertsganj, District Sonbhadra. Out of 46 blood samples collected and tested at the health camp, 5 samples tested positive for Malaria (RDT). District RRT investigated the outbreak. Active search for fever cases done. Cases treated at a health camp organized in the affected area. Source reduction activities undertaken in the village. IEC activities done regarding use of mosquito nets.",37
