Unnamed: 0,Unique ID.,Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/ Action Taken,week_number,No. of De ath s
2,BH/NAW/2018/01/0003,Bihar,Nawada,Measles?,07,00,29-12-17,04-01-18,Under Control,"Cases reported from Village Baratpura, Block/PHC Sadar. District RRT investigated the outbreak. House to house survey done. Majority of cases were below 15yrs of age group. Vitamin A supplementation given to all children of 0-15 yrs. Cases treated symptomatically. Health education given.",1,
5,BH/NAW/2018/01/0003,Bihar,Nawada,Measles?,07,00,29-12-17,04-01-18,Under Control,"Cases reported from Village Baratpura, Block/PHC Sadar. District RRT investigated the outbreak. House to house survey done. Majority of cases were below 15yrs of age group. Vitamin A supplementation given to all children of 0-15 yrs. Cases treated symptomatically. Health education given.",1,
6,JH/GDA/2018/01/0004,Jharkhand,Godda,Measles?,15,0,06-01-18,06-01-18,Under Control,"Cases of fever with maculopapular rash cough reported from Village Digghi, PHC Mahagama. District RRT investigated the outbreak. House to house survey done. 5 blood sample were collected and sent to Institute of Serology, Kolkata for Measles; result awaited. All cases treated symptomatically. Health education given.",1,
11,MH/NAG/2018/01/0009,Maharashtra,Nagpur,Measles,05,00,29-12-17,03-01-18,Under Control,"Cases reported from Village Mallak Nagar, Block Umred. District RRT investigated the outbreak. House to house survey done. Majority of cases were below 15yrs of age. Vitamin A supplementation given. All 04 serum samples were positive for Measles (IgM ELISA). All cases treated symptomatically. Health education given.",1,
13,UP/ALI/2018/01/0011,Uttar Pradesh,Aligarh,Measles?,09,00,01-01-18,03-01-18,Under Control,"Cases reported from Village Peepal Block Khair,. District RRT investigated the outbreak. House to house survey done. 05 blood sample had been taken and sent to SGPGI, Lucknow; result awaited. All cases treated symptomatically. Health education given.",1,
15,UP/MAO/2018/01/0013,Uttar Pradesh,Mahoba,Measles?,19,00,02-01-18,03-01-18,Under Control,"Cases reported from Village Supa, Block Charkhari CHC Kulpahar. District RRT investigated the outbreak. House to house survey done. 05 blood samples collected; result awaited. All cases treated symptomatically. Health education given.",1,
21,BH/NAW/2018/01/0017,Bihar,Nawada,Measles?,12,00,03-12-17,,Under Control,Cases reported from Village Bhalua Block/PHC Sirdala. District RRT investigated the outbreak. House to house survey done. All cases treated symptomatically. Health education given.,1,
22,BH/NAW/2018/01/0018,Bihar,Nawada,Measles?,05,00,23-12-17,,Under Control,"Cases reported from Village Koshitola, Block/PHC Roah. District RRT investigated the outbreak. House to house survey done. All the cases were below 9yr of age. 5 blood sample collected andsent to PMCH Patna; result awaited. All cases treated symptomatically. Health education given.",1,
24,CT/BJP/2018/01/0020,Chhatisgarh,Bijapur,Measles?,05,00,05-12-17,,Under Control,"Cases reported from Village/PHC Matwada, Block Bhairamgarh. District RRT investigated the outbreak. House to house survey done. Vitamin A supplementation given. All cases treated symptomatically. Health education given.",1,
16,JH/SAK/2018/02/0035,Jharkhand,SaraikelaKharsa wan,Measles,23,00,05-12-17,,Under Surveillance,"Cases reported from Villages Jugidih, Buribasa PHC Bareda CHC Nimdih. District RRT investigated the outbreak. House to house survey done. 11 serum samples collected and sent to Institute of Serology lab Kolkata; 10samples were positive for measles (IgM ELISA). All cases treated symptomatically. Health education given.",2,
18,KL/MLP/2018/02/0037,Kerala,Malappuram,Measles?,6,00,10-12-17,,Under Control,"Cases reported from Village/SC Pakara, PHC Thanalur, Block Valavannur. District RRT investigated the outbreak. House to house survey done. 03 blood samples collected by Institute of virology Lab Bangalore; result awaited. All cases treated symptomatically. Health education given.",2,
25,UP/HAT/2018/02/0043,Uttar Pradesh,Hathras,Measles?,09,00,22-12-17,,Under Control,"Cases reported from Village Nagala Bajra, SC Teekai Kala, Block Sikandra. District RRT investigated the outbreak. House to house survey done. 5 blood sample collected sent to Lucknow; result awaited. All cases treated symptomatically. Health education given.",2,
26,UP/LAL/2018/02/0044,Uttar Pradesh,Lalitpur,Measles?,08,00,02-01-18,,Under Control,"Cases reported from PHC/Block Jakhora, District RRT investigated the outbreak. House to house survey done. 05 blood samples, 02 urine and 02 throat swab samples collected sent to SGPGI; result awaited. All cases treated symptomatically. Health education given.",2,
1,AS/GLP/2018/03/0046,Assam,Goalpara,Measles?,05,00,14-01-18,20-01-18,Under Surveillance,"Cases reported from Village Hasilabil, SC Kabala, Block Agia. District RRT investigated the outbreak. House to house survey done. 03 blood and 04 swab samples collected sent to Dept of Virology, GMCH, Guwahati; result awaited. All cases treated symptomatically. Health education given.",3,
2,BH/NAW/2018/03/0047,Bihar,Nawada,Measles?,05,00,12-01-18,18-01-18,Under Control,"Cases reported from Village Baniya Bigha, PHC/Block Govindpur. District RRT investigated the outbreak. House to house survey done. 03 blood samples collected sent to PMCH Patna result awaited. All cases treated symptomatically. Health education given.",3,
4,JH/GDA/2018/03/0049,Jharkhand,Godda,Measles,11,00,16-01-18,17-01-18,Under Control,"Cases reported from Village Sakrikittarampur, PHC/Block Boarijore. District RRT investigated the outbreak. House to house survey done.5 blood samples collected sent to Institute of Serology Kolkata were positive for Measles (IgM ELISA). All cases treated symptomatically. Health education given.",3,
6,AS/GLP/2018/03/0046,Assam,Goalpara,Measles?,05,00,14-01-18,20-01-18,Under Surveillance,"Cases reported from Village Hasilabil, SC Kabala, Block Agia. District RRT investigated the outbreak. House to house survey done. 03 blood and 04 swab samples collected sent to Dept of Virology, GMCH, Guwahati; result awaited. All cases treated symptomatically. Health education given.",3,
7,BH/NAW/2018/03/0047,Bihar,Nawada,Measles?,05,00,12-01-18,18-01-18,Under Control,"Cases reported from Village Baniya Bigha, PHC/Block Govindpur. District RRT investigated the outbreak. House to house survey done. 03 blood samples collected sent to PMCH Patna result awaited. All cases treated symptomatically. Health education given.",3,
9,JH/GDA/2018/03/0049,Jharkhand,Godda,Measles,11,00,16-01-18,17-01-18,Under Control,"Cases reported from Village Sakrikittarampur, PHC/Block Boarijore. District RRT investigated the outbreak. House to house survey done.5 blood samples collected sent to Institute of Serology Kolkata were positive for Measles (IgM ELISA). All cases treated symptomatically. Health education given.",3,
20,BH/NAW/2018/03/0059,Bihar,Nawada,Measles?,06,00,10-01-18,,Under Control,"Cases reported from Village Dularpura, PHC Pakribarawan,",3,
24,DL/DLN/2018/03/0063,Delhi,North Delhi,Measles,08,00,21-12-17,,Under Control,"Cases reported from JJ Colony Bawana, Delhi. District RRT investigated the outbreak. House to house survey done. All 08 lab samples collected were positive for Measles (IgM ELISA). All cases treated symptomatically. Health education given.",3,
25,GJ/BVN/2018/03/0064,Gujarat,Bhavnagar,Measles,06,00,26-12-17,,Under Control,serum positive,3,
28,JH/ESI/2018/03/0066,Jharkhand,East Singhbhum,Measles?,31,00,01-01-18,,Under Surveillance,"Cases reported from Village Swarg Chera, HSC Kanas, Block Dhalbhumgarh. District RRT investigated the outbreak. House to house survey done. Affected age group was between 3 months to 18 yrs of age. 05 serum samples collected sent to at Institute of Serology Kolkata result awaited. All cases treated symptomatically. Health education given.",3,
33,RJ/ALW/2018/03/0070,Rajasthan,Alwar,Measles,10,01,09-01-18,,Under Control,"Cases reported from Village Kalsawadka Bass, SC Raghunath, Block Ramgarh Raghunathgarh. District RRT investigated the outbreak. House to house survey done. All 05 samples collected sent to Measles Laboratory at SMS Medical College Jaipur were positive for Measles (IgM ELISA). One death occurred in a male child aged 4 yrs. All cases treated symptomatically. Health education given.",3,
35,UP/JLA/2018/03/0072,Uttar Pradesh,Jalaun,Measles?,19,00,10-12-17,,Under Surveillance,"Cases reported District RRT investigated the outbreak. House to house survey done. Out of 19 cases, 8 were male and 11 were children. Affected age group were between 2- 10yrs of age group. 08 blood and throat swab samples collected sent to KGMC Lucknow; result symptomatically. Health education given.from Village Ata, SC Ata, PHC Kadaura. female awaited. All cases treated",3,
0,BH/NAW/2018/04/0073,Bihar,Nawada,Measles?,11,00,19-01-18,23-01-18,Under Control,All,4,
