Unnamed: 0,Unique ID.,Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/ Action Taken,week_number,No. of De ath s
31,PB/FTH/2018/03/0069,Punjab,Fatehgarh Sahib,Mumps,09,00,05-01-18,,Under Control,"given.Cases reported from Village Hargana, PHC Sanghol. District RRT investigated the outbreak. House to house survey done. Out of 09 serum samples collected, 7 samples were positive for Mumps (IgM ELISA). Affected children were less than 10yrs of age group. All cases treated symptomatically. Health education",3,
26,KN/TUM/2018/04/0093,Karnataka,Tumkur,Mumps?,12,00,10-01-18,,Under Surveillance,"Cases reported from Primary School, Arakere, PHC/CHC Ramagondanahalli, Taluk Tumkur. District RRT investigated the outbreak. Affected cases were below 11yrs of age. All cases treated symptomatically. Isolation of cases of done. Health education given.",4,
1,AR/ESN/2018/05/0099,Arunachal Pradesh,Siang,Suspected Mumps,22,00,29-01-18,30-01-18,Under Control,"Cases reported from Village Tayak, Public English School, CHC Pangin. District RRT investigated the outbreak. House to house survey done. No new cases detected. All cases treated symptomatically. Health education given.",5,
4,AR/ESN/2018/05/0099,Arunachal Pradesh,Siang,Suspected Mumps,22,00,29-01-18,30-01-18,Under Control,"Cases reported from Village Tayak, Public English School, CHC Pangin. District RRT investigated the outbreak. House to house survey done. No new cases detected. All cases treated symptomatically. Health education given.",5,
8,KN/CKM/2018/07 /183,Karnataka,Chickkamanglur,Mumps,12,00,12-02-18,14-02-18,Under Control,"Cases reported from Village G Busenahalli, PHC/CHC Tarikere. District RRT investigated the outbreak. House to house survey done. 03 serum samples collected and sent to SIMS Shimoga were positive for Mumps (IgM ELISA). All cases treated symptomatically. Health education given.",7,
22,KN/CHI/2018/07/0 197,Karnataka,Chitradurga,Mumps,19,00,08-02-18,Under Control,"Cases reported from Village Mallapura, PHC/CHC G R Halli, Taluk Chitradurga. District RRT investigated the outbreak. House to house survey done. Out of 3 oro-pharyngeal samples collected and sent to MCVR, Manipal, 2 oro-pharyngeal samples were positive for Mumps (RT-PCR). 03 blood samples collected sent to MCVR Manipal; result awaited. All cases were less than <15 yrs of age. All cases treated symptomatically. Health education regarding signs and symptoms and mode of transmission was imparted in the community. Advised to isolate cases.",,7,
39,KL/PLK/2018/08/0242,Kerala,Palakkad,Mumps,21,00,01-02-18,,Under Surveillance,"Cases reported from Village Pallasena, SC FWC Pallasena, PHC Pallasena, Block Koduvayur. District RRT investigated the outbreak. House to house survey done. Probable source of infection was student on Pilgrimage to Sabarimala. All cases treated symptomatically. Health education given.",8,
19,PB/FKT/2018/10/287,Punjab,Faridkot,Mumps?,18,00,03-03-18,09-03-18,Under Surveillance,Cases reported from Baba Farid School. District RRT investigated the outbreak. Affected age group were between 4-6yr of age. 04 blood samples collected and sent to Medical College Faridkot were negative for Mumps (IgM ELISA). All cases treated symptomatically. Health education given regarding isolation of cases.,10,
20,TN/VIL/2018/10/288,Tamil Nadu,Villupuram,Mumps?,16,00,05-03-18,07-03-18,Under Surveillance .,"Cases reported from Panchayat Union Primary & Middle School, PHC Siruvanthadu, Block",10,
16,PB/SAS/2018/11/318,Punjab,SAS Nagar,Mumps?,18,00,12-03-18,17-03-18,Under Surveillance,"Cases reported School, Village Sekhanmajra. District RRT investigated survey done. Affected children were in the age group 6-11 yrs. Out of 07 blood collected 1 sample was positive for Mumps (IgM ELISA). Temporary medical camps was organized. All cases treated symptomatically. Health education given students.from Government the outbreak. HousePrimary to house samples to school staff and",11,
13,JK/SNR/2018/15/461,Jammu And Kashmir,Srinagar,Mumps,21,00,08-04-18,11-04-18,Under Surveillance,"Cases of headache with swelling on face reported from Village Markazi Falahi Itifaal(Orphanage), UPHC Shalimar, Shalimar. District RRT investigated the outbreak. Active search of cases in the orphanage was done. Most of the cases belonged to the age group of 8-15 years. All cases treated symptomatically. Health education on personal hygiene and hand washing was instructed. Isolation of cases, disinfection of used articles by cases was advised. Need for environment hygiene and sanitation was communicated to hostel authorities.",15,
16,PB/SAS/2018/19/639,Punjab,Sasnagar,Mumps,14,00,09-05-18,10-05-18,Under Surveillance,"Cases investigated organized inreported from Government School, Village Sante Majra. District RRT the outbreak. House survey done. 08 blood samples taken and 02 were positive. An emergency health camp wasPrimary to house the school premises. All cases school the disease, its control. Health",19,
17,PB/FKT/2018/19/640,Punjab,Faridkot,Mumps,09,00,06-05-18,11-05-18,Under Surveillance,"Cases reported from Govt Primary School, Village Machaki Khurd, Block Jand Sahib, Faridkot. District RRT investigated the outbreak. House to house survey done. Most common age group affected for the cases was 6-9 yrs. 06 blood samples were collected and sent to Medical College Faridkot for testing; all were positive for Mumps serology. All cases treated symptomatically. Supportive treatment given to affected cases. Health Education regarding isolation, bed rest and intake of fluids was given.",19,
14,JK/BNP/2018/22/739,Jammu And Kashmir,Bandipora,Mumps,08,,25-05-18,28-05-18,Under Control,"Astungoo, investigated given to the community.Cases of fever with parotid swelling reported from Village/SC Beinlipora, Halmathpora, PHC Block Bandipora. District RRT the outbreak. House to house survey done. All cases treated symptomatically. Isolation of cases and relevant health education",22,00
15,JK/PWM/2018/22/740,Jammu And Kashmir,Pulwama,Mumps,08,,26-05-18,29-05-18,Under Surveillance,"investigated yearsCases of fever with parotid swelling reported from Village Darganaigund, Gadhpora and Sofigund, PHC Aripal, Block Tral. District RRT the outbreak. House to house survey done. Children from age group 6 to 18 are affected. All cases treated symptomatically. Health Education imparted regarding spread of disease and its preventive measures to the general public.",22,00
41,JK/SNR/2018/25/900,Jammu & Kashmir,Srinagar,Mumps?,14,00,13-06-18,,Under Control.,"Cases reported from Villages Sangri, Khunmoh, UPHC Khunmoh, Batamaloo. District RRT investigated the outbreak. All cases treated symptomatically. Isolation of cases of done. Health education given.",25,
6,JK/KWR/2018/26/919,Jammu And Kashmir,Kupwara,Mumps,06,,28-06-18,29-06-18,Under Surveillan ce,"Cases of fever with parotid swelling reported from Village Iqra Public School Halmatpora, Block Kupwara. District RRT investigated the outbreak. House to house survey done. All cases treated symptomatically. Health education given to population about disease and its preventive measures. Isolation of cases advised to school authorities to prevent the spread of disease. School authorities advised to monitor hygiene of children.",26,00
15,KN/CMN/2018/28/998,Karnataka,Chamarajanagar,Mumps,32,00,12-07-18,13-07-18,Under Control,"Cases of fever with swelling on face reported from Village/PHC/CHC Sagade, Taluk Aralikatte. District RRT investigated the outbreak. House to house survey done. Cases were from 1-13 years age group. Overcrowding, poor hygienic conditions and lack of health awareness was the possible cause of outbreak. 3 Throat Swabs and 2 Blood Samples sent to SIMS, Shimoga. Both blood samples found positive for mumps. Throat swab results awaited. All cases treated symptomatically. Relevant health education given.",28,
1,AR/TRP/36/1226,Arunachal Pradesh,Tirap,Mumps,34,00,30-08-18,03-09-18,Under Control,"Cases reported from Village Rama Krishna Sarada Mission School, Khonsa. District RRT investigated the outbreak. House to house survey done. Students presented with fever and parotid swelling. All the cases were in the age group of 7-13. Patients under treatment and IEC activities done. All the affected were isolated. All cases treated symptomatically. Health education given.",36,
5,AR/TRP/36/1226,Arunachal Pradesh,Tirap,Mumps,34,00,30-08-18,03-09-18,Under Control,"Cases reported from Village Rama Krishna Sarada Mission School, Khonsa. District RRT investigated the outbreak. House to house survey done. Students presented with fever and parotid swelling. All the cases were in the age group of 7-13. Patients under treatment and IEC activities done. All the affected were isolated. All cases treated symptomatically. Health education given.",36,
13,PB/MNS/36/1234,Punjab,Mansa,Mumps,13,00,03-09-18,07-09-18,Under Control,"Cases reported from a school in Village Atla Kalan, SC Atla Kalan, CHC / Block Khialan kalan. District RRT investigated the outbreak. Cases presented with discomfort in the salivary glands, difficulty in chewing, fever, headache and tiredness. House to house survey done. 05 blood samples collected result awaited. RRT visited the affected area. Health education to student. All cases treated symptomatically. Vaccination status, age group.",36,
10,KN/KOL/2018/38/1264,Karnataka,Kolar,Mumps?,10,00,13-09-18,17-09-18,Under Control,"Cases reported from Village Venugopalpura, PHC/CHC Kamasamudra, Taluk Bangarpet. District RRT investigated the outbreak. House to house survey done. 5 blood serum samples sent to BMC Bangalore; result awited. All cases treated symptomatically. Health education given.",38,
28,JK/BNP/2018/38/1281,Jammu And Kashmir,Bandipora,Mumps?,11,00,04-09-18,,Under Control,"House to house of cases.Cases reported from Village GPS Kanlibag SC Bandipora, PHC Astangoo. District RRT investigated the outbreak. survey done. All cases treated symptomatically. Health education given regarding isolation",38,
10,PB/JAL/2018/39/1292,Punjab,Jalandhar,Mumps?,16,00,27-09-18,29-09-18,Under Control,"Casesreported from Village Dallah, PHC Bilga. District RRT investigated the outbreak. House to house survey done. Affected children were between 3 to 9 years of age group. All cases treated symptomatically. Health education given regarding isolation of cases.",39,
12,1164622/2018/O/O IDSP-NCDC HR/FTB/2018/43/1390,Haryana,Fatehabad,Suspected Mumps,23,00,26-10-18,30-10-18,Under Control,"Cases reported from Pioneer School, SC Matana, Bighar road, Near Harnam colony, PHC Badopal, Block Bhattu kalan. District RRT investigated the outbreak. House to house survey done. RBSK team including RRT team screened the children of the affected school. Suspected children were given symptomatic treatment by the Pediatrician. Parents of the suspected children have been asked to take the medical leave of the children from the school immediately and isolate them in the house. All cases treated symptomatically. Health education given.",43,
16,1164622/2018/O/O IDSP-NCDC HR/FTB/2018/43/1390,Haryana,Fatehabad,Suspected Mumps,23,00,26-10-18,30-10-18,Under Control,"Cases reported from Pioneer School, SC Matana, Bighar road, Near Harnam colony, PHC Badopal, Block Bhattu kalan. District RRT investigated the outbreak. House to house survey done. RBSK team including RRT team screened the children of the affected school. Suspected children were given symptomatic treatment by the Pediatrician. Parents of the suspected children have been asked to take the medical leave of the children from the school immediately and isolate them in the house. All cases treated symptomatically. Health education given.",43,
14,KL/WYN/2018/44/1422,Kerala,Wayanad,Mumps,09,00,03-11-18,05-11-18,Under Control,"Cases reported from Village Vythiri, HSC Pookode, PHC Suganthagiri, and Block Meppady. District RRT investigated the outbreak. House to house survey done. 4 blood and 2 saliva samples collected and send to MCVR Manipal, result awaiting. RRT investigated the outbreak. Health camp conducted on 04.11.20185 and 05.11.2018. All cases treated symptomatically. Health education and awareness generated. Area Under close surveillance.",44,
21,KN/BDR/2018/46/1486,Karnataka,Bidar,Mumps,8,0,29-10-18,,Under control,"Cases reported from Village Mamadapur, PHC Yarnalli. District RRT investigated the outbreak. House to house survey done. All the affected children were between 3-8 years of age. All 8 serum samples were collected and sent to SIMS, Shimmoga, Microbiology Department were found positive for Mumps (IgM ELISA). All cases treated symptomatically. Health education given regarding isolation of cases.",46,
10,PB/NWS/2018/47/1508,Punjab,SBS Nagar,Mumps,06,00,20-11-18,20-11-18,Under Control,"Cases reported from Village Jabowal, Block Muzaffarpur. District RRT investigated the outbreak. House to house survey done. Affected children were between 3 to 9 years of age group. All cases treated symptomatically. Health education given regarding isolation of cases.",47,
27,UP/JLA/2018/49/1564,Uttar Pradesh,Jalaun,Mumps,09,00,10-11-18,,Under Control,"Cases reported from Village Channi, Sub Center- Channi, PHC Chhriya. District RRT investigated the outbreak. House to house survey done. 5 Cases under 15 year & 4 cases are adult. 8 Blood serum Sample collected & Sent to KGMU Lucknow. 4 Sample found Positive & 2 Sample found negative & 2 Sample Found EQUIVOCAL. RRT Team Investigated the outbreak. All cases treated symptomatically. Health education given.",49,
0,KN/UDU/2018/51/1593,Karnataka,Udupi,Mumps?,21,00,13-12-18,20-12-18,Under Surveillance,"Cases reported from Village Patla, PHC/CHC Hirebittu, Taluk Udupi. District RRT investigated the outbreak. House to house survey done. 05 Blood samples collected; result awited. All cases treated symptomatically. Health education given.",51,
3,TN/SLM/2018/51/1596,Tamil Nadu,Salem,Mumps?,14,00,18-12-18,23-12-18,Under Surveillance,"Cases reported from Village Rakkipatty, SC Umagoundampatty, PHC Semmandapatty, Block Kadayampatty. District RRT investigated the outbreak. House to house survey done. All cases treated symptomatically. Health education given.",51,
5,KN/UDU/2018/51/1593,Karnataka,Udupi,Mumps?,21,00,13-12-18,20-12-18,Under Surveillance,"Cases reported from Village Patla, PHC/CHC Hirebittu, Taluk Udupi. District RRT investigated the outbreak. House to house survey done. 05 Blood samples collected; result awited. All cases treated symptomatically. Health education given.",51,
8,TN/SLM/2018/51/1596,Tamil Nadu,Salem,Mumps?,14,00,18-12-18,23-12-18,Under Surveillance,"Cases reported from Village Rakkipatty, SC Umagoundampatty, PHC Semmandapatty, Block Kadayampatty. District RRT investigated the outbreak. House to house survey done. All cases treated symptomatically. Health education given.",51,
0,AR/UPS/2018/52/1601,Arunachal Pradesh,Upper Subansiri,Mumps?,20,00,22-12-18,26-12-18,Under Control,Cases reported from urban area of Daporijo. District RRT investigated the outbreak. House to house survey done. All cases were less than 20yrs of age. All cases treated symptomatically. Health education given.,52,
4,AR/UPS/2018/52/1601,Arunachal Pradesh,Upper Subansiri,Mumps?,20,00,22-12-18,26-12-18,Under Control,Cases reported from urban area of Daporijo. District RRT investigated the outbreak. House to house survey done. All cases were less than 20yrs of age. All cases treated symptomatically. Health education given.,52,
21,JK/SHP/2023/25/559,Jammu and Kashmir,Shopian,Mumps,14,00,22-06-2023,23-06-2023,Under Control,"Cases reported from village CS Khan block Shopian district Shopian. Cases reported with symptoms of fever, loss of appetite with tender swollen jaw. Age group affected is 4-10years. District RRT investigated the outbreak. House to house survey done for linked cases. Health education was given on the importance of immunization. Awareness on mode of transmission given to the localities. Isolation of cases done.",25
22,JK/SHP/2023/25/560,Jammu and Kashmir,Shopian,Mumps,10,00,21-06-2023,21-06-2023,Under Control,"Cases reported from village Adijan block Shopian district Shopian. Cases reported with symptoms of fever, loss of appetite with tender swollen jaw. Age group affected is 4-8years. District RRT investigated the outbreak. House to house survey done for linked cases. Health education was given on the importance of immunization. Awareness on mode of transmission given to the localities. Isolation of cases done. Isolation of cases done.",25
18,JK/ANG/2023/33/966,Jammu and Kashmir,Anantnag,Mumps,65,00,19-08-23,19-08-23,Under Control,"Cases of mumps reported from Govt Primary School Matipora, Govt Middle School Halka & Syed Mohammad Jaffar Memorial Institiute Chittergul, PHC Chittergul, Village Chhatar Gul, Block Shangus. Cases presented with fever, pain and swelling in neck. All cases were diagnosed clinically. Age group affected was 06-14 years. District RRT investigated the outbreak. Community awareness and health education given by peripheral health team on hygiene, and sanitation. Health education imparted regarding the spread of the disease.",33
25,JK/SNR/2023/33/973,Jammu and Kashmir,Srinagar,Mumps,16,00,18-08-23,18-08-23,Under Control,"Cases of mumps reported from GMS Boys, Saraf Kadal, UPHC S R Gun, Village Rajouri Kadal, Srinagar. Cases presented with fever, pain and swelling in neck. All cases were diagnosed clinically. Total number of 16 cases of mumps were identified using standard cases definition. Age group affected was 03-14 years. District RRT investigated the outbreak. Community awareness and health education given by peripheral health team on hygiene, importance of vaccination and sanitation. Isolation of Cases was ensured. Health Advisory was also issued. Health education imparted regarding the spread of disease. Extra immunization session was conducted to cover the due beneficiaries.",33
29,KN/MYS/2023/33/977,Karnataka,Mysuru,Mumps,06,00,17-08-23,17-08-23,Under Surveillance,"Cases reported from Govt LPS, Kumbara Koppalu, UPHC Kumbara koppalu limits Mysore taluk, Mysore District. Cases presented with symptoms of fever and Enlarged salivary glands. The affected age group was 7-9 years, and all were females. 4 samples were sent to SIMS Shivamogga, which were found to be positive for Mumps IgM ELISA. District RRT investigated the outbreak. Community awareness and health education given by peripheral health team on hygiene, vaccination and sanitation.",33
50,TN/AIR/2023/33/998,Tamil Nadu,Ariyalur,Mumps,10,00,15-08-23,17-08-23,Under Control,"Cases reported from Govt Middle School , HUD – Ariyalur, Block – Kadugur, PHC – Kallankurichi, HSC - Ottakoil, Village – Aminabath. Cases presented with Fever, Headache. The affected age group was 3-19 years. District RRT investigated the outbreak. Community awareness and health education given by peripheral health team on hygiene, vaccination and sanitation. Home isolation was done for the affected cases. Medical Camp, Fever Surveillance, Health Education activities were conducted.",33
12,JH/SHP/2023/34/1027,Jammu and Kashmir,Shopian,Mumps,6,0,24-08-23,25-08-23,Under Surveillance,"Cases were reported from Alamdar public School Pinjoora Village Pinjorah, Sub-District Shopian, District Shopian. Cases presented with fever and swelling of Parotid gland. District RRT investigated the outbreak. Cases were treated symptomatically. Age of the cases were 5-7 years. Cases were unvaccinated. Community awareness and health education given by peripheral health team on hygiene, importance of vaccination and sanitation. Isolation of Cases was ensured. Extra immunization session was conducted to cover the due beneficiaries.",34
13,JH/SNR/2023/34/1028,Jammu and Kashmir,Srinagar,Mumps,13,0,22-08-23,22-08-23,Under Surveillance,"Cases were reported from Green Land Educational Institute Alamgari Bazar, Village Zadibal, Sub-District Srinagar (North), District Srinagar. Cases presented with fever and swelling of Parotid gland. District RRT investigated the outbreak. Cases were treated symptomatically. Age of the cases were 5-12 years. Community awareness and health education given by peripheral health team on hygiene, importance of vaccination and sanitation. Isolation of Cases was ensured. Extra immunization session was conducted to cover the due beneficiaries.",34
47,JK/ANG/2023/34/1062,Jammu and Kashmir,Anantnag,Mumps,49,0,16-08-23,,Under Surveillance,"Cases were reported from many schools Ideal Presentation School Shangus, Govt. Middle School, Bongam Shangus, Govt High School Panchalthan Tunj Mulla & Govt Middle School Bongam Chittergul Sub-District Shangus, District Anantnag. Cases presented with fever and swelling of Parotid gland. District RRT investigated the outbreak. Cases were treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation.",34
11,JK/PWM/2023/35/1087,Jammu and Kashmir,Pulwama,Mumps,22,0,28-08-23,29-08-23,Under Control,"Cases of mumps reported from Govt. Boys Primary School, Hatiwara, Block Pampore, District Pulwama. Cases presented with symptoms of fever and swelling of parotid glands. Cases were diagnosed clinically. The affected Age group was 04-10 years. District RRT investigated the outbreak. Community awareness and health education given by peripheral health team on hygiene, sanitation and importance of vaccination. House to house survey was done. Extra immunization session was conducted to cover the due beneficiaries for vaccination and extra doses. Community awareness and health education given by peripheral health team on hygiene, sanitation and importance of vaccination. Health education imparted regarding the spread of disease",35
12,JK/PWM/2023/35/1088,Jammu and Kashmir,Pulwama,Mumps,31,0,28-08-23,29-08-23,Under Control,"Cases of mumps reported from Govt. Upper Primary School, Patalbagh, Block Pampore, District Pulwama. Cases presented with symptoms of fever and swelling of parotid glands. Cases were diagnosed clinically. The affected Age group was 07-13 years. District RRT investigated the outbreak. Community awareness and health education given by peripheral health team on hygiene, sanitation and importance of vaccination. House to house survey was done. Extra immunization session was conducted to cover the due beneficiaries for vaccination and extra doses. Community awareness and health education given by peripheral health team on hygiene, sanitation and importance of vaccination. Health education imparted regarding the spread of disease.",35
13,JK/PWM/2023/35/1089,Jammu and Kashmir,Pulwama,Mumps,18,0,25-08-23,28-08-23,Under Control,"Cases of mumps reported from Muslim Educational Institute (MEI) Primary Wing Pampore, District Pulwama. Cases presented with symptoms of fever and swelling of parotid glands. Cases were diagnosed clinically. The affected Age group was 04-07 years. District RRT investigated the outbreak. Community awareness and health education given by peripheral health team on hygiene, sanitation and importance of vaccination. House to house survey was done. Extra immunization session was conducted to cover the due beneficiaries for vaccination and extra doses. Community awareness and health education given by peripheral health team on hygiene, sanitation and importance of vaccination. Health education imparted regarding the spread of disease. Advisory was distributed.",35
15,JK/SHP/2023/35/1091,Jammu and Kashmir,Shopian,Mumps,7,0,31-08-23,01-09-23,Under Surveillance,"Cases of mumps reported from Govt Primary School Losedow, Pinjora Shopian. Cases presented with symptoms of fever and swelling of parotid glands. Cases were diagnosed clinically. The affected Age group was 06-10 years. District RRT investigated the outbreak. Community awareness and health education given by peripheral health team on hygiene, sanitation and importance of vaccination. House to house survey was done. Extra immunization session was conducted to cover the due beneficiaries for vaccination and extra doses. Community awareness and health education given by peripheral health team on hygiene, sanitation and importance of vaccination. Health education imparted regarding the spread of disease. Advisory was distributed.",35
49,MG/WKH/2023/35/1126,Meghalaya,East Khasi Hills,Mumps,41,0,30-08-23,31-08-23,Under,"Cases were reported from Jatah PHC, Village Mawsir, Sub-District Mawkynrew. Cases presented with symptoms of Fever, Unilateral/bilateral parotitis. The cases were mostly school going children attending the same school. 6 Blood samples were collected & sent to ICMR-RMRC Dibrugarh, Assam, out of which 3 were found to be positive for mumps. District RRT investigated the outbreak. Community awareness and health education given by peripheral health team on hygiene, sanitation and importance of",35
12,JK/BML/2023/36/1161,Jammu and Kashmir,Baramulla,Mumps,16,0,05-09-23,05-09-23,Under Surveillance,"Cases were reported from Sted Qasim Public School, Village Tilgam, Sub-District Kreeri, District Baramulla. Cases presented with fever and swelling in Parotid glands. 4 Blood samples collected and sent to GMC Baramulla. District RRT investigated the outbreak. Cases were treated symptomatically. Cases were of the age group of 5-10 years. All 4 Blood samples found positive for Mumps IgM by ELISA. Community awareness and health education given by peripheral team on hygiene and sanitation.",36
16,JK/GBL/2023/37/1216,Jammu and Kashmir,Ganderbal,Mumps,15,0,08-09-23,12-09-23,Under Control,"Cases of mumps were reported from Govt. Middle School, Ramwari, block Kangan. Cases presented with complaints of fever and swelling of parotid glands. Cases were diagnosed clinically. The affected age group was 4-14 years. All cases were unvaccinated. District RRT investigated the outbreak. Community awareness and health education given by peripheral health team on hygiene, sanitation, importance of vaccination & regarding the spread of disease. House to house survey was done. Extra immunization session was conducted to cover the due beneficiaries for vaccination and extra doses.",37
43,OR/GJM/2023/37/1243,Odisha,Ganjam,Mumps,36,0,14-09-23,15-09-23,Under Control,"Cases reported from Village Ch. Tikarapada under S/c Bhramarpur, Health Facility Goudagaon, Digapanahndi. Cases presented with fever with parotitis. All cases were diagnosed clinically. The affected cases were unvaccinated. The affected cases were below 11 years of age. District RRT investigated the outbreak. Community awareness and health education given by peripheral health team on hygiene, sanitation, importance of vaccination & regarding the spread of disease. House to house survey was done. Extra immunization session was conducted to cover the due beneficiaries for vaccination and extra doses.",37
50,JK/BML/2023/37/1249,Jammu and Kashmir,Baramulla,Mumps,11,0,14-08-23,,Under Control,"Cases of mumps reported from New Light Model Educational School, Tilgam block Kreeri. Cases presented with fever and swelling on neck. The affected age group was 5 to 12 years. All cases were unvaccinated. A total of 6 samples were sent to DPHL Baramulla, out of which 1 sample was found to be positive for IgM mumps. District RRT investigated the outbreak. Community awareness and health education given by peripheral health team on hygiene, sanitation, importance of vaccination & regarding the spread of disease. House to house survey was done. Extra immunization session was conducted to cover the due beneficiaries for vaccination and extra doses.",37
54,KL/PLK/2023/37/1253,Kerala,Palakkad,Mumps,15,00,25-08-23,,Under Surveillance,"Cases reported from CHC Alanallur, Village Alanallur-II, Sub- District Mannarkad. Cases presented with symptoms of fever and parotitis. All were clinically diagnosed as mumps. All the cases were unvaccinated. District RRT investigated the outbreak. Community awareness and health education given by peripheral health team on hygiene, sanitation, importance of vaccination & regarding the spread of disease. House to house survey was done. Extra immunization session was conducted to cover the due beneficiaries for vaccination and extra doses.",37
21,JK/SHP/2023/37/1276,Jammu and Kashmir,Shopian,Mumps,26,0,16-09-23,18-09-23,Under Surveillance,"Cases were reported from Blue Baloon Educational Institute, Sharat Pora, Sub-District Shopian, District Shopian. Cases presented with fever with swelling of parotid glands. Total 5 blood samples were collected and sent to DPHL Shopian. District RRT investigated the outbreak. Affected age group was 7-13 years. Cases were treated symptomatically. All the 5 samples came positive for Mumps IgM by ELISA. Community awareness and health education given by peripheral team on hygiene and sanitation.",38
52,OR/KDL/2023/37/1307,Odisha,Kandhamal,Mumps,36,0,28-08-23,,Under Control,"Cases were reported from Village Gundhani, Sub-District Raikia, District: Kandhamal. Cases presented with fever with swelling of parotid gland. Total 36 blood samples were collected and sent to DPHL Kandhamal. District RRT investigated the outbreak. Cases were treated symptomatically. Affected age group was 6-12 years. All the blood samples tested negative for malaria by RDT kits. Community awareness and health education given by peripheral team on hygiene and sanitation.",38
10,JK/SNR/2023/42/1457,Jammu and Kashmir,Srinagar,Mumps,11,0,21-10-23,22-10-23,Under Control,"Cases reported from Govt. Primary School, Gund Hasi Bhat, Lawaypora, Srinagar. Cases presented with chief complaints of fever and swelling of parotid gland. The affected age group was 5-9 years. All cases were diagnosed clinically. Isolation of cases was done. District RRT investigated the outbreak. Community awareness and health education given by peripheral health team on hygiene, sanitation, importance of vaccination & regarding the spread of disease. House to house survey was done. Extra immunization session was conducted to cover the due beneficiaries for vaccination and extra doses.",42
8,JK/KWR/2023/44/1554,Jammu and Kashmir,Kupwara,Mumps,14,0,02-11-23,03-11-23,Under Surveillance,"Cases were reported from Village Hirri Paveen, Sub-District Trehgam, District Kupwara. Cases presented with fever, and swelling of parotid glands. District RRT investigated the outbreak. Age group of the affected cases were 3-10 years. Cases were treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation.",44
21,KL/PLK/2023/44/1567,Kerala,Palakkad,Mumps,11,0,04-10-23,04-11-23,Under Surveillance,"Cases were reported from Village Thrithala (CT) Sub-District Pattambi District Palakkad. Cases presented with fever, swelling of parotid glands and loss of appetite. District RRT investigated the outbreak. Age group of the affected cases were 3-10 years. Cases were treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation.",44
22,KL/PLK/2023/44/1568,Kerala,Palakkad,Mumps,74,0,27-10-23,02-11-23,Under Surveillance,"Cases were reported from Village Kottoppadam-II, Sub-District Mannarkad, District Palakkad. Cases presented with fever, headache, painful swelling of parotid glands and loss of appetite. District RRT investigated the outbreak. Age group of the affected cases were 4-12 years. Cases were treated symptomatically. Most of the cases were partially immunized. Community awareness and health education given by peripheral team on hygiene and sanitation.",44
35,TN/SIV/2023/44/1581,Tamil Nadu,Sivaganga,Mumps,15,0,02-11-23,03-11-23,Under Surveillance,"Cases were reported from Village Valaiyanvayal, Sub-District Karaikkudi, District Sivaganga. Cases presented with Swelling and pain in the parotid region, fever. District RRT investigated the outbreak. Affected age group were 1-14 years. Cases were treated symptomatically. No deaths reported. Community awareness and health education given by peripheral team on hygiene and sanitation.",44
