Unnamed: 0,Unique ID.,Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/ Action Taken,week_number
8,KN/BDR/2023/06/122,Karnataka,Bidar,Rabies,01,01,02-02-23,06-02-23,Under Surveillance,"Case reported from Village Koutha B, PHC/CHC Wadgaon, Taluk Aurad and District Bidar who was bitten by a stray dog near his house. Patient had symptoms of giddiness, hydrophobia and localized weakness. It was clinically suspected rabies case. The deceased was a 60 years old male. District RRT investigated the outbreak. Prophylactic dose given to all family members, informed gram panchayat to vaccinate all the stray dogs regularly. Health education given to public and school children and anganwadi teachers regarding the dog bite and prophylactic treatment. Health education was given. .",6
9,KN/BEL/2023/06/123,Karnataka,Ballari,Rabies,01,01,06-02-23,07-02-23,Under Surveillance,"Cases reported from 30th ward, PHC/CHC Ashraya Colony, C B Ballari, Taluk Ballari and District Ballari. 2 Suspected Rabid dog had bitten 21 people on 06-02-2023. Among these 21 cases, one case had symptoms of rabies on 18-02-2023 and was referred to NIMHANS, Bangalore on 19-02-2023. CSF and Saliva samples were collected which tested negative. The deceased was a 3 years old female child. District RRT investigated the outbreak. Health education given. Sufficient availability of ARV & ARS in the institution was ensured. House to house survey to generate the line list of Suspected Rabid dog bite cases was carried out. IEC activities regarding wound washing and management, importance of ARV in Animal bite condition and completing the vaccine schedule was imparted. PEP and clinical history of all the suspected Dog bite cases was reviewed. Interdepartmental meeting with city corporation commissioner, supervisor & counselor and staff was conducted at UPHC Ashraya colony, 30th ward, C B Ballari, co- ordination with veterinary department and NGO in dog restraining activities (Mass Vaccination and sterilization) was suggested.",6
0,AS/DBG/2023/07/139,Assam,Dibrugarh,Rabies,01,01,13-02-2023,13-02-2023,Under Control,"Case reported from Village Nakhat Gaon, PHC Khowang, District Dibrugarh. Case presented fever, neck rigidity and pain. There was history of dog bite. The deceased case was a 45 years old male who was not vaccinated post dog bite. District RRT investigated the case. Health education was given on the importance of post exposure prophylaxis.",7
3,AS/DBG/2023/07/139,Assam,Dibrugarh,Rabies,01,01,13-02-2023,13-02-2023,Under Control,"Case reported from Village Nakhat Gaon, PHC Khowang, District Dibrugarh. Case presented fever, neck rigidity and pain. There was history of dog bite. The deceased case was a 45 years old male who was not vaccinated post dog bite. District RRT investigated the case. Health education was given on the importance of post exposure prophylaxis.",7
5,JH/JAT/2023/18/352,Karnataka,Davangere,Rabies,01,01,03-05-23,03-05-23,Under Surveillance,"Cases reported from Village Pallagatte, Taluk Jagaluru, District Davangere. Case presented with complaint of generalized weakness and B/L Lower limb weakness. District RRT investigated the outbreak. CSF and Saliva samples collected and sent to NIMHANS that came negative for Rabies viral RNA by real time PCR. Rabies virus neutralizing antibody titer by RFFIT in serum was 2048. Health education was given. Another victim of same dog bite event has been given PEP. 4 of his close contacts has been started with ARV. One death occurred of 49 years old male. Case had a history of dog bite on 30.03.2023. As PEP, wound toilet and ARV was given at Pallagatte PHC and was referred to GH Jagaluru for Immunoglobulins. But patient had ignored the concerned PHC MO advice. He had received 4 doses of ARV. On 28.04.2023, he has visited to PHC with complaint of generalized weakness and B/L Lower limb weakness later has been referred to DH, but was shifted to Yenepoya Medical Hospital, Mangalore on 28.04.2023. Case has succumbed to death on 03.05.2023.",18
0,AS/KAD/2023/19/378,Assam,Karbi Anglong,Rabies,01,01,01-05-2023,09-05-2023,Under Control,"Cases reported from Village Matipung Men Ronghang under Manja BPHC District Karbi Amlong. Case presented with complaint of fever, vomiting, muscle spasm, loss of appetite, aerophobia, confusion and insomnia. District RRT investigated the outbreak. Health education was given. ARV given to the exposed person. One death occurred of 11 years old male. Case had a history of Dog Bite CAT-III dated 02.04.2023 and started showing symptoms since 20.04.2023 and he was taken to GMCH on dated 28.04.2023 for treatment and later on he was brought to Diphu and attended OPD at DMCH on 29.04.2023. Case has succumbed to death on 01.05.2023.",19
2,AS/KAD/2023/19/378,Assam,Karbi Anglong,Rabies,01,01,01-05-2023,09-05-2023,Under Control,"Cases reported from Village Matipung Men Ronghang under Manja BPHC District Karbi Amlong. Case presented with complaint of fever, vomiting, muscle spasm, loss of appetite, aerophobia, confusion and insomnia. District RRT investigated the outbreak. Health education was given. ARV given to the exposed person. One death occurred of 11 years old male. Case had a history of Dog Bite CAT-III dated 02.04.2023 and started showing symptoms since 20.04.2023 and he was taken to GMCH on dated 28.04.2023 for treatment and later on he was brought to Diphu and attended OPD at DMCH on 29.04.2023. Case has succumbed to death on 01.05.2023.",19
5,AS/LKM/2023/24/517,Assam,Lakhimpur,Rabies,01,01,13-06-2023,13-06-2023,Under Control,"Case reported from Village Saboti, BPHC Boginodi, District Lakhimpur. Case presented with the history of dog bite, excess salivation and difficulty in swallowing. District RRT investigated the outbreak. The case a 59-year- old male who succumbed to death on 13-06- 2023. Patient family members and other relatives have taken ARV at LMCH who were in close contact with the patient. Community awareness and health education given by peripheral team on vaccination.",24
40,KN/SHI/2023/25/578,Karnataka,Shivamogga,Rabies,01,01,22-06-23,22-06-23,Under Surveillance,"Case reported from Village Nadahalli, PHC- CHC Hulthikoppa, Taluk Soraba. Case presented with history of cat bite and symptoms of hydrophobia since 3 days. Saliva, Serum, Nuchal skin and brain tissue samples sent to NIMHANS reported positive for presence of Negri bodies. District RRT investigated the outbreak. Health education was given about rabies. The case died due to rabies was a 43 year old female.",25
0,AR/PPM/2023/37/1202,Arunachal Pradesh,Papum Pare,Rabies,1,1,14-09-23,14-09-23,Under Surveillance,"Case was reported from TRIHMS (Tomo Riba Institute of Health and Medical Sciences), Naharlagun, Arunachal Pradesh. Case presented with symptoms of hydrophobia, aerophobia, and shortness of breath. Case was diagnosed clinically. The case was bitten by his own puppy in the 1st week of July 2023. He did not take ARV (Anti Rabies Vaccination) after the bite. District RRT investigated the outbreak. Awareness activities were done on rabies and its PEP (post- exposure prophylaxis) / Pre-EP (pre-exposure prophylaxis). Mass ARV vaccination drive was conducted. Case was a 19 year old male, who died on the 14th September evening due to rabies. Puppy was also reported to be unvaccinated.",37
