Unnamed: 0,Unique ID.,Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/ Action Taken,week_number,No. of De ath s
14,MG/JTH/2018/11/316,Meghalaya,West Jaintiahills,Rubella,36,00,12-03-18,15-03-18,Under Control,"Cases reported Psiar, PHC Sahsiang, Block Laskein. District RRT investigated the outbreak. House to housefrom Village Mooluber, SC",11,
16,MH/AMN/2018/44/1424,Maharashtra,Ahmednagar,Rubella,13,00,24-10-18,01-11-18,Under Control,"Cases reported from Central Ashram School, Kotul, PHC-Kotul , Block-Akole, Ahmednagar. District RRT investigated the outbreak. House to house survey done. 5 Serum Sample sent to Haffkin Institute, Mumbai 4 found positive for Rubella by Ig M ELISA. All cases treated symptomatically. Health education given.",44,
25,MG/EKH/2023/06/138,Meghalaya,West Khasi Hills,Rubella,01,00,08-01-2023,,Under Control,"Case with fever and rash was reported from Maweit PHC, Nongstoin Block. The blood sample was collected and sent to the GMC Medical College, Assam through SMO, NPSP Unit Shillong and found positive for Rubella by IgM ELISA. District RRT investigated the outbreak. House-to-house case search was conducted using the case definition ""Fever with Rash"". MR vaccination was carried out. Health Education was given on the importance of immunization.",6
7,,Karnataka,Udupi,viii. Rubella,8,0,02-02-15,07-02-15,Under Control,"Cases of fever with rash and conjunctival suffusion reported from Lions English Medium School Village Mundkur, PHC Sacheripete, Taluk Karkala District Udupi. District RRT investigated the outbreak. 2 serum samples tested were positive for Rubella (NIMHANS) by RT-PCR. Affected age group was less than 15 years of age. All cases treated symptomatically. Health education like isolation of cases nutrition and personal hygiene given.",6
19,3.,Jharkhand,Pakur,xix. Rubella,21,0,21-01-15,,Under Surveillance,"Cases reported from Village Bostum Danga, Sub center Nabi Nagar, CHC Pakur and District Pakur. District RRT investigated the outbreak. Affected area is a low land area with poor sanitation. 5 blood samples were collected and sent to Institute of Serology Kolkata, 03 found positive for Rubella. Active case search going on. All cases treated symptomatically. Vitamin A Solution given. Health education regarding sanitation done.",6
20,4.,Karnataka,Dharwad,xx. Rubella,21,0,27-01-15,,Under Control,"Cases of fever cough, coryza and rashes reported from Urban ward of Agasi ward no. 08, District Dharwad. District RRT investigated the outbreak. A total of 8 serum samples were collected out of which 5 were found positive for Rubella (NIMHANS) and 03 were positive for Measles (KIMS). All the cases were under 10 years of age. All the cases had the fever cough, coryza lethargy along with rashes. Contact tracing and active case search for similar cases was carried out in the area. All cases treated symptomatically. Health education regarding isolation of cases given",6
2,,Bihar,Madhubani,iii. Rubella,96,0,11-02-14,13-02-15,Under Surveillance,"Cases reported from Village Sohash, HSC Kerwar, PHC Bisfi, District Madhubani. District RRT investigated the outbreak. House to house survey done. Out of 05 serum samples tested at PMCH Patna; 04 were found to be positive for Rubella IgM ELISA. Health camp organized and all cases treated symptomatically. Health education given regarding isolation of cases.",7
33,1.,Dama and Diu,Diu,i. Rubella,9,0,03-02-15,,Under Surveillance,"Cases reported from Village Vanakbara, District Diu. District RRT investigated the outbreak. House to house survey done. A total of 05 serum samples tested at Referral Lab Ahmedabad and all found positive for Rubella IgM ELISA. 02 throat swabs sent to NIV Pune for virus strain identification; result awaited. All cases treated symptomatically and Vitamin A was given. Health education regarding isolation if cases given.",7
22,2.,Karnataka,Bellary,xx. Rubella,25,0,27-02-15,,"Cases reported from village Konchigeri ,PHC Sirigere, Taluk Siruguppa, District Bellary. District RRT investigated the outbreak. House to house Under survey done. All the cases were less than 15 years of age. 05 out of 06 blood Control sample sent to NIV Bangalore tested positive for Rubella IgM ELISA. All cases were isolated and treated symptomatically. Vitamin A was administered to all the cases. Health education given",,14
17,2.,Assam,Lakhimpur,xvii. Rubella,26,00,15-03-15,,Under Surveillance,"Cases reported from Village Napam, Dighalibashti, Majigaon, SC Bordoibam, Block PHC Ghelamada, District Lakhimpur. District RRT investigated the outbreak. House to house survey done. Majority of cases were more than 5 years old. A total of 08 serum samples taken and sent to RMRC Dibrugarh for laboratory confirmation of Measles out of which 6 samples have turned positive for Rubella and 2 are equivocal for measles. All cases treated symptomatically. Health education given regarding isolation of cases.",15
25,2.,Gujarat,Gir Somnath,xxiv. Rubella,20,00,25-05-15,,Under Control,"Cases reported from Village /SC Lamdhar, PHC Delwada, Block Una, District Gir Somnath. District RRT investigated the outbreak. House to house survey done.Majorityof cases were less than 10 years of age. 05 samples tested at BJ Medical College Ahmedabad were found to be positive for rubella IgM ELISA. All cases treated symptomatically and vitamin A given to all the cases. Health education given.",24
27,3.,Jharkhand,Pakur,xxvi. Rubella,10,00,06-05-15,,Under Surveillance,"Cases reported from Village Kamalghatti, HSC Hanthigarh, CHC /Block Littipara, District Pakur. District RRT investigated the outbreak. Active search for cases done. Majority of cases were in 0-5year age group. 01 out of 04 serum samples tested at Institute of Serology Kolkata were found to be positive for rubella IgM ELISA. All cases treated symptomatically. Health education given.",24
