Unnamed: 0,Unique ID.,Name of State/UT,Name of District,Disease/ Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/ Action Taken,week_number,No. of De ath s
28,MZ/AIE/2018/01/0023,Mizoram,Aizawl East,Scrub typhus?,81,1,26.12.17,,Under Surveillance,"Cases reported from Village Phullen. State RRT investigated the outbreak. Since August 2017 to January 2018, a total of 81 cases and 1 death were reported from the affected area. A total of 4 villages were affected; Village Phullen (54 cases & 1 death), Thanglailung (5 cases), Luangpawn (20 cases) and Zawngin (2 cases). An increase in number of cases was observed in the month of December 2017 (40 cases, December 17 and 10 cases in Jan 2018). Eschar manifestation were not reportedly observed among the cases. Environmental studies were conducted and rodent infestations were observed in the surveyed area. All cases were treated and cases were followed up at their houses. All the 81 samples were tested by Rapid Test kits (SD Bioline, Tsutsugamushi kit). Health awareness campaign regarding scrub typhus was organized at Community Hall, Phullen.",1,
15,MZ/LNG/2018/03/0055,Mizoram,Lunglei,Scrub typhus?,195,00,11-01-18,17-01-18,Under Surveillance,Cases reported District RRT investigated the outbreak. House to house survey done. Out of 430 blood samples collected; 195 samples were positive for scrub typhus (SD Biolinefrom Village/PHC Haulawng. Tsutsugamushi) rapid,3,
16,PN/PON/2018/03/0056,Puducherry,Puducherry,Scrub typhus?,45,00,04-01-18,04-01-18,Under Surveillance,"Cases reported from several PHC Kosapalayam BL & dt-Puducherry, Mettupalayam Oulgaret, Koodapakkam, Sorapet, Thirukannur and Thirubhuvanai. District RRT investigated the outbreak. House to house survey done. Out of 45 samples collected at SRL, IGMCRI Puducherry, 06 samples were positive for Scrub typhus. All cases treated symptomatically. Health education given.",3,
29,PN/PON/2018/04/0096,Pondicherry,Pondicherry,Scrub typhus,37,00,15-01-18,,Under Surveillance,"Casesreported from Village Subashnagar, HC Karikalam Pakkum Block Bahour. District RRT investigated the outbreak. House to house survey done. Out of 37 samples collected and tested at SRL, IGMCRI Puducherry; 11samples were found positive for Scrub typhus (IgM ELISA). Health education given.",4,
48,PN/PON/2018/06/0174,Puducherry,Puducherry,Scrub Typhus,06,00,29-01-18,,Under Surveillance,"Cases reported from Village Sedarapet , PHC -Muthialpet,, CHC Raddiyarpalayam, Block Pudicheery +(Village/CHC Villianu. PHCs - Sodarapet, Block Pudicheery.). District RRT investigated the outbreak. House to house survey done. 53 samples collected at IGMCRI Puducherry result 06 samples positive for Igm ab for Scrub Typhus. RRT ls taking all necessary steps to diagnosis any fresh cases and also taking all corrective measures. All cases treated symptomatically. Health education given.",6,
30,PN/PON/2018/07/0 0205,Puducherry,Puducherry,Scrub typhus,06,00,05-02-18,Under Surveillance,Cases,"reported from PHCMuthialpet symptomatically. Health educationKosapalyam,",7,
21,MN/IMP/2018/23/792,Manipur,Imphal West,Scrub Typhus,04,00,05-06-18,11-06-18,Under Control,"Cases of fever reported from Village/SC Langol Tarung and Langol, Imphal West. Block Haorangsabal, PHC Khurkhul. District RRT investigated the outbreak. House to house survey done. 12 Blood samples sent to Babina Diagnostic Centre, RIMS Road and SRL, IDSP, JNIMS; 03 samples were positive for scrub typhus. All cases treated symptomatically. Relevant health education given.",23,
18,MZ/LNG/2018/27/963,Mizoram,Lunglei,Scrub Typhus,112,01,27-06-18,02-07-18,Under Control,Cases of fever with body ache reported from Village Pangzawl PHC. District RRT investigated the outbreak. House to house fever survey done. 387 blood samples tested at Pangzawl PHC; 107 samples found positive for scrub typhus. 41 blood samples collected for re- test (Weil Felix test) at Civil Hospital Lunglei; result awaited. All cases treated with Tab Doxycycline. Health education given for use of personal protection measures.,27,
7,MZ/AIE/2018/30/1090,Mizoram,Aizawl East,Scrub Typhus,79,00,23-07-18,30-07-18,Under Control,"Cases reported from Village/SC Sawleng, PHC/Block Darlawn. District RRT investigated the outbreak. House to house survey done. 254 serum samples tested for scrub typhus at Darlawn PHC; 79 samples were positive. All cases treated with Doxycyclin. Relevant health education given.",30,
16,MH/NAG/2018/47/1513,Maharashtra,Nagpur & several Districts,Scrub Typhus,63,06,10-09-18,,Under Control,"A total of 63 cases and 6 deaths of scrub typhus reported from Nagpur urban and rural area during 6th August to 11th November 2018. Apart from Nagpur District cases were reported from Amravati District and many bordering Districts of Madhya Pradesh like Balaghat, Chindwara, Umaria, Seoni, Betul and Satna. A total of 78 cases and 14 deaths were reported from 1st August to 7th September 2018. District RRT investigated the outbreak. House to house survey done. All the cases were treated at GMC, Nagapur. Entomological survey done and vector control measures like malathion dusting was undertaken in the affected areas. Health education given regarding personal protection measures.",47,
1,AS/MAR/2023/22/446,Assam,Marigaon,Scrub Typhus,02,00,30-05-2023,31-05-2023,Under Control,"Cases reported from Village Patrabori and Torabori, Block Laharighat and Bhurbandha, District Marigaon. Cases presented with fever and jaundice. Serum sample were sent to GMCH. District RRT investigated the outbreak. Result came positive for the Scrub typhus IgM by ELISA. Door to door survey was done. Community awareness and health education given by peripheral health team on vector control measures and sanitation.",22
4,AS/MAR/2023/22/446,Assam,Marigaon,Scrub Typhus,02,00,30-05-2023,31-05-2023,Under Control,"Cases reported from Village Patrabori and Torabori, Block Laharighat and Bhurbandha, District Marigaon. Cases presented with fever and jaundice. Serum sample were sent to GMCH. District RRT investigated the outbreak. Result came positive for the Scrub typhus IgM by ELISA. Door to door survey was done. Community awareness and health education given by peripheral health team on vector control measures and sanitation.",22
17,HR/KMN/2023/33/965,Haryana,Karnal,Scrub Typhus,28,00,10-08-23,16-08-23,Under Surveillance,"Cases reported from Hakikat Nagar and Shastri Nagar of UPHC Vasant Vihar and UPHC Shiv Colony, Karnal. Cases presented with Fever, Lower abdomen pain and Breathlessness. 58 Blood samples (28 symptomatic + 30 contacts) were collected and tested at DPHL Karnal for Scrub Typhus IgM Antibody. 2 male and 7 female cases were reported positive. District RRT investigated the outbreak. Community awareness and health education given by peripheral health team on VBD. IEC Activity & creating awareness was conducted in the community. House to House survey was conducted. Blood Samples of contacts of suspected patients for scrub typhus were taken. Fogging and entomological surveillance was done.",33
68,UP/BAL/2023/33/1016,Uttar Pradesh,Ballia,Scrub Typhus,14,00,05-08-23,,Under Control,"Cases of fever reported from Village Haibatpur, PHC Vaina, District Ballia. Out of 14 blood samples collected and sent to District Sentinel lab Balia, 4 samples tested positive for Orientia tsutsugamushi (IgM ELISA). District RRT investigated the outbreak. House to house fever survey was done. A health camp was organized in the affected area. Cases treated symptomatically. IEC activities regarding personal hygiene and sanitation practices done.",33
0,AR/PPM/2023/34/1018,Arunachal Pradesh,Papumpare,Scrub Typhus,7,0,21-08-23,21-08-23,Under Surveillance,"Cases were reported from Village Sango, Sub- District Leporiang Circle, District Papum Pare. Cases presented with high grade fever, vomiting and loss of appetite. 7 Blood samples were found to be positive for Scrub Typhus (Tsutsugamushi) IgM & IgG by Card test at CHC Sagalee, Papumpare. District RRT investigated the outbreak. Cases were treated symptomatically. Affected age group was 25- 50 years. Community awareness and health education given by peripheral team on vector control measures, hygiene and sanitation.",34
1,AR/TWN/2023/34/1019,Arunachal Pradesh,Tawang,Scrub Typhus,5,2,22-08-23,22-08-23,Under Surveillance,"Cases were reported from Dudungkhar and Lumla area, Sub-District Lumla District Tawang. Cases presented with high grade fever, body ache, restlessness. 3 Blood samples were sent toKDS District Hospital, Tawang. District RRT investigated the outbreak. Cases were treated symptomatically. All 3 samples came positive for IgM Scrub Typhus by ELISA. Community awareness and health education given by peripheral team on vector control measures, hygiene and sanitation. Two cases 38-year-old female (Shayro Village) and 52-year-old female (Muktor Village) succumbed to death.",34
3,AR/PPM/2023/34/1018,Arunachal Pradesh,Papumpare,Scrub Typhus,7,0,21-08-23,21-08-23,Under Surveillance,"Cases were reported from Village Sango, Sub- District Leporiang Circle, District Papum Pare. Cases presented with high grade fever, vomiting and loss of appetite. 7 Blood samples were found to be positive for Scrub Typhus (Tsutsugamushi) IgM & IgG by Card test at CHC Sagalee, Papumpare. District RRT investigated the outbreak. Cases were treated symptomatically. Affected age group was 25- 50 years. Community awareness and health education given by peripheral team on vector control measures, hygiene and sanitation.",34
4,AR/TWN/2023/34/1019,Arunachal Pradesh,Tawang,Scrub Typhus,5,2,22-08-23,22-08-23,Under Surveillance,"Cases were reported from Dudungkhar and Lumla area, Sub-District Lumla District Tawang. Cases presented with high grade fever, body ache, restlessness. 3 Blood samples were sent toKDS District Hospital, Tawang. District RRT investigated the outbreak. Cases were treated symptomatically. All 3 samples came positive for IgM Scrub Typhus by ELISA. Community awareness and health education given by peripheral team on vector control measures, hygiene and sanitation. Two cases 38-year-old female (Shayro Village) and 52-year-old female (Muktor Village) succumbed to death.",34
34,MP/SNA/2023/35/1111,Madhya Pradesh,Satna,Scrub Typhus,13,0,29-08-23,29-08-23,Under Surveillance,"Cases reported from village Tala and surrounding villages of Amarpatan block. Cases presented with Undifferentiated fever with chills, headache. The affected age group was 0-70 years. 22 Serum samples were sent to AIIMS Bhopal lab, out of which 13 were found to be positive for Orientia tsutsugamushi by IgM ELISA. District RRT investigated the outbreak. Community awareness and health education given by peripheral health team on scrub typhus. Active surveillance was done. Cutting of grasses was done. Malathion powder was sprayed. Insecticidal spray were done in the houses up to 2 feet on the walls as preventive a measure. House-to-house fever survey was done.",35
35,MH/GAD/2023/35/1112,Maharashtra,Gadchiroli,Scrub Typhus,2,0,28-08-23,29-08-23,Under Control,"Cases Reported from At. /Po. Ganpur, PHC Konsari, Taluk Chamorshi & At. Ajantola, Waadegaon, PHC Deulgaon, Taluka Kurkheda. Cases presented with symptoms of Fever with chills, itching and pain in wound site. 2 serum samples were sent to VRDL AIIMS Nagpur, both were found to be positive for scrub typhus by IgM ELISA. District RRT investigated the outbreak. Community awareness and health education given by peripheral health team on scrub typhus. Active surveillance was done. Cutting of grasses was done. Malathion powder was sprayed.",35
